ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
49 Degrees North,P.O. Box 166,99109 Chewelah,Washington,United States,5774,1851,3932,,1,,1,,4,1,86,2 mi,2325 ac,,Check terrain information.,101,"301""",2-Dec-23,28-Apr-24,"11""","61""","58""","49""","31""","6""","0""",25,419,589,489,5,44,49,44,5,59,72,https://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,,,,,,
Afton Alps,6600 Peller Avenue South,55033 Hastings,Minnesota,United States,1530,350,1180,,,,1,2,14,4,37,0.5 mi,250 ac,250 ac,Check terrain information.,135,"60""",18-Nov-23,24-Mar-24,"2""","12""","11""","13""","6""","0.5""","0""",439,859,50,55,50,55,60,55,,,,https://www.onthesnow.com/minnesota/afton-alps/ski-resort.html,,34%,37%,29%,,
Alpental,POB 1068,98068 Snoqualmie Pass,Washington,United States,5420,2280,3140,,1,,,,3,1,24,1.2 mi,825 ac,,,120,"428""",15-Dec-23,21-Apr-24,"8""","79""","78""","98""","51""","21""","0""",289,399,,,,,,,,,,https://www.onthesnow.com/washington/alpental/ski-resort.html,,14%,45%,41%,null%,
Alpine Valley Ohio,10620 Mayfield,44026 Chesterland,Ohio,United States,1500,230,1260,,,,1,2,,2,8,0.2 mi,72 ac,72 ac,Check terrain information.,105,"120""",16-Dec-23,10-Mar-24,"0""","3""","17""","14""","4""",,,244,305,95,10,38,43,10,10,38,43,10,https://www.onthesnow.com/ohio/alpine-valley/ski-resort.html,,25%,50%,25%,,
Alpine Valley Wisconsin,P.O. Box 615,53120 East Troy,Wisconsin,United States,1040,388,820,,3,,,4,,6,21,0.2 mi,90 ac,90 ac,Check terrain information.,100,"80""",25-Nov-23,19-Mar-24,"0""","4""","5""","6""","3""",,,508,652,652,598,28,56,56,51,32.5,65,65,https://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html,,33%,38%,29%,,
Alta,P.O. Box 8007,84092 Alta,Utah,United States,11068,2538,8530,,3,,,1,2,,118,1.3 mi,2614 ac,140 ac,Check terrain information.,156,"547""",18-Nov-23,21-Apr-24,"16""","88""","84""","74""","74""","40""","0""",409,599,"1,349.00","1,049.00",80,159,-,125,,,,https://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,Check gondola information.,,,,,
Alyeska,P.O. Box 249,99587 Girdwood,Alaska,United States,3939,2500,250,1,2,,2,,,2,76,1 mi,1610 ac,113 ac,Check terrain information.,150,"669""",7-Dec-23,28-Apr-24,"15""","81""","114""","83""","84""","33""","0""",899,"1,499.00",299,33,52,65,52,43,68,85,68,https://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,,,,,,
Andes Tower Hills,4505 Andes Road Southwest,56343 Kensington,Minnesota,United States,1620,290,1330,,,,1,2,,3,16,0.2 mi,35 ac,35 ac,,100,"55""",18-Oct-23,20-Mar-24,"0.5""","5""","8""","5""","4""","0""",,10,299,299,359,5,35,45,35,5,35,45,https://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html,,25%,6%,31%,38%,
Angel Fire,P.O. Box 130,87710 Angel Fire,New Mexico,United States,10677,2077,8600,,2,,,,3,2,81,3 mi,560 ac,230 ac,Check terrain information.,101,"210""",15-Dec-23,17-Mar-24,"8""","30""","28""","34""","23""","0""",,550,550,850,550,67,77,89,39,70,80,92,https://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,,22%,56%,22%,,
Anthony Lakes,47500 Anthony Lake Highway,97867 North Powder,Oregon,United States,8000,900,7100,,,,,1,,2,21,1.5 mi,1100 ac,,,75,"300""",3-Dec-23,7-Apr-24,"5""","28""","37""","33""","25""","4""","0""",240,395,475,10,21,29,40,0,21,29,40,https://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,,20%,38%,,null%,
