,count,mean,std,min,25%,50%,75%,max,ski_resort
0,36.0,234.55555555555554,76.62317607037123,100.0,175.75,233.5,291.0,416.0,Magic Mountain
1,35.0,146.34285714285716,81.31635493448985,76.0,95.5,120.0,171.0,435.0,49 Degrees North
2,31.0,165.7741935483871,65.37160937156096,72.0,115.0,155.0,206.5,355.0,Afton Alps
3,33.0,245.12121212121212,125.25168601054777,89.0,171.0,205.0,285.0,613.0,Alpental
4,35.0,170.31428571428572,62.74775432052455,65.0,130.0,164.0,200.0,298.0,Alpine Valley Ohio
5,34.0,167.85294117647058,77.46480426734617,65.0,114.75,143.0,209.0,400.0,Alpine Valley Wisconsin
6,32.0,303.6875,311.0787098302894,60.0,116.5,167.5,326.0,1500.0,Alta
7,35.0,227.74285714285713,128.1706910741304,65.0,143.5,189.0,282.0,769.0,Alyeska
8,34.0,249.2058823529412,139.46212245879886,70.0,157.25,213.0,290.25,690.0,Andes Tower Hills
9,32.0,142.9375,59.24140743465426,64.0,98.25,130.5,170.0,295.0,Angel Fire
10,26.0,154.1153846153846,47.207903510388526,82.0,119.25,153.5,174.25,246.0,Anthony Lakes
11,36.0,239.97222222222223,101.46624663576162,141.0,167.0,208.0,282.25,523.0,Appalachian Ski Mountain
12,35.0,154.54285714285714,62.43977939118754,79.0,109.5,130.0,193.0,319.0,Apple Mountain
13,36.0,152.58333333333334,34.101843268153615,93.0,129.5,150.0,168.75,219.0,Arapahoe Basin
14,33.0,169.0909090909091,59.439761332568686,89.0,125.0,148.0,194.0,302.0,Arizona Snowbowl
15,34.0,465.11764705882354,377.39632449157534,134.0,276.25,357.5,499.75,1950.0,Aspen Snowmass
16,32.0,160.375,46.79312742479977,73.0,119.25,156.0,186.0,248.0,Attitash
17,33.0,185.54545454545453,114.59469089717106,77.0,99.0,138.0,250.0,530.0,Bear Creek Mountain
18,32.0,173.1875,74.84712914959053,46.0,133.0,160.5,202.5,447.0,Bear Mountain
19,34.0,222.41176470588235,85.21492174320491,102.0,157.75,218.5,270.5,500.0,Bear Valley
20,36.0,331.8611111111111,152.08609456071306,108.0,234.25,296.5,372.75,790.0,Beaver Creek
21,35.0,113.34285714285714,49.42429913046633,39.0,86.0,109.0,128.5,299.0,Beaver Mountain
