,count,mean,std,min,25%,50%,75%,max,ski_resort
0,35.0,211.85714285714286,95.30481836382326,104.0,143.0,190.0,238.5,589.0,Cannonsburg
1,35.0,206.54285714285714,98.71031379962363,79.0,126.0,184.0,271.0,435.0,49 Degrees North
2,33.0,258.8787878787879,159.0482940759971,107.0,159.0,209.0,265.0,819.0,Afton Alps
3,35.0,321.34285714285716,140.2510234537771,134.0,231.0,280.0,374.0,800.0,Alpental
4,35.0,213.71428571428572,83.34816114580187,95.0,158.5,200.0,251.5,447.0,Alpine Valley Ohio
5,31.0,220.96774193548387,74.83959908629822,92.0,166.0,215.0,270.0,378.0,Alpine Valley Wisconsin
6,34.0,352.20588235294116,284.5893138192419,90.0,182.5,284.0,358.5,1500.0,Alta
7,34.0,333.29411764705884,133.1104643592123,166.0,238.5,304.5,383.5,679.0,Alyeska
8,35.0,251.05714285714285,103.25295690314974,129.0,169.5,230.0,300.0,488.0,Andes Tower Hills
9,34.0,163.02941176470588,63.96281367307747,60.0,107.25,162.0,207.0,329.0,Angel Fire
10,29.0,212.89655172413794,76.36909660494982,118.0,161.0,185.0,249.0,417.0,Anthony Lakes
11,35.0,278.74285714285713,120.28870732219087,125.0,188.0,257.0,325.0,626.0,Appalachian Ski Mountain
12,34.0,180.26470588235293,68.6622426451568,92.0,125.0,157.5,233.75,329.0,Apple Mountain
13,35.0,186.68571428571428,46.40218772008583,99.0,165.0,186.0,204.0,359.0,Arapahoe Basin
14,32.0,251.90625,107.73484756118727,137.0,187.25,226.0,270.5,721.0,Arizona Snowbowl
15,35.0,624.2571428571429,318.0570003351363,216.0,422.5,577.0,697.5,1402.0,Aspen Snowmass
16,34.0,211.41176470588235,71.59529256874062,107.0,154.0,213.5,243.75,446.0,Attitash
17,35.0,224.05714285714285,105.49266572140645,100.0,149.0,200.0,256.0,535.0,Bear Creek Mountain
18,28.0,237.89285714285714,103.60621291456103,90.0,164.0,235.5,294.0,470.0,Bear Mountain
19,35.0,270.2857142857143,89.47578424571954,132.0,200.5,275.0,331.0,544.0,Bear Valley
20,35.0,420.45714285714286,174.10786765632372,154.0,292.0,418.0,477.0,900.0,Beaver Creek
21,35.0,152.17142857142858,64.68952352414966,69.0,112.0,133.0,172.0,420.0,Beaver Mountain
22,35.0,222.0,78.58491098992299,88.0,165.0,202.0,270.5,429.0,Ski Beech Mountain
23,33.0,294.75757575757575,102.28301126746022,179.0,231.0,253.0,323.0,589.0,Belleayre
24,34.0,298.7352941176471,93.30572388935704,145.0,236.0,269.5,350.75,500.0,Berkshire East
25,32.0,266.46875,66.87493593605613,167.0,228.5,243.0,304.5,424.0,Big Bear
