,count,mean,std,min,25%,50%,75%,max,ski_resort
0,35.0,239.94285714285715,111.67625026812809,100.0,187.5,214.0,262.0,595.0,Magic Mountain
1,35.0,138.4,62.5404339795699,76.0,100.0,115.0,168.5,389.0,49 Degrees North
2,30.0,181.26666666666668,113.8256177860143,51.0,124.25,157.5,209.0,700.0,Afton Alps
3,35.0,270.85714285714283,131.63589329419747,99.0,177.0,251.0,316.5,644.0,Alpental
4,34.0,161.5,71.88764381542445,65.0,107.25,143.5,206.75,362.0,Alpine Valley Ohio
5,34.0,160.1764705882353,73.06637521572954,81.0,103.5,142.5,193.5,425.0,Alpine Valley Wisconsin
6,33.0,331.42424242424244,374.24115139030255,60.0,120.0,185.0,320.0,1500.0,Alta
7,35.0,273.77142857142854,135.0969337646308,102.0,178.5,250.0,321.5,699.0,Alyeska
8,34.0,219.52941176470588,92.23659803909354,110.0,150.5,203.5,271.75,478.0,Andes Tower Hills
9,33.0,150.78787878787878,53.72543483755947,84.0,118.0,145.0,165.0,322.0,Angel Fire
10,24.0,175.125,78.2172629116572,82.0,124.75,165.0,215.75,443.0,Anthony Lakes
11,35.0,216.57142857142858,80.9819463229435,103.0,167.5,191.0,223.5,459.0,Appalachian Ski Mountain
12,35.0,148.57142857142858,58.19454477884337,62.0,106.0,125.0,194.0,280.0,Apple Mountain
13,35.0,179.4857142857143,40.17928309360393,104.0,148.5,183.0,203.5,285.0,Arapahoe Basin
14,35.0,152.65714285714284,49.6368831421477,82.0,113.0,142.0,174.5,289.0,Arizona Snowbowl
15,33.0,533.2121212121212,279.9200508153799,198.0,320.0,492.0,650.0,1393.0,Aspen Snowmass
16,35.0,168.62857142857143,55.9117401721287,109.0,127.0,151.0,197.0,329.0,Attitash
17,33.0,188.72727272727272,113.49732175454426,77.0,109.0,149.0,250.0,537.0,Bear Creek Mountain
18,29.0,189.82758620689654,83.50879721216597,90.0,123.0,168.0,249.0,393.0,Bear Mountain
19,35.0,268.6857142857143,114.6102786245045,127.0,175.0,275.0,326.0,568.0,Bear Valley
20,35.0,355.8,145.0901950714877,161.0,237.5,319.0,409.5,717.0,Beaver Creek
21,34.0,102.94117647058823,36.75301774991395,39.0,80.25,96.0,124.0,200.0,Beaver Mountain
22,34.0,151.1764705882353,78.10500724577615,85.0,113.75,135.0,169.75,538.0,Ski Beech Mountain
23,32.0,263.84375,116.63621674442126,108.0,191.0,239.0,296.0,575.0,Belleayre
24,35.0,199.42857142857142,93.63454795869188,93.0,125.5,178.0,242.0,500.0,Berkshire East
25,32.0,297.25,101.93134944657605,169.0,228.5,268.0,343.25,570.0,Big Bear
26,30.0,203.16666666666666,101.15201374692187,104.0,137.25,181.5,244.75,646.0,Big Boulder
27,33.0,162.03030303030303,84.63505658431559,75.0,110.0,129.0,199.0,407.0,Big Powderhorn Mountain
28,35.0,271.6,100.97617657296259,99.0,205.0,248.0,319.0,550.0,Big Sky
29,35.0,192.22857142857143,67.3114297235512,78.0,154.5,190.0,223.5,415.0,Big Squaw
30,34.0,180.8235294117647,87.57939102677251,72.0,129.25,151.0,206.0,460.0,Bittersweet
31,35.0,205.65714285714284,77.3802463230016,95.0,146.5,186.0,230.0,400.0,Blandford
32,33.0,116.9090909090909,40.12353084254584,51.0,95.0,110.0,125.0,235.0,Black Mountain
33,35.0,201.4,85.65017770662517,55.0,145.5,177.0,268.0,372.0,Blacktail Mountain
34,35.0,150.02857142857144,55.48581467593407,75.0,117.0,142.0,165.5,369.0,Blue Hills
35,34.0,153.91176470588235,150.86726408518524,66.0,82.0,108.5,148.0,840.0,Blue Knob
36,34.0,166.97058823529412,74.61638673468761,96.0,120.25,146.0,177.75,403.0,Blue Mountain
37,34.0,153.7058823529412,62.86615383242965,80.0,101.75,140.5,198.0,295.0,Bluewood
38,35.0,98.42857142857143,23.0080365937461,65.0,82.5,95.0,111.0,165.0,Bogus Basin
39,35.0,229.4,137.70112563083862,83.0,143.5,189.0,281.0,760.0,Bolton Valley
40,34.0,255.7058823529412,76.11495668405811,139.0,192.0,251.0,302.25,451.0,Boreal
41,31.0,204.61290322580646,115.32784498098016,81.0,107.0,169.0,277.5,480.0,Boston Mills and Brandywine
42,31.0,183.48387096774192,96.56323350279924,75.0,119.0,150.0,228.5,510.0,Bousquet
43,35.0,222.34285714285716,93.81205957129605,85.0,147.5,200.0,300.5,461.0,Boyne Mountain
44,35.0,158.54285714285714,73.22179957344062,75.0,105.5,152.0,178.0,375.0,Bradford
45,35.0,182.34285714285716,63.77070268554678,98.0,135.5,159.0,227.5,350.0,Brantling Ski
46,35.0,251.57142857142858,64.04423366350963,140.0,207.0,236.0,279.0,412.0,Breckenridge
47,33.0,233.4848484848485,127.73290521928003,89.0,129.0,211.0,302.0,539.0,Bretton Woods
48,35.0,125.2,68.76892252960165,47.0,81.5,105.0,149.0,350.0,Brian Head
49,35.0,196.14285714285714,73.03711500372415,97.0,143.0,192.0,227.0,419.0,Bridger Bowl
50,35.0,432.54285714285714,189.44102649903584,104.0,300.0,398.0,521.5,900.0,Brighton
51,35.0,173.4857142857143,64.03784332838872,93.0,127.0,153.0,195.5,320.0,Bristol Mountain
52,35.0,260.1142857142857,156.6841655404031,113.0,193.0,225.0,280.0,1003.0,Bromley Mountain
53,32.0,197.40625,119.20214854499031,95.0,104.75,176.0,229.25,625.0,Bruce Mound
54,34.0,180.8235294117647,64.39530878275514,96.0,143.0,168.0,198.75,356.0,Brundage Mountain
55,33.0,205.72727272727272,91.2059046633196,109.0,150.0,175.0,225.0,550.0,Bryce
56,33.0,164.87878787878788,106.4065780320223,50.0,93.0,120.0,220.0,515.0,Buck Hill
57,33.0,179.24242424242425,59.37383172694343,52.0,144.0,170.0,200.0,345.0,Buena Vista
58,35.0,162.9142857142857,66.13861176639978,75.0,108.5,150.0,217.0,300.0,Buffalo Ski Club
59,35.0,193.68571428571428,80.2106679968706,95.0,140.0,170.0,225.5,377.0,Burke Mountain
60,34.0,178.8235294117647,91.68340472690404,89.0,125.75,155.0,202.25,576.0,Caberfae Peaks Ski Golf
61,34.0,183.08823529411765,76.64256576929387,70.0,144.25,169.5,202.75,519.0,Camden
62,28.0,216.03571428571428,90.91366769383454,100.0,153.5,179.5,291.25,400.0,Camelback Mountain
63,32.0,198.3125,101.6332551303317,61.0,134.75,164.0,259.5,508.0,Campgaw Mountain
64,35.0,156.5142857142857,60.92684689255557,75.0,107.5,142.0,189.5,296.0,Canaan Valley
65,34.0,198.76470588235293,98.55595513379754,89.0,121.0,165.0,255.25,504.0,Cannon Mountain
66,34.0,199.0,157.77237151073444,74.0,116.0,146.5,216.25,918.0,Cannonsburg
67,35.0,178.9142857142857,75.7112826422042,75.0,121.0,169.0,229.5,398.0,Cascade Mountain
68,35.0,147.85714285714286,49.18760177186144,68.0,114.5,145.0,165.0,295.0,Cataloochee
69,35.0,263.4,153.06288596137057,98.0,155.5,220.0,308.0,880.0,Catamount Ski Ride Area
70,35.0,196.97142857142856,71.70999016228932,90.0,151.5,178.0,219.0,394.0,Chestnut Mountain
71,25.0,227.68,94.31009136531114,104.0,166.0,224.0,260.0,559.0,Ski China Peak
72,33.0,172.93939393939394,69.51435975481046,90.0,122.0,147.0,211.0,332.0,Christie Mountain
73,32.0,159.375,48.622144165244364,75.0,126.75,159.5,181.0,250.0,Christmas Mountain
74,35.0,203.4,89.61788161902932,95.0,144.5,184.0,236.5,495.0,Coffee ll
75,35.0,186.65714285714284,61.13771477629194,70.0,160.5,180.0,205.5,392.0,Ski Cooper
76,34.0,187.7058823529412,65.08760037000238,89.0,151.0,173.5,204.75,406.0,Cooper Spur
77,35.0,366.9142857142857,102.97040449411021,150.0,299.5,368.0,433.0,617.0,Copper Mountain
78,35.0,178.94285714285715,72.33945423249655,101.0,123.0,171.0,198.5,375.0,Cranmore Mountain
79,33.0,207.63636363636363,59.54505551566508,88.0,182.0,199.0,240.0,342.0,Crested Butte Mountain
80,35.0,180.77142857142857,96.44964724550064,40.0,114.5,152.0,210.0,475.0,Crotched Mountain
81,35.0,217.4,99.56440422277076,86.0,162.5,188.0,257.5,600.0,Crystal Mountain
82,34.0,212.11764705882354,75.0687622988669,67.0,166.25,213.0,269.5,346.0,Crystal Mountain 
83,34.0,188.52941176470588,66.32118144857193,95.0,135.0,175.5,237.75,349.0,Dartmouth Skiway
84,35.0,154.9142857142857,63.434714669572564,71.0,100.0,159.0,186.5,359.0,Ski Mystic at Deer Mountain
85,35.0,226.02857142857144,74.11933371430224,85.0,158.0,249.0,286.5,350.0,Deer Valley
86,29.0,106.86206896551724,54.415546713581136,37.0,77.0,87.0,112.0,279.0,Devils Head
87,34.0,256.11764705882354,116.17144193634091,115.0,197.0,225.0,281.0,650.0,Diamond Peak
88,34.0,185.5,93.84424555742575,60.0,122.75,170.0,221.5,425.0,Discovery
89,30.0,205.0,91.27110053627844,100.0,135.5,194.5,253.0,490.0,Dodge Ridge
90,35.0,316.85714285714283,142.7424960131608,139.0,241.0,289.0,358.0,900.0,Donner Ski Ranch
91,35.0,151.31428571428572,66.2898144197004,70.0,112.5,137.0,189.5,405.0,Dry Hill
92,34.0,201.64705882352942,90.1930194009664,67.0,126.0,172.0,275.0,399.0,Eagle Point
93,35.0,144.6,71.16269677130502,39.0,90.0,124.0,192.5,355.0,Eagle Rock
94,35.0,154.85714285714286,62.31803763860067,69.0,103.0,140.0,189.5,320.0,Eaglecrest
95,34.0,245.05882352941177,164.83268673644739,87.0,155.75,194.0,275.5,799.0,Eldora Mountain
96,35.0,236.25714285714287,127.1933088457331,109.0,170.0,200.0,282.5,850.0,Elk Mountain Ski
97,32.0,164.34375,106.16986066919429,14.0,86.0,125.0,254.25,387.0,Elko SnoBowl
98,34.0,155.11764705882354,122.93254240507144,55.0,97.25,118.0,181.5,725.0,Elm Creek
