,count,mean,std,min,25%,50%,75%,max,ski_resort
0,36.0,242.58333333333334,105.28990590609475,100.0,175.0,229.5,303.0,595.0,Magic Mountain
1,36.0,138.16666666666666,62.80923498976882,77.0,99.75,117.5,167.25,393.0,49 Degrees North
2,30.0,171.56666666666666,78.14781896633713,59.0,112.75,151.5,209.0,400.0,Afton Alps
3,33.0,256.5151515151515,126.15271529284486,99.0,176.0,232.0,314.0,644.0,Alpental
4,35.0,164.34285714285716,76.44719163738912,65.0,103.5,148.0,204.5,415.0,Alpine Valley Ohio
5,35.0,161.88571428571427,84.75284879077081,65.0,104.5,145.0,169.5,425.0,Alpine Valley Wisconsin
6,33.0,309.57575757575756,349.9531245666188,60.0,121.0,193.0,280.0,1500.0,Alta
7,34.0,290.55882352941177,177.57835507885912,75.0,188.0,233.5,337.25,769.0,Alyeska
8,34.0,255.2058823529412,140.37974027437465,110.0,162.0,215.5,290.0,691.0,Andes Tower Hills
9,32.0,181.71875,73.22974645681242,84.0,126.25,155.0,236.5,320.0,Angel Fire
10,24.0,164.83333333333334,59.80596645142026,82.0,114.75,165.0,203.75,312.0,Anthony Lakes
11,36.0,221.58333333333334,88.44639215770356,115.0,164.0,198.5,241.25,494.0,Appalachian Ski Mountain
12,33.0,150.3030303030303,63.8829421914043,45.0,108.0,125.0,193.0,338.0,Apple Mountain
13,36.0,186.38888888888889,46.951815895373166,93.0,150.0,183.0,201.25,325.0,Arapahoe Basin
14,34.0,154.2941176470588,53.917742855690896,86.0,114.5,137.0,179.0,295.0,Arizona Snowbowl
15,35.0,556.4,269.1409208836843,145.0,361.0,519.0,689.0,1391.0,Aspen Snowmass
16,35.0,170.4857142857143,49.618765086804565,97.0,127.5,159.0,209.0,275.0,Attitash
17,33.0,188.45454545454547,115.84178081252972,77.0,101.0,147.0,255.0,538.0,Bear Creek Mountain
18,32.0,188.28125,78.71968822674623,46.0,134.75,178.5,224.75,406.0,Bear Mountain
19,33.0,231.84848484848484,83.1452498688745,103.0,177.0,224.0,272.0,500.0,Bear Valley
20,36.0,338.8611111111111,126.96639662924939,164.0,249.75,311.5,399.0,717.0,Beaver Creek
21,35.0,103.77142857142857,35.351250676174786,39.0,84.0,95.0,125.5,199.0,Beaver Mountain
22,33.0,164.0,75.10534268612321,85.0,129.0,145.0,199.0,459.0,Ski Beech Mountain
23,32.0,258.96875,119.75741188591587,108.0,194.0,236.0,285.0,705.0,Belleayre
24,35.0,199.57142857142858,89.6293956881813,96.0,128.5,186.0,249.0,500.0,Berkshire East
25,32.0,285.09375,147.11074594529336,55.0,189.5,247.5,336.5,773.0,Big Bear
26,30.0,198.7,97.2455654515927,104.0,139.25,174.5,229.0,612.0,Big Boulder
27,32.0,190.03125,101.17805588137915,75.0,117.75,135.0,274.0,407.0,Big Powderhorn Mountain
28,35.0,294.2857142857143,123.98068431829861,99.0,195.5,283.0,385.0,550.0,Big Sky
29,34.0,219.5,88.35440000362178,95.0,152.25,212.0,267.0,440.0,Big Squaw
30,33.0,174.3030303030303,81.83500353168138,72.0,125.0,151.0,200.0,460.0,Bittersweet
31,36.0,201.44444444444446,72.6032051415459,95.0,155.25,184.5,226.0,400.0,Blandford
32,32.0,120.53125,39.92572489090857,51.0,94.5,115.0,151.25,232.0,Black Mountain
33,36.0,193.27777777777777,83.53907934480591,55.0,144.0,185.0,235.75,372.0,Blacktail Mountain
34,35.0,151.62857142857143,56.673515816102174,75.0,115.0,147.0,178.5,369.0,Blue Hills
35,34.0,144.44117647058823,139.82677403833614,66.0,82.0,112.0,148.0,880.0,Blue Knob
36,32.0,164.375,72.91477570512737,96.0,120.75,144.5,179.0,406.0,Blue Mountain
37,34.0,180.2941176470588,79.57520910273071,80.0,135.5,156.0,233.5,464.0,Bluewood
38,35.0,108.11428571428571,40.47785990954985,67.0,87.0,95.0,119.5,292.0,Bogus Basin
39,36.0,227.41666666666666,140.6319157029645,88.0,142.5,181.0,275.0,760.0,Bolton Valley
40,34.0,278.55882352941177,94.65925851609232,125.0,222.0,251.0,317.75,539.0,Boreal
41,31.0,208.7741935483871,112.71104934815082,81.0,111.5,170.0,277.5,480.0,Boston Mills and Brandywine
42,31.0,172.1290322580645,72.82524376225773,75.0,121.5,151.0,224.0,331.0,Bousquet
43,36.0,240.13888888888889,116.81417545529989,109.0,143.75,212.0,304.25,618.0,Boyne Mountain
44,36.0,155.36111111111111,61.06210083783687,75.0,109.0,151.5,183.0,314.0,Bradford
45,35.0,174.57142857142858,69.52286365958015,93.0,121.5,149.0,217.0,350.0,Brantling Ski
46,35.0,258.0571428571429,83.73099182260198,175.0,219.5,248.0,274.0,675.0,Breckenridge
47,33.0,275.90909090909093,129.08218400411704,89.0,151.0,279.0,387.0,539.0,Bretton Woods
48,34.0,148.02941176470588,118.72695573384047,47.0,85.5,120.5,164.25,730.0,Brian Head
49,35.0,207.71428571428572,78.32983483456405,96.0,162.5,193.0,230.0,419.0,Bridger Bowl
50,33.0,391.6363636363636,203.45021168915906,103.0,259.0,351.0,454.0,975.0,Brighton
51,34.0,170.2058823529412,61.46434266218773,82.0,126.5,158.0,192.0,320.0,Bristol Mountain
52,35.0,274.4,160.96623686899284,142.0,174.5,248.0,302.0,1003.0,Bromley Mountain
53,31.0,214.5483870967742,152.68591699076845,86.0,135.0,176.0,224.5,740.0,Bruce Mound
54,35.0,207.4857142857143,83.99627842896355,101.0,148.5,185.0,259.5,437.0,Brundage Mountain
55,34.0,214.47058823529412,105.64813965122484,95.0,150.0,179.0,243.25,610.0,Bryce
56,35.0,172.0857142857143,105.36752804534494,50.0,100.5,121.0,231.0,515.0,Buck Hill
57,33.0,175.54545454545453,63.075396802700986,52.0,140.0,165.0,200.0,347.0,Buena Vista
58,36.0,157.41666666666666,63.020801554498085,64.0,99.75,152.5,181.75,300.0,Buffalo Ski Club
59,34.0,196.08823529411765,75.43826199316246,100.0,150.0,177.5,227.75,361.0,Burke Mountain
60,34.0,185.14705882352942,99.92728639788493,90.0,125.75,167.5,213.25,647.0,Caberfae Peaks Ski Golf
61,35.0,197.4857142857143,77.08680036112517,73.0,149.5,179.0,224.0,519.0,Camden
62,28.0,193.82142857142858,70.54709673078585,93.0,148.0,183.5,217.5,400.0,Camelback Mountain
63,33.0,198.54545454545453,100.03908327158032,61.0,135.0,164.0,254.0,508.0,Campgaw Mountain
64,33.0,146.75757575757575,50.35004363393734,68.0,109.0,130.0,174.0,264.0,Canaan Valley
65,34.0,176.23529411764707,75.17618047305233,89.0,113.75,149.0,237.25,335.0,Cannon Mountain
66,35.0,202.4,145.3948376784039,74.0,104.5,147.0,225.0,758.0,Cannonsburg
67,36.0,180.72222222222223,90.6155493156543,68.0,116.75,169.0,208.75,537.0,Cascade Mountain
68,36.0,160.02777777777777,49.27502184451853,68.0,124.25,158.0,186.75,295.0,Cataloochee
69,34.0,248.08823529411765,101.59973981327302,100.0,155.5,224.5,312.0,470.0,Catamount Ski Ride Area
70,35.0,204.31428571428572,72.87086540730859,115.0,149.0,178.0,251.0,394.0,Chestnut Mountain
71,24.0,227.08333333333334,126.70503804769038,104.0,154.5,189.5,241.25,710.0,Ski China Peak
72,35.0,170.65714285714284,63.367250243018624,93.0,127.5,162.0,194.0,332.0,Christie Mountain
73,32.0,187.46875,57.84739901309864,87.0,134.75,191.0,220.0,368.0,Christmas Mountain
74,36.0,194.58333333333334,88.6580509598536,95.0,132.75,175.5,206.25,495.0,Coffee ll
75,36.0,225.36111111111111,110.69421272206931,89.0,158.0,186.0,271.25,552.0,Ski Cooper
76,34.0,227.11764705882354,115.52430275759829,125.0,153.0,193.5,258.75,699.0,Cooper Spur
77,36.0,404.72222222222223,128.26459507286626,150.0,326.75,405.0,467.5,859.0,Copper Mountain
78,34.0,174.58823529411765,68.4946879811853,97.0,117.75,160.5,213.5,375.0,Cranmore Mountain
79,33.0,236.93939393939394,75.09699536014216,89.0,192.0,225.0,275.0,420.0,Crested Butte Mountain
80,35.0,189.14285714285714,108.97521112003162,40.0,124.0,150.0,222.5,475.0,Crotched Mountain
81,36.0,221.44444444444446,89.3661631217941,90.0,159.0,201.0,260.0,550.0,Crystal Mountain
82,33.0,213.45454545454547,83.39517780914062,40.0,142.0,201.0,277.0,397.0,Crystal Mountain 
83,34.0,202.61764705882354,71.02454322099119,95.0,146.0,192.5,250.0,349.0,Dartmouth Skiway
84,35.0,172.28571428571428,66.48333335088861,76.0,121.0,175.0,199.0,359.0,Ski Mystic at Deer Mountain
85,32.0,232.625,82.51519899095032,103.0,156.0,233.5,289.25,405.0,Deer Valley
86,31.0,135.6451612903226,96.95275426278403,62.0,80.5,97.0,138.5,439.0,Devils Head
87,34.0,283.44117647058823,149.79140873864333,115.0,222.25,246.0,282.75,899.0,Diamond Peak
88,34.0,188.08823529411765,120.52646324457541,60.0,129.5,157.5,221.5,730.0,Discovery
89,32.0,203.5,93.51901652398246,100.0,137.0,185.5,243.25,490.0,Dodge Ridge
90,36.0,311.77777777777777,126.9315025878381,138.0,224.25,262.5,355.0,739.0,Donner Ski Ranch
91,35.0,143.77142857142857,69.39362816752055,63.0,92.5,125.0,189.5,405.0,Dry Hill
92,35.0,208.14285714285714,124.51651032910382,67.0,125.5,160.0,252.5,600.0,Eagle Point
93,36.0,140.66666666666666,70.56506622563725,39.0,89.75,122.5,190.0,365.0,Eagle Rock
94,35.0,161.54285714285714,58.16676980238543,69.0,115.0,154.0,205.0,275.0,Eaglecrest
95,34.0,281.5882352941176,191.59143993769007,87.0,161.75,210.0,291.25,824.0,Eldora Mountain
96,33.0,254.1818181818182,163.49721988184052,109.0,175.0,220.0,280.0,850.0,Elk Mountain Ski
97,36.0,149.16666666666666,99.09029071652637,14.0,86.0,115.0,163.5,386.0,Elko SnoBowl
98,36.0,172.88888888888889,123.05696190389179,65.0,100.0,137.0,195.75,725.0,Elm Creek
99,36.0,288.8333333333333,96.25130796884937,95.0,231.0,274.0,311.75,600.0,Enchanted Forest
100,35.0,132.37142857142857,67.03646317458868,50.0,83.0,115.0,159.5,302.0,Four Lakes
101,33.0,212.27272727272728,93.66204965435331,84.0,150.0,187.0,269.0,450.0,Giants Ridge
102,36.0,195.69444444444446,68.77450501226846,89.0,147.0,187.5,221.25,421.0,Gore Mountain
103,36.0,128.61111111111111,48.99928732879855,71.0,94.75,113.5,157.5,300.0,Granby Ranch
104,35.0,186.57142857142858,74.99305289954049,65.0,143.5,173.0,220.0,381.0,Grand Geneva
105,36.0,195.91666666666666,83.91266718610316,95.0,137.75,164.0,250.0,408.0,Grand Targhee
106,35.0,142.94285714285715,80.86660870446678,40.0,81.0,125.0,160.0,419.0,Granite Peak
107,33.0,164.66666666666666,74.69591131157493,70.0,125.0,145.0,180.0,384.0,Great Divide
108,35.0,189.42857142857142,84.96064338486231,83.0,141.0,160.0,223.5,500.0,Greek Peak
109,36.0,159.77777777777777,42.79927309870786,85.0,144.0,150.0,185.0,300.0,Gunstock
110,34.0,262.05882352941177,128.4114932023328,112.0,196.75,234.5,256.75,725.0,Heavenly Mountain
111,35.0,140.02857142857144,45.25254995368686,51.0,101.0,143.0,165.0,272.0,Hidden Valley
112,35.0,123.48571428571428,65.58441862505572,60.0,82.5,107.0,142.5,373.0,Hilltop
113,33.0,139.57575757575756,75.71328743318041,60.0,85.0,115.0,165.0,351.0,Hogadon
114,30.0,205.23333333333332,79.59062643359427,107.0,135.5,187.0,271.25,356.0,Holiday Mountain
115,33.0,213.36363636363637,95.8931104739211,95.0,145.0,195.0,239.0,505.0,Holiday Valley
116,33.0,213.36363636363637,95.8931104739211,95.0,145.0,195.0,239.0,505.0,Holimont
117,36.0,209.38888888888889,131.74093143694185,88.0,148.0,165.5,233.25,850.0,Hoodoo
118,36.0,280.05555555555554,93.5533291594981,164.0,200.0,266.0,347.5,549.0,Howelsen Hill
119,35.0,206.8,133.63510458135838,70.0,126.5,168.0,278.0,800.0,Hunt Hollow
120,33.0,247.54545454545453,96.06446107597847,100.0,179.0,219.0,319.0,500.0,Hunter Mountain
121,34.0,123.94117647058823,52.878328709016735,50.0,96.0,107.0,146.25,285.0,Hyland Ski Snowboard Area
122,36.0,236.58333333333334,137.97688729845817,94.0,141.0,191.5,282.75,550.0,Jay Peak
123,35.0,234.45714285714286,123.51859656537144,75.0,159.5,190.0,285.5,564.0,Jiminy Peak
124,29.0,199.55172413793105,98.80919065368094,104.0,143.0,176.0,234.0,612.0,Jack Frost
125,35.0,211.11428571428573,142.09768210813363,75.0,114.0,159.0,271.0,750.0,Snowriver Mountain Resort
126,36.0,401.80555555555554,264.77093274261966,125.0,219.75,341.0,478.0,1411.0,Jackson Hole
127,35.0,318.9714285714286,89.89388702447874,145.0,271.5,307.0,349.0,557.0,June Mountain
128,35.0,118.37142857142857,62.343019664115864,32.0,82.5,100.0,150.0,381.0,Kelly Canyon
129,36.0,255.19444444444446,93.1759685278941,93.0,184.75,243.5,302.5,482.0,Keystone
130,35.0,263.0857142857143,87.71959718952452,95.0,201.5,259.0,312.0,469.0,Killington
131,36.0,199.77777777777777,97.46856229021044,80.0,137.25,174.5,224.25,492.0,King Pine
132,32.0,353.90625,263.6874199569414,65.0,149.75,282.5,504.75,1179.0,Kirkwood
133,35.0,158.14285714285714,64.42649384565092,64.0,99.5,154.0,198.0,300.0,Kissing Bridge
134,34.0,165.73529411764707,64.75843636325621,83.0,114.75,159.0,199.5,351.0,Labrador Mt.
135,33.0,149.57575757575756,57.18775562949987,68.0,107.0,133.0,193.0,301.0,Lee Canyon
136,36.0,188.91666666666666,93.43397210253421,71.0,119.0,171.5,244.25,439.0,Liberty
137,35.0,171.62857142857143,90.35944096456424,65.0,116.5,141.0,191.5,500.0,Little Switzerland
138,35.0,155.62857142857143,91.4555776816025,65.0,96.5,123.0,170.0,425.0,Lookout Pass
139,32.0,166.40625,75.13637466891184,89.0,125.5,152.0,187.75,500.0,Loon Mountain
140,34.0,222.2058823529412,212.38198568413765,75.0,129.5,150.5,207.5,1200.0,Lost Trail Powder Mountain
