,count,mean,std,min,25%,50%,75%,max,ski_resort
0,24,200.875,45.13584568,113,170.75,199,241,300,Magic Mountain
1,24,165.625,73.0418656,79,100,160,205.5,375,49 Degrees North
2,24,194.75,77.17244947,80,152,177,209.25,388,Afton Alps
3,24,245.875,128.6962425,78,161.75,212.5,298,580,Alpental
4,24,167.125,80.61034161,70,99.75,149.5,201.75,339,Alpine Valley Ohio
5,19,227.9473684,86.38574579,90,182,200,271,406,Alpine Valley Wisconsin
6,12,438.4166667,383.4303204,106,208.75,366,457,1500,Alta
7,24,317.6666667,110.1357529,82,231,331.5,393.75,499,Alyeska
8,24,228.7083333,97.34406892,104,154.75,187.5,302.5,450,Andes Tower Hills
9,20,140,72.08547558,75,89,101,185,325,Angel Fire
10,24,186.0416667,64.17942185,99,153,182,198.25,387,Anthony Lakes
11,22,226.7272727,93.25856622,100,161.5,207,274,505,Appalachian Ski Mountain
12,22,155.1818182,64.31443322,52,109.25,135.5,217,293,Apple Mountain
13,23,142.6086957,44.76274743,83,114.5,127,166,237,Arapahoe Basin
14,9,192.8888889,58.82058408,128,145,179,229,306,Arizona Snowbowl
15,15,400.4666667,199.4223324,200,300,322,446,995,Aspen Snowmass
16,24,164.7083333,55.08292497,72,127,152,202,275,Attitash
17,24,193.0833333,69.78097203,89,140,179,250,337,Bear Creek Mountain
18,11,182.8181818,119.4644869,80,104.5,140,222,461,Bear Mountain
19,21,219,97.61352365,84,150,195,288,500,Bear Valley
20,21,262.7619048,170.3519606,85,185,218,277,779,Beaver Creek
21,24,127.5833333,46.32579962,65,91.25,124,152.5,242,Beaver Mountain
22,17,155.1176471,51.27850714,76,110,150,187,245,Ski Beech Mountain
23,20,252.75,91.48705689,127,194.75,244,267.5,550,Belleayre
24,24,265.9166667,149.0249225,135,176.75,228,264.75,800,Berkshire East
25,22,239.6363636,85.81349958,149,183.5,227,262,546,Big Bear
26,11,215.3636364,84.6584582,72,171.5,198,275,350,Big Boulder
27,24,148.3333333,53.25546852,85,112.25,126.5,181.5,258,Big Powderhorn Mountain
28,21,262.0952381,142.6232466,95,159,214,309,625,Big Sky
29,24,185.4166667,69.50065165,88,125.5,190.5,215,382,Big Squaw
30,24,213.0416667,90.98947821,83,142,195,265,400,Bittersweet
31,24,239.875,87.31318567,125,175,220,304.5,443,Blandford
32,24,153.4583333,51.61983034,60,124,145.5,186.5,250,Black Mountain
33,20,262.95,156.0784132,87,181,216.5,270,691,Blacktail Mountain
34,24,291.125,229.6743086,95,175,215,295,1199,Blue Hills
35,24,174.5416667,125.8895234,77,87,132.5,187.75,550,Blue Knob
36,21,234.8571429,111.1288827,71,165,210,349,420,Blue Mountain
37,24,241.25,151.5227777,103,148.75,192,301.5,800,Bluewood
38,23,136.9130435,45.25976845,74,97,143,168,238,Bogus Basin
39,21,277.5714286,106.0771283,88,210,260,345,480,Bolton Valley
40,19,210.5263158,86.000238,83,151,205,254,400,Boreal
41,19,175.8421053,86.35602222,75,112.5,148,214,375,Boston Mills and Brandywine
42,24,231.25,79.86251774,117,165.25,221.5,300,380,Bousquet
43,24,221.3333333,95.05543768,81,176.75,203.5,262.5,509,Boyne Mountain
44,19,323.5263158,203.2547303,139,181.5,268,375,908,Bradford
45,24,200.2916667,68.77593055,103,176,191,217.5,350,Brantling Ski
46,13,143.5384615,51.16414009,71,95,154,192,211,Breckenridge
47,24,223.375,82.30896855,98,165,201,285,369,Bretton Woods
48,20,103.2,40.41052494,39,86.5,100.5,116,218,Brian Head
49,20,181.5,64.9124917,100,145,155.5,183.5,335,Bridger Bowl
50,24,258.7916667,119.3161599,84,152,261.5,316.25,572,Brighton
51,22,239.1363636,101.2786328,95,167,241,265.75,482,Bristol Mountain
52,24,266.3333333,142.2596116,67,173.25,230.5,321.5,679,Bromley Mountain
53,24,225.1666667,140.2769517,80,139.5,202.5,250,635,Bruce Mound
54,21,194.3333333,106.3890659,97,147,163,192,550,Brundage Mountain
55,20,173.6,57.64355079,95,143.5,160,195,315,Bryce
56,23,203.6956522,79.99797428,66,145,193,266.5,350,Buck Hill
57,24,215.0416667,76.07346516,111,163.75,189,248.75,390,Buena Vista
58,24,218.3333333,181.5660538,92,126.5,154,196.25,863,Buffalo Ski Club
59,24,244.875,70.05545164,110,198.75,265,310,341,Burke Mountain
60,24,171.9166667,71.97095831,75,123.75,152.5,200.25,300,Caberfae Peaks Ski Golf
61,24,250.0833333,89.97870118,102,168.75,257.5,310.25,435,Camden
62,15,228.8,178.3664767,103,140,179,207.5,821,Camelback Mountain
63,23,269.1304348,93.55372999,113,216.5,275,326,499,Campgaw Mountain
64,22,170.1818182,51.01319751,81,145.5,173,193.75,320,Canaan Valley
65,24,196.7916667,90.69872688,104,125,152,258.75,384,Cannon Mountain
66,24,241.5416667,149.7449946,79,123.75,199.5,325.75,622,Cannonsburg
67,24,232.5833333,128.8207101,102,147.5,187,261.25,520,Cascade Mountain
68,15,158.4,50.31443985,95,121.5,150,164.5,263,Cataloochee
69,21,269.3333333,148.4787302,75,160,246,329,630,Catamount Ski Ride Area
70,21,274.1904762,118.031614,120,199,250,347,634,Chestnut Mountain
71,24,233.9583333,123.4421108,120,154.25,190,272.25,650,Ski China Peak
72,24,189.4583333,57.41835729,125,138,186,216.25,331,Christie Mountain
73,20,182.45,54.96264282,81,147.5,180,227.75,262,Christmas Mountain
74,24,224.5416667,95.62107243,125,150,199.5,256,495,Coffee ll
75,16,162,64.56727757,81,117.5,151,181,312,Ski Cooper
76,14,169.0714286,35.29319892,103,156.25,175,193.5,229,Cooper Spur
77,18,158.3333333,77.56894467,74,101.5,140,187.5,348,Copper Mountain
78,18,145.2222222,59.92598921,71,99,139,180.25,250,Cranmore Mountain
79,19,214.8947368,87.10013059,104,170,193,224,449,Crested Butte Mountain
80,22,257.6818182,155.2179378,79,169.5,232.5,271.25,765,Crotched Mountain
81,18,292.3888889,120.8680072,90,218.25,261,328,550,Crystal Mountain
82,24,199.2916667,68.12040438,99,139.25,183,240.5,323,Crystal Mountain 
83,24,327.9583333,466.3536146,138,189.75,232.5,281.75,2500,Dartmouth Skiway
84,24,187.3333333,82.41869072,75,131.25,175.5,231.5,377,Ski Mystic at Deer Mountain
85,13,195.3076923,88.76784761,114,143,168,195,408,Deer Valley
86,23,148.0434783,58.1897197,76,104.5,135,175.5,299,Devils Head
87,16,218.3125,75.43184009,120,187.25,200.5,238.5,457,Diamond Peak
88,24,245.0416667,106.4937145,125,174.75,212.5,306.25,570,Discovery
89,24,198.2916667,71.13396985,109,153.25,188,238.75,364,Dodge Ridge
90,22,231.2727273,124.1351728,83,147,189.5,310.75,643,Donner Ski Ranch
91,24,191.0833333,121.0917427,70,109.25,170,220.75,671,Dry Hill
92,24,231.4166667,125.5166425,46,117.5,212.5,283.5,491,Eagle Point
93,20,177.95,120.2087986,63,99.75,145,184,500,Eagle Rock
94,22,334.2272727,130.8881499,175,246.25,304.5,392.5,690,Eaglecrest
95,23,232.7826087,138.6584937,115,156.5,191,271.5,770,Eldora Mountain
96,24,246.7083333,193.0601346,99,148.75,200.5,228.25,850,Elk Mountain Ski
97,24,152.9583333,96.2431157,14,91,131,189,450,Elko SnoBowl
98,13,249.0769231,148.5134458,147,177,208,264,725,Elm Creek
99,24,245.5,79.75560496,126,183,226.5,309.25,383,Enchanted Forest
100,22,211.3181818,62.61704192,119,167.5,207,239.75,364,Four Lakes
101,23,179.6956522,67.53546865,100,125,164,226.5,350,Giants Ridge
102,24,214.2083333,77.48547082,103,171.25,208,249,475,Gore Mountain
103,21,167.1904762,56.17794856,82,115,165,207,250,Granby Ranch
104,23,223.826087,109.4966385,100,173,199,248.5,637,Grand Geneva
105,13,263.7692308,196.9382957,123,140,159,313,700,Grand Targhee
106,24,175.25,85.19963768,79,106.25,144,228.75,338,Granite Peak
107,24,195.4166667,128.3493591,80,114.75,169,223.75,660,Great Divide
108,24,204.9166667,90.86680011,90,152.25,176.5,239.25,497,Greek Peak
109,24,215.125,106.6462305,84,137,186,281.25,466,Gunstock
110,17,198.2941176,109.8526085,67,126,167,255,482,Heavenly Mountain
111,24,169.375,93.06931148,33,103.75,169,206.75,478,Hidden Valley
112,20,186.45,68.17892482,85,134,173,242.5,309,Hilltop
113,24,171.75,81.18698225,68,125.5,159,181,400,Hogadon
114,24,212.75,82.18761675,77,148.5,200,290.25,357,Holiday Mountain
115,16,182.1875,104.8473295,89,130.25,149,215,525,Holiday Valley
116,17,184.3529412,99.82418368,89,132,159,209,525,Holimont
117,24,217.7916667,154.6550099,95,140.75,175.5,237.5,850,Hoodoo
118,18,124.9444444,56.21960326,74,84.25,112,144.25,299,Howelsen Hill
119,24,242.5416667,90.47362295,99,189.5,225,302.25,444,Hunt Hollow
120,11,241.0909091,99.14378906,70,216,244,271,415,Hunter Mountain
121,18,180.5555556,69.07559561,66,120,180,217,323,Hyland Ski Snowboard Area
