,ski_resort,city,city_2,state,abbreviation,state_2,url,url_2
0,49 Degrees North,Chewelah,Chewelah%2C%20,Washington,WA,Chewelah%2C%20WA,https://www.airbnb.com/s/Chewelah--Washington--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Chewelah%2C%20WA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Chewelah--Washington--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Chewelah%2C%20WA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
1,Afton Alps,Hastings,Hastings%2C%20,Minnesota,MN,Hastings%2C%20MN,https://www.airbnb.com/s/Hastings--Minnesota--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Hastings%2C%20MN&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Hastings--Minnesota--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Hastings%2C%20MN&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
2,Alpental,Snoquale-Pass,Snoquale%20Pass%2C%20,Washington,WA,Snoquale%20Pass%2C%20WA,https://www.airbnb.com/s/Snoquale-Pass--Washington--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Snoquale%20Pass%2C%20WA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Snoquale-Pass--Washington--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Snoquale%20Pass%2C%20WA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
3,Alpine Valley Ohio,Chesterland,Chesterland%2C%20,Ohio,OH,Chesterland%2C%20OH,https://www.airbnb.com/s/Chesterland--Ohio--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Chesterland%2C%20OH&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Chesterland--Ohio--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Chesterland%2C%20OH&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
4,Alpine Valley Wisconsin,East-Troy,East%20Troy%2C%20,Wisconsin,WI,East%20Troy%2C%20WI,https://www.airbnb.com/s/East-Troy--Wisconsin--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=East%20Troy%2C%20WI&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/East-Troy--Wisconsin--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=East%20Troy%2C%20WI&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
5,Alta,Alta,Alta%2C%20,Utah,UT,Alta%2C%20UT,https://www.airbnb.com/s/Alta--Utah--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Alta%2C%20UT&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Alta--Utah--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Alta%2C%20UT&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
6,Alyeska,Girdwood,Girdwood%2C%20,Alaska,AK,Girdwood%2C%20AK,https://www.airbnb.com/s/Girdwood--Alaska--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Girdwood%2C%20AK&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Girdwood--Alaska--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Girdwood%2C%20AK&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
7,Andes Tower Hills,Kensington,Kensington%2C%20,Minnesota,MN,Kensington%2C%20MN,https://www.airbnb.com/s/Kensington--Minnesota--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Kensington%2C%20MN&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Kensington--Minnesota--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Kensington%2C%20MN&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
8,Angel Fire,Angel-Fire,Angel%20Fire%2C%20,New-Mexico,NM,Angel%20Fire%2C%20NM,https://www.airbnb.com/s/Angel-Fire--New-Mexico--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Angel%20Fire%2C%20NM&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Angel-Fire--New-Mexico--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Angel%20Fire%2C%20NM&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
9,Anthony Lakes,North-Powder,North%20Powder%2C%20,Oregon,OR,North%20Powder%2C%20OR,https://www.airbnb.com/s/North-Powder--Oregon--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=North%20Powder%2C%20OR&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/North-Powder--Oregon--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=North%20Powder%2C%20OR&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
