,airport,ski_resort,distance,latitude,longitude
0,Ione Municipal,49 Degrees North,52.86744192379562,48.70727528,-117.41260359999998
1,South St.Paul Municipal,Afton Alps,19.07907653026623,44.85713278,-93.03285389
2,Renton Municipal,Alpental,62.3560568304202,47.49313889,-122.21575
3,Cuyahoga County,Alpine Valley Ohio,19.327602708404115,41.56512389,-81.48635389
4,Palmyra Municipal,Alpine Valley Wisconsin,19.11414907897272,42.88355556,-88.59743056
5,Salt Lake City Municipal 2,Alta,30.15568181369681,40.61954,-111.9928858
6,Hope,Alyeska,25.679319942235786,60.90415028,-149.6238389
7,Elbow Lake Municipal,Andes Tower Hills,31.757633320110003,45.98607111,-95.99199861
8,Springer Municipal,Angel Fire,60.026491427430784,36.32697806,-104.61971170000001
9,La Grande/Union County,Anthony Lakes,32.55381402966117,45.29020944,-118.0071108
10,Morganton-Lenoir,Appalachian Ski Mountain,35.39009364444582,35.82149222,-81.61073639
11,James Clements Municipal,Apple Mountain,19.033867404545315,43.54691667,-83.89550222
12,Eagle County Regional,Arapahoe Basin,74.88406972554733,39.64256778,-106.91769529999999
13,Sedona,Arizona Snowbowl,40.83664389029367,34.84862889,-111.7884614
14,Eagle County Regional,Aspen Snowmass,50.93305359186882,39.64256778,-106.91769529999999
15,Berlin Municipal,Attitash,55.9552295105784,44.57537278,-71.17593167
16,Mariposa-Yosemite,Badger Pass,48.14722893466472,37.51077,-120.0418439
17,Quakertown,Bear Creek Mountain,21.128420059574307,40.43521194,-75.38192861
18,San Bernardino International,Bear Mountain,34.03437804930277,34.09535361,-117.23487420000001
19,Columbia,Bear Valley,58.32243298263474,38.03042306,-120.41455559999999
20,Eagle County Regional,Beaver Creek,46.20402576319075,39.64256778,-106.91769529999999
21,Brigham City,Beaver Mountain,27.95640154493344,41.55239139,-112.0622625
22,Freehold,Belleayre,42.73536530307899,42.36425,-74.06596806
23,Turners Falls,Berkshire East,28.69132681028623,42.59136361,-72.52275472
