,airport,ski_resort,distance_1
184260,Colville Municipal,49 Degrees North,32.024440803607554
68393,Lake Elmo,Afton Alps,16.70792861898898
954170,Cle Elum Municipal,Alpental,45.31106002145224
209827,Geauga County,Alpine Valley Ohio,18.511067513998302
164676,East Troy Municipal,Alpine Valley Wisconsin,2.9667503598466527
101597,Heber City Municipal/Russ McDonald ,Alta,21.310202361310484
285526,Girdwood,Alyeska,2.2589219919772177
300135,Chandler ,Andes Tower Hills,18.322315713195042
301132,Angel Fire,Angel Fire,3.2829378630916737
321717,Baker City Municipal,Anthony Lakes,26.403521461229168
187590,Johnson County,Appalachian Ski Mountain,34.10982114551501
731075,Mbs International,Apple Mountain,7.232834007948978
707172,Lake County,Arapahoe Basin,51.27973380651036
504321,Flagstaff Pulliam,Arizona Snowbowl,6.89458806968982
288522,Aspen-Pitkin Co/Sardy ,Aspen Snowmass,5.679059399701363
631811,Eastern Slopes Regional,Attitash,24.676147234018273
807750,Lee Vining,Badger Pass,48.031549459545204
60108,Allentown Queen City Muni,Bear Creek Mountain,15.633126066007542
669329,Big Bear City,Bear Mountain,5.674777599160252
1047146,Lake Tahoe,Bear Valley,47.88676864556695
68079,McElroy Airfield,Beaver Creek,45.63610202132807
685600,Logan-Cache,Beaver Mountain,5.855693748447605
785534,Maben,Belleayre,16.195959017798707
285211,Harriman And West,Berkshire East,25.715389047199924
789852,Cherry Ridge,Big Bear,22.417617536164876
765285,Pocono Mountains Muni,Big Boulder,18.594129051680607
628834,Gogebic County,Big Powderhorn Mountain,3.4648941637586566
177979,Ennis - Big Sky,Big Sky,26.679464336937567
105936,Greenville Municipal,Big Squaw,3.064751024994989
100293,Padgham ,Bittersweet,8.964344978368866
311115,Laurence G Hanscom ,Black Mountain,10.364776937036371
944240,Kalispell City,Blacktail Mountain,18.51284095894385
304474,Barnes Municipal,Blandford,17.632267442699334
848293,Norwood Memorial,Blue Hills,5.210921332962469
281902,Altoona-Blair Cty,Blue Knob,11.001007741735565
70087,Carbon Cty-Jake Arner Memorial,Blue Mountain,12.766521210028312
275928,Walla Walla Regional,Bluewood,35.20305638385355
329049,Boise Air Terminal,Bogus Basin,8.883013340426134
778246,Morrisville-Stowe State,Bolton Valley,3.9307216007300916
1040859,Truckee-Tahoe,Boreal,3.650247248672019
50836,Kent State University,Boston Mills and Brandywine,15.104896433990424
888141,Pittsfield Municipal,Bousquet,2.376368164900054
412630,Harbor Springs,Boyne Highlands,5.312451499370676
537882,Otsego County,Boyne Mountain,23.973071820783098
704879,Lawrence Municipal,Bradford,6.816853863634484
111264,Williamson/Sodus,Brantling Ski,10.419999916046107
707205,Lake County,Breckenridge,37.650223555657234
571086,Mt Washington Regional,Bretton Woods,15.106891595405589
56819,Parowan,Brian Head,18.81225089880275
344664,Gallatin ,Bridger Bowl,21.35017213159304
101641,Heber City Municipal/Russ McDonald ,Brighton,20.911227052662042
409738,Canandaiga,Bristol Mountain,19.27468822126643
302835,Granville,Bromley Mountain,32.871261291960906
1076396,Neillsville Municipal,Bruce Mound,6.459146244731966
783241,McCall,Brundage Mountain,2.281637765096324
1087354,Luray Caverns,Bryce,28.154450554424628
702899,Airlake ,Buck Hill,11.606467484089341
320768,Bemidji-Beltrami County,Buena Vista,17.235772887519204
239097,Buffalo Airfield,Buffalo Ski Club,10.735727130784854
189298,Caledonia County State,Burke Mountain,6.528732128691559
352975,Wexford County,Caberfae Peaks Ski Golf,24.18007406232087
164400,Islesboro,Camden,16.058923501096757
792213,Stroudsburg-Pocono,Camelback Mountain,12.173456933083049
150126,Greenwood Lake,Campgaw Mountain,14.755137957517652
1089355,Grant County,Canaan Valley,31.447322828954857
571104,Mt Washington Regional,Cannon Mountain,27.521646809923986
224829,Sparta,Cannonsburg,18.759572316377664
348334,Portage Municipal,Cascade Mountain,6.84289865192589
71779,Jackson County,Cataloochee,29.465164881010654
525624,Great Barrington,Catamount Ski Ride Area,10.050023360948623
415733,Dubuque Municipal,Chestnut Mountain,23.050741222959143
914399,Rusk County,Christie Mountain,21.6503491962458
424368,Baraboo - Wisconsin Dells,Christmas Mountain,12.73159393891737
834057,Winona Muni-Max Conrad,Coffee ll,41.60407485847426
154123,Hood River,Cooper Spur,27.789284596204016
707236,Lake County,Copper Mountain,34.33267823476256
631873,Eastern Slopes Regional,Cranmore Mountain,16.022163618438004
288586,Aspen-Pitkin Co/Sardy ,Crested Butte Mountain,35.51106855100359
262027,Jaffrey Municipal Silver Ranch,Crotched Mountain,25.130794302242982
108645,Frankfort Dow Memorial,Crystal Mountain Michigan,20.347382977883147
163092,Packwood,Crystal Mountain Washington,41.25886242756813
682010,Lebanon Municipal,Dartmouth Skiway,8.770729440963555
101676,Heber City Municipal/Russ McDonald ,Deer Valley,19.176280636612944
424381,Baraboo - Wisconsin Dells,Devils Head,16.41217458891997
403798,Carson,Diamond Peak,17.695163760394166
