,airport_3,ski_resort,distance_3
827344,Wiley Post,49 Degrees North,2171.173214639305
854569,Babelthoup/Koror,Afton Alps,12532.478177942337
807426,Palmdale Production Flight,Alpental,1445.818249437793
593619,Rock County,Alpine Valley Ohio,653.3384682226842
906032,Sac City Municipal,Alpine Valley Wisconsin,540.0303043887802
838637,Ruth,Alta,987.4901663595957
522574,Thompson-Robbins,Alyeska,5021.854293137739
453187,Jonesboro,Andes Tower Hills,1537.9125737957622
600596,Salem Memorial,Angel Fire,1221.2985964057634
130485,Panola County-Sharpe ,Anthony Lakes,2494.0538396333595
678286,White County,Appalachian Ski Mountain,674.4259717196952
102599,Phillipsburg,Apple Mountain,396.3274279832077
114220,Big Sandy,Arapahoe Basin,1002.8395555026603
728753,Pottstown Muni,Arizona Snowbowl,3191.511544692565
381482,"W. H. \Bud\"" Barron """,Aspen Snowmass,2262.142050242144
827691,Pine River Regional,Attitash,1824.3117674772134
75690,Jefferson County Airpark,Badger Pass,3343.135259004509
673976,Mobridge Municipal,Bear Creek Mountain,2082.975192974961
278233,Algona Municipal,Bear Mountain,2187.8758054536515
21266,Dumas Municipal,Bear Valley,2597.924598295004
114227,Big Sandy,Beaver Creek,993.1092500337611
899740,Skagway,Beaver Mountain,2547.141523488623
57126,Grandfield Municipal,Belleayre,2284.2249831966624
716147,Montauk,Berkshire East,189.53294605580535
676972,McCook Municipal,Big Bear,2150.698201416647
31565,Brenham Municipal,Big Boulder,2224.2015683461923
129174,Simsbury Tri-Town,Big Powderhorn Mountain,1467.8586644614943
939587,Gillespie County,Big Sky,1988.9727196193433
139800,I H Bass Jr Memorial,Big Squaw,2353.7722536081974
202217,Cheyenne Eagle Butte,Bittersweet,1273.85946256355
40535,McCreary County ,Black Mountain,1281.422285719812
181968,Big Timber,Blacktail Mountain,405.65754976569565
303478,Brookings,Blandford,4169.392058279436
40537,McCreary County ,Blue Hills,1292.1858620172263
548166,Hawk Inlet SPB,Blue Knob,4381.913646562265
676319,Merced Municipal/MacReady ,Blue Mountain,3855.275141298434
601288,St Clair Memorial,Bluewood,2373.9097627501806
399101,Unalaska,Bogus Basin,3772.0947497111847
747038,Prague Municipal,Bolton Valley,2278.3652005923273
131179,Greenville Muni,Boreal,3348.3627471239724
233436,Taylor County,Boston Mills and Brandywine,539.238451334483
117901,White Cloud,Bousquet,1023.9844364163778
948810,Tacoma Narrows,Boyne Highlands,2866.9124915226384
948566,Tacoma Narrows,Boyne Mountain,2878.7281223279406
759659,Henry County,Bradford,1082.2403242358946
258672,Ames Municipal,Brantling Ski,1359.6078193741455
241077,Double Eagle II,Breckenridge,486.81369165811674
827722,Pine River Regional,Bretton Woods,1802.429955982637
901427,Sheridan County,Brian Head,926.8516337205218
207216,New Holstein Municipal,Bridger Bowl,1799.9072866756787
838681,Ruth,Brighton,991.1832218425523
790210,Grider ,Bristol Mountain,1580.149321839761
234443,Abilene Regional,Bromley Mountain,2610.537426635643
262664,Centennial,Bruce Mound,1298.6579564344424
130529,Panola County-Sharpe ,Brundage Mountain,2354.649922322157
705554,Mountain Village,Bryce,6016.803542420944
854623,Babelthoup/Koror,Buck Hill,12510.435941120386
746392,Hooker Municipal,Buena Vista,1308.5779414807732
202909,Smithville Municipal,Buffalo Ski Club,2164.911364494138
747058,Prague Municipal,Burke Mountain,2327.5131963180697
200587,Antlers Municipal,Caberfae Peaks Ski Golf,1405.3916025442807
194612,Martin ,Camden,2215.034534271704
31601,Brenham Municipal,Camelback Mountain,2243.2419285493274
302846,Barnwell County,Campgaw Mountain,1074.7557025142642
173699,Middlebury State,Canaan Valley,756.1099858223234
827740,Pine River Regional,Cannon Mountain,1787.3182024299379
951245,Tuluksak,Cannonsburg,5190.466778207511
659750,Waldron Municipal,Cascade Mountain,1037.4551993174691
253715,Anaktuvuk Pass,Cataloochee,5499.072337094435
111288,Illinois Valley,Catamount Ski Ride Area,4073.7259175166523
714533,Florida Keys Marathon,Chestnut Mountain,2147.0432293620393
903775,Siskiyou County,Christie Mountain,2527.8251992547976
184000,Wall Municipal,Christmas Mountain,993.8014020320112
795545,Pleasanton Municipal,Coffee ll,1808.4863141464148
930671,Cheyenne County Municipal,Cooper Spur,1732.8756381563394
114284,Big Sandy,Copper Mountain,1013.7716555358023
767993,O Neill Municipal,Cranmore Mountain,2228.1504344152404
381546,"W. H. \Bud\"" Barron """,Crested Butte Mountain,2268.407814661082
716203,Montauk,Crotched Mountain,215.19505619204
584733,Jasper County -Bell ,Crystal Mountain Michigan,1670.465708413
807504,Palmdale Production Flight,Crystal Mountain Washington,1398.7736658386611
672382,Midland International,Dartmouth Skiway,2912.9888834804174
