,city,state,ski_resort,location
0,Olympic Valley,California,Palisades Tahoe,"Olympic Valley, California"
1,Mammoth Mountain Lakes,California,Mammoth Mountain,"Mammoth Mountain Lakes, California"
2,Norden,California,Donner Ski Ranch,"Norden, California"
3,Norden,California,Sugar Bowl,"Kirkwood, California"
4,Kirkwood,California,Kirkwood,"Truckee, California"
5,Truckee,California,Boreal,"Twin Bridges, California"
6,Twin Bridges,California,Sierra at Tahoe,"Reno, Nevada"
7,Reno,Nevada,Mt. Rose Ski Tahoe,"Pagosa Springs, Colorado"
8,Truckee,California,Soda Springs,"Chewelah, Washington"
9,Pagosa Springs,Colorado,Wolf Creek,"Bear Valley, California"
10,Chewelah,Washington,49 Degrees North,"Alta, Utah"
11,Bear Valley,California,Bear Valley,"Mt. Hood, Oregon"
12,Alta,Utah,Alta,"Snowbird, Utah"
13,Mt. Hood,Oregon,Mt. Hood Meadows,"Bellingham, Washington"
14,Snowbird,Utah,Snowbird,"Snoqualmie Pass, Washington"
15,Truckee,California,Northstar California,"Mead, Washington"
16,Bellingham,Washington,Mt. Baker,"Huntsville, Utah"
17,Snoqualmie Pass,Washington,Alpental,"Brighton, Utah"
18,Truckee,California,Tahoe Donner,"Girdwood, Alaska"
19,Mead,Washington,Mt. Spokane,"McCall, Idaho"
20,Huntsville,Utah,Snowbasin,"Pinecrest, California"
21,Brighton,Utah,Brighton,"Bend, Oregon"
22,Girdwood,Alaska,Alyeska,"Ashland, Oregon"
23,McCall,Idaho,Brundage Mountain,"Stateline, California"
24,Pinecrest,California,Dodge Ridge,"Timberline Lodge, Oregon"
25,Bend,Oregon,Mt. Bachelor,"June Lake, California"
26,Brighton,Utah,Solitude Mountain,"Mt. Shasta Board Ski Park, California"
27,Ashland,Oregon,Mt. Ashland,"Eugene, Oregon"
28,Stateline,California,Heavenly Mountain,"Park City Mountain, Utah"
29,Timberline Lodge,Oregon,Timberline Lodge,"Silverton Mountain, Colorado"
30,June Lake,California,June Mountain,"Incline Village, Nevada"
31,Mt. Shasta Board Ski Park,California,Mt. Shasta Board Ski Park,"Blowing Rock, North Carolina"
32,Eugene,Oregon,Willamette Pass,"Alta, Wyoming"
33,Park City Mountain,Utah,Deer Valley,"Teton Village, Wyoming"
34,Silverton Mountain,Colorado,Silverton Mountain,"Wallace, Idaho"
35,Park City Mountain,Utah,Park City Mountain,"Eden, Utah"
36,Incline Village,Nevada,Diamond Peak,"Aspen, Colorado"
37,Blowing Rock,North Carolina,Appalachian Ski Mountain,"Copper Mountain, Colorado"
38,Alta,Wyoming,Grand Targhee,"Steamboat Springs, Colorado"
39,Teton Village,Wyoming,Jackson Hole,"Inkom, Idaho"
40,Wallace,Idaho,Lookout Pass,"Flagstaff, Arizona"
41,Eden,Utah,Powder Mountain,"Telluride, Colorado"
42,Aspen,Colorado,Aspen Snowmass,"Welch, Minnesota"
43,Copper Mountain,Colorado,Copper Mountain,"Taos Ski Valley Ski Valley, New Mexico"
44,Steamboat Springs,Colorado,Steamboat,"Monarch Mountain, Colorado"
45,Inkom,Idaho,Pebble Creek,"Sundance, Utah"
46,Flagstaff,Arizona,Arizona Snowbowl,"Durango, Colorado"
47,Telluride,Colorado,Telluride,"Breckenridge, Colorado"
48,Welch,Minnesota,Welch Village,"Winter Park, Colorado"
49,Taos Ski Valley Ski Valley,New Mexico,Taos Ski Valley,"Crystal Mountain, Washington"
50,Monarch Mountain,Colorado,Monarch Mountain,"White Pass, Washington"
51,Sundance,Utah,Sundance,"Big Sky, Montana"
52,Durango,Colorado,Purgatory Mountain,"Leadville, Colorado"
53,Breckenridge,Colorado,Breckenridge,"Mesa, Colorado"
54,Winter Park,Colorado,Winter Park,"Sandpoint, Idaho"
55,Crystal Mountain,Washington,Crystal Mountain Washington,"Mt. Crested Butte Mountain, Colorado"
56,White Pass,Washington,White Pass,"Skykomish, Washington"
57,Big Sky,Montana,Big Sky,"Bessemer, Michigan"
58,Leadville,Colorado,Ski Cooper,"Brian Head, Utah"
59,Mesa,Colorado,Powderhorn,"Wakefield, Michigan"
60,Sandpoint,Idaho,Schweitzer,"Sisters, Oregon"
61,Mt. Crested Butte Mountain,Colorado,Crested Butte Mountain,"Dayton, Washington"
62,Skykomish,Washington,Stevens Pass,"Logan, Utah"
63,Snoqualmie Pass,Washington,Summit at Snoqualmie,"Boise, Idaho"
64,Bessemer,Michigan,Black River,"Conner, Montana"
