,ski_resort,airport_1,distance_1,lat,long,airport_2,distance_2,lat_2,long_2,airport_3,distance_3,lat_3,long_3
0,49 Degrees North,Colville Municipal,32.024440803607554,48.54156944,-117.8844247,Ione Municipal,52.86744192379562,48.70727528,-117.41260359999998,Wiley Post,2171.173214639305,35.53455,-97.64721556
1,Afton Alps,Lake Elmo,16.70792861898898,44.99748861,-92.85568111,South St.Paul Municipal,19.07907653026623,44.85713278,-93.03285389,Babelthoup/Koror,12532.478177942337,7.367222,134.544167
2,Alpental,Cle Elum Municipal,45.31106002145224,47.18317583,-120.884525,Renton Municipal,62.3560568304202,47.49313889,-122.21575,Palmdale Production Flight,1445.818249437793,34.62938889,-118.0845528
3,Alpine Valley Ohio,Geauga County,18.511067513998302,41.44960972,-81.06292972,Cuyahoga County,19.327602708404115,41.56512389,-81.48635389,Rock County,653.3384682226842,42.61958222,-89.04034028
4,Alpine Valley Wisconsin,East Troy Municipal,2.9667503598466527,42.79711111,-88.3725,Palmyra Municipal,19.11414907897272,42.88355556,-88.59743056,Sac City Municipal,540.0303043887802,42.37908333,-94.97958333
5,Alta,Heber City Municipal/Russ McDonald ,21.310202361310484,40.48180556,-111.42880559999999,Salt Lake City Municipal 2,30.15568181369681,40.61954,-111.9928858,Ruth,987.4901663595957,40.21125917,-123.29752309999999
6,Alyeska,Girdwood,2.2589219919772177,60.96609583,-149.12578919999999,Hope,25.679319942235786,60.90415028,-149.6238389,Thompson-Robbins,5021.854293137739,34.57648972,-90.67588639
7,Andes Tower Hills,Chandler ,18.322315713195042,45.86629833,-95.39466806,Elbow Lake Municipal,31.757633320110003,45.98607111,-95.99199861,Jonesboro,1537.9125737957622,32.20199028,-92.73293028
8,Angel Fire,Angel Fire,3.2829378630916737,36.42240972,-105.2892967,Springer Municipal,60.026491427430784,36.32697806,-104.61971170000001,Salem Memorial,1221.2985964057634,37.61523333,-91.60444167
9,Anthony Lakes,Baker City Municipal,26.403521461229168,44.83733333,-117.80908329999998,La Grande/Union County,32.55381402966117,45.29020944,-118.0071108,Panola County-Sharpe ,2494.0538396333595,32.17608333,-94.29880556
10,Appalachian Ski Mountain,Johnson County,34.10982114551501,36.41789833,-81.82511528,Morganton-Lenoir,35.39009364444582,35.82149222,-81.61073639,White County,674.4259717196952,40.70881639,-86.76676139
11,Appalachian Ski Mountain,Johnson County,34.10982114551501,44.38108528,-106.72178970000002,Morganton-Lenoir,35.39009364444582,35.82149222,-81.61073639,White County,674.4259717196952,40.70881639,-86.76676139
12,Apple Mountain,Mbs International,7.232834007948978,43.53291472,-84.07964722,James Clements Municipal,19.033867404545315,43.54691667,-83.89550222,Phillipsburg,396.3274279832077,39.91344194,-84.40030889
13,Arapahoe Basin,Lake County,51.27973380651036,42.16111111,-120.39907029999999,Eagle County Regional,74.88406972554733,39.64256778,-106.91769529999999,Big Sandy,1002.8395555026603,48.16247972,-110.11326310000001
14,Arapahoe Basin,Lake County,51.27973380651036,39.2202675,-106.3166906,Eagle County Regional,74.88406972554733,39.64256778,-106.91769529999999,Big Sandy,1002.8395555026603,48.16247972,-110.11326310000001
15,Arizona Snowbowl,Flagstaff Pulliam,6.89458806968982,35.13845472,-111.67121829999999,Sedona,40.83664389029367,34.84862889,-111.7884614,Pottstown Muni,3191.511544692565,40.26040083,-75.67085306
