ski_resort,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,averageSnowfall,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,childrenWeekdayPrice,childrenWeekendPrice,teenagerWeekdayPrice,teenagerWeekendPrice,adultWeekdayPrice,adultWeekendPrice,seniorWeekdayPrice,seniorWeekendPrice,childrenPrice_season,teenagerPrice_season,adultPrice_season,beginner_runs,intermediate_runs,advanced_runs,expert_runs,night_skiing,epic,mountain_collective,ikon,indy,dec_mean_2_guests,dec_min_2_guests,dec_max_2_guests,jan_mean_2_guests,jan_min_2_guests,jan_max_2_guests,feb_mean_2_guests,feb_min_2_guests,feb_max_2_guests,mar_mean_2_guests,mar_min_2_guests,mar_max_2_guests,apr_mean_2_guests,apr_min_2_guests,apr_max_2_guests,may_mean_2_guests,may_min_2_guests,may_max_2_guests,dec_mean_4_guests,dec_min_4_guests,dec_max_4_guests,jan_mean_4_guests,jan_min_4_guests,jan_max_4_guests,feb_mean_4_guests,feb_min_4_guests,feb_max_4_guests,mar_mean_4_guests,mar_min_4_guests,mar_max_4_guests,apr_mean_4_guests,apr_min_4_guests,apr_max_4_guests,may_mean_4_guests,may_min_4_guests,may_max_4_guests,total_lifts,state_Alaska,state_Arizona,state_California,state_Colorado,state_Connecticut,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Missouri,state_Montana,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_Ohio,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Dakota,state_Tennessee,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,state_Wisconsin,state_Wyoming
Palisades Tahoe,1.18648685863354,1.7106422448386536,0.9024381348862771,4.759105665977414,2.2380957893267386,5.503541954626439,0.0065026983668435385,6.302091649112178,1.9020883784239755,1.0803036733011764,4.4785543964030765,2.2032834123236453,2.8648266210784357,3.3645844369850324,1.9778192066637477,3.196189035354408,2.324038820430643,2.4732214822687,2.4716010264724235,2.899989238130406,2.50250598277376,4.2273463745481195,4.285506506167066,3.0777747142933145,0.5228165896293862,2.032763762372974,3.4482352522348667,2.3659577186127487,3.721999247690965,0.8935521675835221,1.7394444547495838,1.3451646574143319,0.536237585220671,0.9870829773492726,0.7535830845066034,-0.5273005748506804,-0.5861256034503087,-0.3333333333333333,4.58257569495584,2.7315816776253388,-0.5188745216627708,1.8314779777859855,1.751643298558075,0.35573134880654156,3.295357285023184,1.7367469938018838,1.5937956719818793,2.898612387974006,1.6301538321748166,1.5010670378136421,2.558096926521692,1.651698361017521,1.5955958065677844,2.9679813969402287,1.9273058928060531,1.4006825696314915,0.9177230346560689,0.6454211074601149,-0.12724948101894504,1.495129123173976,1.9008269560503175,0.8352862906832115,2.945924852224999,3.211569953867922,2.048184353643082,2.377919210043778,1.5448742062567584,1.6798030377110305,2.5414699923485142,2.5374087365952662,2.180665934390164,2.334114800226002,1.8416597997263235,1.6698740860480612,2.0002768217837597,1.059824731382973,1.3689091564648148,4.6545034500490505,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammoth Mountain,1.7228872196883878,1.9738808084476622,1.4656192516769813,4.759105665977414,3.594102418110993,2.5999946404350323,0.0065026983668435385,2.697775801266392,1.3256979607197403,-1.2900434822133728,2.4966027535774606,-0.5935626224206558,1.49794651337561,2.1747127880964516,1.615721931657347,3.0736443180699933,1.967767771773731,1.954473756114884,1.6105164881614775,1.949975391321418,1.9072438676978296,1.6014387685409786,1.898072903116584,2.6986698025158082,0.3162231060895187,2.032763762372974,2.4078368648799446,2.0753054733336493,2.3951394175150944,0.8935521675835221,1.7394444547495838,1.3451646574143319,-0.12208980734934928,1.1349885544002458,0.3789673407649326,0.5767108776185333,-0.5861256034503087,-0.3333333333333333,4.58257569495584,2.7315816776253388,-0.5188745216627708,0.04918863072532985,1.137194945090985,-0.49846343967829254,1.3153867049631671,2.38494266265563,-0.17683801535533283,0.9333158562933781,2.140197899941825,-0.271846786375699,1.2410897792231121,2.4018503829495086,0.2247261415649765,1.0826749063909284,1.9700916946645126,0.11894324012913841,-0.469571511297517,2.049743956659047,-0.8429772945417642,0.12932626598236627,0.0353533714446668,-0.190921970080168,0.7570270042204742,1.1745491593241837,0.02341629000547067,0.53328669483925,1.042054906459214,-0.09590859418463879,0.7922257887282231,1.1392015042712103,-0.15557507603298706,0.6844331414388378,0.41560131124188193,0.11055003596066072,-1.0495102680090902,-1.0075463814044405,-0.9285380536130279,2.8014822256930456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donner Ski Ranch,0.9085120334837985,-0.500561689477019,1.1694110430739983,-0.32343436564895045,-0.4739174682417697,-0.3035526737563743,-0.7087941219859498,-0.305820738605097,1.9020883784239755,-0.3419046200075532,0.024271322836227474,0.5637529781631931,-0.13957585565237468,-0.36368006286585425,1.615721931657347,-0.11251833132478045,0.1072411843431917,-0.12051714850038163,-0.06633234960194374,0.382452544086588,-0.07696318255527178,1.345252660637843,1.233217975684804,1.656131295127666,0.11313120701642862,0.7120349300627906,0.5351197676410849,1.2760117988161261,1.0907687370032215,0.48242700314382253,0.29949733180974347,-0.33190977004388,0.9312340207626832,0.6419699642303351,0.19165946889409724,0.3219390039717917,-0.5861256034503087,-0.3333333333333333,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,1.294874733509659,2.1740765415666994,-0.010927734929873074,1.3153867049631671,2.2634059747455524,0.531415459579552,1.7253010257766161,2.0309027425631805,1.332218102176562,1.625833440231686,2.139297175273313,0.8180326363645789,1.7853800528683947,2.5263071188244837,1.5573040837103327,0.675497002822903,1.6284471018993674,-0.15392256723718675,0.7167683550970372,0.9828955096570607,0.1546739390428945,0.9211943428208135,2.0770267265271056,0.8515822934900975,0.6666336236492159,1.5448742062567584,0.10505320460132749,0.6483006327341486,2.0195542061048752,0.3238177441632821,0.9713342994887794,1.4851451776052131,0.936074533065755,0.3693746347287598,-0.33030412031890855,0.6467409488064946,-0.06227784831168934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugar Bowl,1.0078652706037927,0.28915400135000696,1.1218635215195065,1.370745644893171,1.7860935797319872,-0.3035526737563743,1.43709633907243,-0.305820738605097,-0.9798637100971995,-0.3419046200075532,1.1071933544832138,-0.5935626224206558,0.48645523367551935,0.8856851684671557,2.339916481670148,1.358018276088192,1.967767771773731,1.7815578473969451,1.791797443595361,2.6149850840877096,1.113561047596589,1.7935783494683304,1.6563074749595732,2.09842035886809,0.16215338955131245,1.5044722294489006,1.2842066065366287,1.6151060849750751,1.4056168322991909,2.172608234729254,1.7729315971435335,1.197187502050372,-0.12208980734934928,0.9870829773492726,0.6287111699260465,0.49178691973628613,-0.5861256034503087,-0.3333333333333333,4.58257569495584,-0.366088266073499,-0.5188745216627708,1.294874733509659,2.1740765415666994,-0.010927734929873074,1.4081978259034804,2.2634059747455524,0.531415459579552,1.8426321619963553,2.0309027425631805,1.332218102176562,1.625833440231686,2.139297175273313,0.8180326363645789,1.7853800528683947,2.5263071188244837,1.5573040837103327,0.9177230346560689,1.6284471018993674,-0.02055713614597821,0.6286520417298366,0.9828955096570607,0.1546739390428945,0.9211943428208135,2.0770267265271056,0.8515822934900975,0.6555213795817186,1.5448742062567584,-0.09261413846683607,0.9029374471852036,2.0195542061048752,0.3238177441632821,0.9713342994887794,1.4851451776052131,0.936074533065755,0.5977009409164598,0.988536072321338,0.6467409488064946,0.6115480514541306,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirkwood,1.3873357207359542,0.8156311285680242,1.4164653949348378,-0.32343436564895045,0.43008695094773314,-0.3035526737563743,0.7217995187196369,2.097056493292094,-0.4034732923929645,0.13216481109535672,0.8007059870359535,1.5281826453164005,0.841844061678254,0.1915933732821502,1.2825924386514587,1.970741862510264,2.126110460065692,2.4299925050892157,2.3356403098970113,2.7099864687686086,1.9072438676978296,-0.5441198851477825,-0.5498020569731515,-1.1555634672221724,-0.19850981052676134,-1.2470461711973149,-1.316789361850676,-0.8796590203371945,-0.910765583092583,0.3545213964292493,0.23252304702184393,-0.21846061759817742,-1.1095808962043798,-1.2315006784153255,-1.1194956342017504,-0.5273005748506804,-0.5861256034503087,2.9999999999999996,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,2.214766009411933,-0.6677470932185913,2.180968326087814,1.7639737895080148,-0.6129623057929456,1.4061085011241348,2.0772944344358333,-0.665044472776723,2.274395163031469,2.24734243109169,-0.598757704778441,2.439491379916287,1.7853800528683947,-0.6398422187015049,0.7614110835954052,1.8646066136402624,1.3475825320595811,0.5795873037644602,1.759478063275578,1.4270558869441203,1.5723224642211713,1.6982530788624197,0.761987985745705,1.11894297178041,1.5556131490489884,0.9163500815098279,1.8478202793189695,1.733274885612557,0.8802742390260148,1.7300366834056715,1.8200835587198565,1.073782152080855,0.8082155200461109,1.6414783406316598,0.7746700951364331,0.4364392180048959,0.7800045263955856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boreal,0.8249589068491942,-0.7638002530860276,1.2237051724166275,-0.32343436564895045,-0.021915258647018293,-0.3035526737563743,0.0065026983668435385,0.8956178773434985,-0.4034732923929645,-0.3419046200075532,-0.34351351810048486,-0.7864485558512974,-0.20791986103751595,0.1915933732821502,1.615721931657347,1.7256524279414354,2.2844531483576525,1.9112447789353992,1.1573140995767692,1.7599726219596203,1.4111921051345542,0.7047873908800038,-0.5498020569731515,0.07652749605472314,-0.19850981052676134,-0.16845095814399833,-1.316789361850676,0.0649607768198786,-0.910765583092583,0.5281075769704558,0.1320616198399946,-0.20859547390724675,0.6020703244776731,0.19825323307741552,1.6276864865705019,-0.5273005748506804,1.4931159890098031,-0.3333333333333333,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,0.8157646939772247,2.1740765415666994,-0.010927734929873074,0.9905477816720707,1.5341858472850882,0.33664575397245866,0.8306511121011065,2.0309027425631805,-0.18404533984441732,1.1375049474131114,1.651698361017521,0.08100593475016599,0.6884744583669838,1.9273058928060531,-0.2454415069114308,-0.3374482212066993,0.6454211074601149,-0.5718009179896402,0.34961704940036786,1.10133827693361,-0.3249285470870698,0.49435926245993117,1.4323998928107329,-0.02223065506848514,0.46661323043426706,1.293464556357986,-0.09261413846683607,0.5154466425857721,1.3722360429918863,-0.26423744861080806,0.3377609087951584,0.9366611435727356,-0.31749970327901783,0.02688517544720981,-0.33030412031890855,-0.31747264713291085,-0.06227784831168934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra at Tahoe,1.1334627590385025,1.0388574305084635,1.0437956313996313,-0.32343436564895045,0.8820891605424845,-0.3035526737563743,-0.7087941219859498,-0.305820738605097,1.9020883784239755,1.0803036733011764,-0.07789113297952595,1.5281826453164005,0.677818448753915,0.1915933732821502,2.0502386616650274,1.6031077106570208,1.6510823951898095,1.6086419386790063,2.1996795933215987,2.092477468342766,0.7167196375459688,1.0570432892468153,0.9612318690081667,2.477525270645596,0.20417240315264143,1.5044722294489006,1.2842066065366287,1.9057583302541745,1.6754866282671648,0.4367464293171892,0.6343687557492412,0.038033118366019684,-1.1095808962043798,-1.2315006784153255,-1.1194956342017504,-0.5273005748506804,-0.5861256034503087,-0.3333333333333333,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,0.9115867018837116,-0.6677470932185913,0.06965667907813014,0.6347718180675365,-0.6129623057929456,-0.017480983494983754,0.9186494642659108,-0.665044472776723,3.3584053298215233,1.1079092811816826,-0.598757704778441,3.6224192360074197,1.4597362045007884,-0.8537712279938015,3.158679156230729,2.305017580609655,1.8625009100991894,0.6240424474615297,0.40836125831183495,0.24262821417862798,-0.2755577029266323,0.6585266010602705,1.6902506262972818,0.4733647485916065,0.9444397253366448,1.0671958714490912,2.9053405647336445,1.8439865440695375,0.8802742390260148,2.7559373186256875,1.8679004183948467,1.7319629929198281,2.3369645887592485,0.7771001814925097,-0.5441700975038134,0.05948328543599253,0.9484610013370406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mt. Rose Ski Tahoe,1.3605558724556324,0.6050402776808174,1.564248232198799,-0.32343436564895045,-0.4739174682417697,2.5999946404350323,0.7217995187196369,0.2948985693692007,-0.9798637100971995,-0.3419046200075532,0.3103261991203371,1.5281826453164005,0.2404168142890108,0.7072044211338686,1.2536246566509466,1.8481971452258497,1.8885964276277507,1.3060390984226133,1.0213533830013566,1.7599726219596203,0.6175092850333137,-0.5441198851477825,-0.5498020569731515,-1.1555634672221724,-0.19850981052676134,1.7245937015005979,1.4922862840076132,-0.8796590203371945,-0.910765583092583,0.8295993642262355,-1.2040753616786015,0.39811086308498866,0.6679030637346751,0.05034765602644232,0.31653138347465415,1.5108744143232524,-0.5861256034503087,-0.3333333333333333,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,-1.1006754641525125,-0.5141350048518188,-0.9255608339207096,-1.0048913185446646,-0.45091338857950913,-0.9027978271635898,-1.0319806753872498,-0.5193175962718634,-0.8425561888290297,-0.9933830212497596,-0.44872730039204356,-0.9618868480342282,-0.8369098839865408,-0.511484813126127,-0.5171318884767675,-1.6146400254179372,-0.852523265018746,-1.0652530130271118,-0.6049763454109723,-0.4976390812998048,-0.7657396556624047,-0.753312510902648,-0.5530507550356955,-0.9058250918572012,-0.7557336169904201,-0.6423897478625595,-0.8832835107394903,-0.5141717810641461,-0.46614754024900196,-0.7596100294802861,-0.5827136399484041,-0.5168215466133299,-0.7205335486670268,-0.7233298305980901,-0.04514948407236877,-0.5158705063797021,-0.06227784831168934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soda Springs,0.7317650348336739,-0.6037512064117504,1.0630716536514524,-0.32343436564895045,-0.4739174682417697,-0.3035526737563743,-0.7087941219859498,-0.305820738605097,-0.4034732923929645,0.6062342421982666,-0.6500008855477452,-0.49711965570533506,-0.3063352287921194,-0.5223296160509984,1.615721931657347,-0.3576077658936092,1.6510823951898095,1.0466652353457053,0.20558908354888136,1.1899643138742277,0.7167196375459688,0.7368106543678957,0.6590250838119031,0.2660799519434763,-0.040938509521777654,-0.1464388109388286,-0.27639097449575417,-0.8796590203371945,-0.910765583092583,-0.38550389956221,-0.7051169400087499,-0.9978069691816994,2.3795542844167277,-0.44267093414346836,0.8784549990871603,-0.5273005748506804,-0.5861256034503087,-0.3333333333333333,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,0.8924223003024142,2.1740765415666994,-0.010927734929873074,1.0214848219855084,1.5341858472850882,0.33664575397245866,0.8306511121011065,2.0309027425631805,-0.18404533984441732,1.1375049474131114,1.651698361017521,0.08100593475016599,0.6884744583669838,1.9273058928060531,-0.2454415069114308,-0.3374482212066993,0.6454211074601149,-0.5718009179896402,0.34961704940036786,1.10133827693361,-0.3249285470870698,0.49435926245993117,1.4323998928107329,-0.02223065506848514,0.48883771856926134,1.293464556357986,-0.09261413846683607,0.5154466425857721,1.3722360429918863,-0.26423744861080806,0.42144041322639136,0.9366611435727356,-0.2535701967691957,0.02688517544720981,-0.33030412031890855,-0.31747264713291085,-0.3991907981945993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf Creek,1.9507837285539271,0.39866124381135454,2.219632988760714,-0.32343436564895045,0.8820891605424845,-0.3035526737563743,0.0065026983668435385,0.2948985693692007,-0.4034732923929645,0.13216481109535672,1.679303107051433,-0.6900055891359765,0.45911763152146284,-0.5818231984954274,1.8329802966611872,4.299091490914137,2.2844531483576525,1.8247868245764298,2.1996795933215987,1.949975391321418,0.2206678749826934,-0.3519803042204308,-0.5498020569731515,0.1713037239990997,-0.19850981052676134,0.6239863412421117,-1.316789361850676,0.42827608341875284,-0.910765583092583,1.3549259632325183,2.017387736619367,1.512872100160153,-1.1095808962043798,-1.2315006784153255,-1.1194956342017504,-0.5273005748506804,-0.5861256034503087,-0.3333333333333333,-0.21821789023599236,-0.366088266073499,-0.5188745216627708,-0.506579015132294,-0.552538026943512,-0.5709894122854955,-0.3397449518057529,-0.49142561788286826,-0.5274234854481008,-0.6359880906456308,-0.5557493153980783,-0.6939691254683992,-0.3718740303897556,-0.4862349014886429,-0.7260383035176161,-0.42557028604851166,-0.7254138224184236,-0.6066298965218195,-0.8659413815699701,-0.618469456818924,-0.8207497226932294,-0.44342977090443786,0.8348420505613742,-0.8327429441658555,-0.44686681218201446,0.45256710556184615,-0.7493212801750669,-0.35569283056052253,-0.41612106295366463,-0.718560724849354,-0.44774478598995787,0.3883124350601433,-0.7596100294802861,-0.7022557891358797,-0.37970053810521054,-0.8456130179253745,-0.7885659180802901,-0.9006133928119882,-0.8094993380649531,0.2746351015712206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
