,city,city_2,state,abbreviation,state_2
0,Chewelah,Chewelah%2C%20,Washington,WA,Chewelah%2C%20WA
1,Hastings,Hastings%2C%20,Minnesota,MN,Hastings%2C%20MN
2,Snoquale Pass,Snoquale%20Pass%2C%20,Washington,WA,Snoquale%20Pass%2C%20WA
3,Chesterland,Chesterland%2C%20,Ohio,OH,Chesterland%2C%20OH
4,East Troy,East%20Troy%2C%20,Wisconsin,WI,East%20Troy%2C%20WI
5,Alta,Alta%2C%20,Utah,UT,Alta%2C%20UT
6,Girdwood,Girdwood%2C%20,Alaska,AK,Girdwood%2C%20AK
7,Kensington,Kensington%2C%20,Minnesota,MN,Kensington%2C%20MN
8,Angel Fire,Angel%20Fire%2C%20,New%20Mexico,NM,Angel%20Fire%2C%20NM
9,North Powder,North%20Powder%2C%20,Oregon,OR,North%20Powder%2C%20OR
10,Blowing Rock,Blowing%20Rock%2C%20,North%20Carolina,NC,Blowing%20Rock%2C%20NC
11,Freeland,Freeland%2C%20,Michigan,MI,Freeland%2C%20MI
12,Dillon,Dillon%2C%20,Colorado,CO,Dillon%2C%20CO
13,Flagstaff,Flagstaff%2C%20,Arizona,AZ,Flagstaff%2C%20AZ
14,Aspen,Aspen%2C%20,Colorado,CO,Aspen%2C%20CO
15,Bartlett,Bartlett%2C%20,New%20Hampshire,NH,Bartlett%2C%20NH
16,Mungie,Mungie%2C%20,Pennsylvania,PA,Mungie%2C%20PA
17,Big Bear Lake,Big%20Bear%20Lake%2C%20,California,CA,Big%20Bear%20Lake%2C%20CA
18,Bear Valley,Bear%20Valley%2C%20,California,CA,Bear%20Valley%2C%20CA
19,Vail,Vail%2C%20,Colorado,CO,Vail%2C%20CO
20,Logan,Logan%2C%20,Utah,UT,Logan%2C%20UT
21,Banner  Elk,Banner%20%20Elk%2C%20,North%20Carolina,NC,Banner%20%20Elk%2C%20NC
22,Highmount,Highmount%2C%20,New%20York,NY,Highmount%2C%20NY
23,Charlemont,Charlemont%2C%20,Masshusetts,MA,Charlemont%2C%20MA
24,Lkawaxen,Lkawaxen%2C%20,Pennsylvania,PA,Lkawaxen%2C%20PA
25,Blakeslee,Blakeslee%2C%20,Pennsylvania,PA,Blakeslee%2C%20PA
26,Bessemer,Bessemer%2C%20,Michigan,MI,Bessemer%2C%20MI
27,Big Sky,Big%20Sky%2C%20,Montana,MT,Big%20Sky%2C%20MT
28,Greenville,Greenville%2C%20,Maine,ME,Greenville%2C%20ME
29,Otsego,Otsego%2C%20,Michigan,MI,Otsego%2C%20MI
30,Blandford,Blandford%2C%20,Masshusetts,MA,Blandford%2C%20MA
31,Jackson,Jackson%2C%20,Masshusetts,MA,Jackson%2C%20MA
32,Lakeside,Lakeside%2C%20,Montana,MT,Lakeside%2C%20MT
33,Canton,Canton%2C%20,Masshusetts,MA,Canton%2C%20MA
34,Claysburg,Claysburg%2C%20,Pennsylvania,PA,Claysburg%2C%20PA
35,Palmerton,Palmerton%2C%20,Pennsylvania,PA,Palmerton%2C%20PA
36,Dayton,Dayton%2C%20,Washington,WA,Dayton%2C%20WA
37,Boise,Boise%2C%20,Idaho,ID,Boise%2C%20ID
38,Bolton,Bolton%2C%20,Vermont,VT,Bolton%2C%20VT
39,Truckee,Truckee%2C%20,California,CA,Truckee%2C%20CA
40,Peninsula,Peninsula%2C%20,Ohio,OH,Peninsula%2C%20OH
41,Pittsfield,Pittsfield%2C%20,Masshusetts,MA,Pittsfield%2C%20MA
42,Boyne Falls,Boyne%20Falls%2C%20,Michigan,MI,Boyne%20Falls%2C%20MI
43,Bradford,Bradford%2C%20,Masshusetts,MA,Bradford%2C%20MA
44,Sodus,Sodus%2C%20,New%20York,NY,Sodus%2C%20NY
45,Breckenridge,Breckenridge%2C%20,Colorado,CO,Breckenridge%2C%20CO
46,Bretton Woods,Bretton%20Woods%2C%20,New%20Hampshire,NH,Bretton%20Woods%2C%20NH
47,Brian Head,Brian%20Head%2C%20,Utah,UT,Brian%20Head%2C%20UT
48,Bozeman,Bozeman%2C%20,Montana,MT,Bozeman%2C%20MT
49,Brighton,Brighton%2C%20,Utah,UT,Brighton%2C%20UT
50,Canandaigua,Canandaigua%2C%20,New%20York,NY,Canandaigua%2C%20NY
51,Manchester Center,Manchester%20Center%2C%20,Vermont,VT,Manchester%20Center%2C%20VT
52,Neilsville,Neilsville%2C%20,Wisconsin,WI,Neilsville%2C%20WI
53,McCall,McCall%2C%20,Idaho,ID,McCall%2C%20ID
54,Basye,Basye%2C%20,Virginia,VA,Basye%2C%20VA
55,Burnsville,Burnsville%2C%20,Minnesota,MN,Burnsville%2C%20MN
56,Bedji,Bedji%2C%20,Minnesota,MN,Bedji%2C%20MN
57,Orchard Park,Orchard%20Park%2C%20,New%20York,NY,Orchard%20Park%2C%20NY
58,East Burke,East%20Burke%2C%20,Vermont,VT,East%20Burke%2C%20VT
59,Cadill,Cadill%2C%20,Michigan,MI,Cadill%2C%20MI
60,Camden,Camden%2C%20,Maine,ME,Camden%2C%20ME
61,Tannersville,Tannersville%2C%20,Pennsylvania,PA,Tannersville%2C%20PA
62,Mahwah,Mahwah%2C%20,New%20Jersey,NJ,Mahwah%2C%20NJ
63,Davis,Davis%2C%20,West%20Virginia,WV,Davis%2C%20WV
64,Franconia,Franconia%2C%20,New%20Hampshire,NH,Franconia%2C%20NH
65,Cannonsburg,Cannonsburg%2C%20,Michigan,MI,Cannonsburg%2C%20MI
66,Portage,Portage%2C%20,Wisconsin,WI,Portage%2C%20WI
67,Maggie Valley,Maggie%20Valley%2C%20,North%20Carolina,NC,Maggie%20Valley%2C%20NC
68,Hillsdale,Hillsdale%2C%20,New%20York,NY,Hillsdale%2C%20NY
69,Galena,Galena%2C%20,Illinois,IL,Galena%2C%20IL
70,Lakeshore,Lakeshore%2C%20,California,CA,Lakeshore%2C%20CA
71,Bruce,Bruce%2C%20,Wisconsin,WI,Bruce%2C%20WI
72,Wisconsin Dells,Wisconsin%20Dells%2C%20,Wisconsin,WI,Wisconsin%20Dells%2C%20WI
73,Wabasha,Wabasha%2C%20,Minnesota,MN,Wabasha%2C%20MN
74,Leadville,Leadville%2C%20,Colorado,CO,Leadville%2C%20CO
75,Mount Hood,Mount%20Hood%2C%20,Oregon,OR,Mount%20Hood%2C%20OR
76,Copper Mountain,Copper%20Mountain%2C%20,Colorado,CO,Copper%20Mountain%2C%20CO
77,North Conway,North%20Conway%2C%20,New%20Hampshire,NH,North%20Conway%2C%20NH
78,Mt. Crested Butte,Mt.%20Crested%20Butte%2C%20,Colorado,CO,Mt.%20Crested%20Butte%2C%20CO
79,Bennington,Bennington%2C%20,New%20Hampshire,NH,Bennington%2C%20NH
80,Crystal Mountain,Crystal%20Mountain%2C%20,Washington,WA,Crystal%20Mountain%2C%20WA
81,Thompsonville,Thompsonville%2C%20,Michigan,MI,Thompsonville%2C%20MI
82,Hanover,Hanover%2C%20,New%20Hampshire,NH,Hanover%2C%20NH
83,Lead,Lead%2C%20,South%20Dakota,SD,Lead%2C%20SD
84,Park City,Park%20City%2C%20,Utah,UT,Park%20City%2C%20UT
85,Merrim,Merrim%2C%20,Wisconsin,WI,Merrim%2C%20WI
86,Incline Village,Incline%20Village%2C%20,Nevada,NV,Incline%20Village%2C%20NV
87,Anonda,Anonda%2C%20,Montana,MT,Anonda%2C%20MT
88,Pinecrest,Pinecrest%2C%20,California,CA,Pinecrest%2C%20CA
89,Norden,Norden%2C%20,California,CA,Norden%2C%20CA
90,Watertown,Watertown%2C%20,New%20York,NY,Watertown%2C%20NY
91,Beaver,Beaver%2C%20,Utah,UT,Beaver%2C%20UT
92,Hazelton,Hazelton%2C%20,Pennsylvania,PA,Hazelton%2C%20PA
93,Juneau,Juneau%2C%20,Alaska,AK,Juneau%2C%20AK
94,Nederland,Nederland%2C%20,Colorado,CO,Nederland%2C%20CO
95,Union Dale,Union%20Dale%2C%20,Pennsylvania,PA,Union%20Dale%2C%20PA
96,Elko,Elko%2C%20,Nevada,NV,Elko%2C%20NV
97,Maple Grove,Maple%20Grove%2C%20,Minnesota,MN,Maple%20Grove%2C%20MN
98,Red River,Red%20River%2C%20,New%20Mexico,NM,Red%20River%2C%20NM
99,Lisle,Lisle%2C%20,Illinois,IL,Lisle%2C%20IL
100,Biwabik,Biwabik%2C%20,Minnesota,MN,Biwabik%2C%20MN
101,North Creek,North%20Creek%2C%20,New%20York,NY,North%20Creek%2C%20NY
102,Granby,Granby%2C%20,Colorado,CO,Granby%2C%20CO
103,Lake Geneva,Lake%20Geneva%2C%20,Wisconsin,WI,Lake%20Geneva%2C%20WI
104,Alta,Alta%2C%20,Wyoming,WY,Alta%2C%20WY
105,Wausau,Wausau%2C%20,Wisconsin,WI,Wausau%2C%20WI
106,Marysville,Marysville%2C%20,Montana,MT,Marysville%2C%20MT
107,Cortland,Cortland%2C%20,New%20York,NY,Cortland%2C%20NY
108,Lonia,Lonia%2C%20,New%20Hampshire,NH,Lonia%2C%20NH
109,Stateline,Stateline%2C%20,California,CA,Stateline%2C%20CA
110,Eureka,Eureka%2C%20,Missouri,MO,Eureka%2C%20MO
111,Anchorage,Anchorage%2C%20,Alaska,AK,Anchorage%2C%20AK
112,Casper,Casper%2C%20,Wyoming,WY,Casper%2C%20WY
113,Monticello,Monticello%2C%20,New%20York,NY,Monticello%2C%20NY
114,Ellicotville,Ellicotville%2C%20,New%20York,NY,Ellicotville%2C%20NY
115,Ellicottville,Ellicottville%2C%20,New%20York,NY,Ellicottville%2C%20NY
116,Sisters,Sisters%2C%20,Oregon,OR,Sisters%2C%20OR
117,Steamboat,Steamboat%2C%20,Colorado,CO,Steamboat%2C%20CO
118,Naples,Naples%2C%20,New%20York,NY,Naples%2C%20NY
119,Hunter,Hunter%2C%20,New%20York,NY,Hunter%2C%20NY
120,Bloongton,Bloongton%2C%20,Minnesota,MN,Bloongton%2C%20MN
121,Jay,Jay%2C%20,Vermont,VT,Jay%2C%20VT
122,Hancock,Hancock%2C%20,Masshusetts,MA,Hancock%2C%20MA
123,Blakeslee,Blakeslee%2C%20,Pennsylvania,PA,Blakeslee%2C%20PA
124,Wakefield,Wakefield%2C%20,Michigan,MI,Wakefield%2C%20MI
125,Teton Village,Teton%20Village%2C%20,Wyoming,WY,Teton%20Village%2C%20WY
126,June Lake,June%20Lake%2C%20,California,CA,June%20Lake%2C%20CA
127,Ririe,Ririe%2C%20,Idaho,ID,Ririe%2C%20ID
128,Keystone,Keystone%2C%20,Colorado,CO,Keystone%2C%20CO
129,Killington,Killington%2C%20,Vermont,VT,Killington%2C%20VT
130,East Madison,East%20Madison%2C%20,New%20Hampshire,NH,East%20Madison%2C%20NH
131,Kirkwood,Kirkwood%2C%20,California,CA,Kirkwood%2C%20CA
132,Glenwood,Glenwood%2C%20,New%20York,NY,Glenwood%2C%20NY
133,Truxton,Truxton%2C%20,New%20York,NY,Truxton%2C%20NY
134,Las Vegas,Las%20Vegas%2C%20,NV%2089131,NV,Las%20Vegas%2C%20NV
135,Carroll Valley,Carroll%20Valley%2C%20,Pennsylvania,PA,Carroll%20Valley%2C%20PA
136,Slinger,Slinger%2C%20,Wisconsin,WI,Slinger%2C%20WI
137,Walle,Walle%2C%20,ID%2083873,ID,Walle%2C%20ID
138,Lincoln,Lincoln%2C%20,New%20Hampshire,NH,Lincoln%2C%20NH
139,Conner,Conner%2C%20,Montana,MT,Conner%2C%20MT
140,Auburn,Auburn%2C%20,Maine,ME,Auburn%2C%20ME
141,Georgetown,Georgetown%2C%20,Colorado,CO,Georgetown%2C%20CO
142,Lutsen,Lutsen%2C%20,Minnesota,MN,Lutsen%2C%20MN
143,Bellefontaine,Bellefontaine%2C%20,Ohio,OH,Bellefontaine%2C%20OH
144,Waitsfield,Waitsfield%2C%20,Vermont,VT,Waitsfield%2C%20VT
145,Londonderry,Londonderry%2C%20,Vermont,VT,Londonderry%2C%20VT
146,Twin Falls,Twin%20Falls%2C%20,Idaho,ID,Twin%20Falls%2C%20ID
147,Mammoth Lakes,Mammoth%20Lakes%2C%20,California,CA,Mammoth%20Lakes%2C%20CA
148,Schenectady,Schenectady%2C%20,New%20York,NY,Schenectady%2C%20NY
149,Marquette,Marquette%2C%20,Michigan,MI,Marquette%2C%20MI
150,Harrisonburg,Harrisonburg%2C%20,Virginia,VA,Harrisonburg%2C%20VA
151,Polaris,Polaris%2C%20,Montana,MT,Polaris%2C%20MT
152,Old Forge,Old%20Forge%2C%20,New%20York,NY,Old%20Forge%2C%20NY
153,Tensleep,Tensleep%2C%20,Wyoming,WY,Tensleep%2C%20WY
154,Cornwall,Cornwall%2C%20,Connecticut,CT,Cornwall%2C%20CT
155,Monarch,Monarch%2C%20,Colorado,CO,Monarch%2C%20CO
156,Houghton,Houghton%2C%20,Michigan,MI,Houghton%2C%20MI
157,18507 Scranton,18507%20Scranton%2C%20,Pennsylvania,PA,18507%20Scranton%2C%20PA
158,ssoula,ssoula%2C%20,Montana,MT,ssoula%2C%20MT
159,Holly,Holly%2C%20,Michigan,MI,Holly%2C%20MI
160,Mankato,Mankato%2C%20,Minnesota,MN,Mankato%2C%20MN
161,Warwick,Warwick%2C%20,New%20York,NE,Warwick%2C%20NE
162, Venango,%20Venango%2C%20,Pennsylvania,PE,%20Venango%2C%20PE
163,West Dover,West%20Dover%2C%20,Vermont,VE,West%20Dover%2C%20VE
164,Southington,Southington%2C%20,Connecticut,CO,Southington%2C%20CO
165,Newbury,Newbury%2C%20,New%20Hampshire,NE,Newbury%2C%20NE
166,Vernon,Vernon%2C%20,New%20Jersey,NE,Vernon%2C%20NE
167,Wrightwood,Wrightwood%2C%20,California,CA,Wrightwood%2C%20CA
168,Greenwood,Greenwood%2C%20,Maine,MA,Greenwood%2C%20MA
169,Ashland,Ashland%2C%20,Oregon,OR,Ashland%2C%20OR
170,Bellingham,Bellingham%2C%20,Washington,WA,Bellingham%2C%20WA
171,Mt. Baldy,Mt.%20Baldy%2C%20,California,CA,Mt.%20Baldy%2C%20CA
172,Bend,Bend%2C%20,Oregon,OR,Bend%2C%20OR
173,Michigan,Michigan%2C%20,Michigan,MI,Michigan%2C%20MI
174,Brighton,Brighton%2C%20,Michigan,MI,Brighton%2C%20MI
175,Crescent,Crescent%2C%20,Iowa,IO,Crescent%2C%20IO
176,Traverse City,Traverse%20City%2C%20,Michigan,MI,Traverse%20City%2C%20MI
177,Mt. Hood,Mt.%20Hood%2C%20,Oregon,OR,Mt.%20Hood%2C%20OR
178,Government Camp,Government%20Camp%2C%20,Oregon,OR,Government%20Camp%2C%20OR
179,Lee,Lee%2C%20,Maine,MA,Lee%2C%20MA
180,La Crosse,La%20Crosse%2C%20,Wisconsin,WI,La%20Crosse%2C%20WI
181,Reno,Reno%2C%20,Nevada,NE,Reno%2C%20NE
182,Mount Shasta,Mount%20Shasta%2C%20,California,CA,Mount%20Shasta%2C%20CA
183,Mead,Mead%2C%20,Washington,WA,Mead%2C%20WA
184,Grand Haven,Grand%20Haven%2C%20,Michigan,MI,Grand%20Haven%2C%20MI
185,Westford,Westford%2C%20,Masshusetts,MA,Westford%2C%20MA
186,Stockton Springs,Stockton%20Springs%2C%20,Maine,MA,Stockton%20Springs%2C%20MA
