,full_address,ski_resort,latitude,longitude
0,"P.O. Box 166, Chewelah, Washington",49 Degrees North,48.276287,-117.7155208
1,"6600 Peller Avenue South, Hastings, Minnesota",Afton Alps,44.854416,-92.7908387
2,"POB 1068, Snoquale Pass, Washington",Alpental,47.3923346,-121.4000942
3,"10620 Mayfield, Chesterland, Ohio",Alpine Valley Ohio,41.5268143,-81.2598204
4,"P.O. Box 615, East Troy, Wisconsin",Alpine Valley Wisconsin,42.7852922,-88.40509600000001
5,"P.O. Box 8007, Alta, Utah",Alta,40.5888394,-111.6379793
6,"P.O. Box 249, Girdwood, Alaska",Alyeska,60.95432469999999,-149.1598983
7,"4505 Andes Road Southwest, Kensington, Minnesota",Andes Tower Hills,45.8510284,-95.63025150000001
8,"P.O. Box 130, Angel Fire, New Mexico",Angel Fire,36.3930879,-105.2850091
9,"47500 Anthony Lake Highway, North Powder, Oregon",Anthony Lakes,44.9993396,-118.054245
10,"PO Box 106, Blowing Rock, North Carolina",Appalachian Ski Mountain,36.135129,-81.6776059
11,"4519 N. River Road, Freeland, Michigan",Apple Mountain,43.4709726,-84.1070199
12,"PO Box 5808, Dillon, Colorado",Arapahoe Basin,39.6302643,-106.0433518
13,"P.O. Box 40, Flagstaff, Arizona",Arizona Snowbowl,35.1982836,-111.651302
14,"P.O. Box 1248, Aspen, Colorado",Aspen Snowmass,39.1910983,-106.8175387
15,"PO Box 308, Bartlett, New Hampshire",Attitash,44.0738899,-71.2342866
16,"101 Doe Mountain Lane, Mungie, Pennsylvania",Bear Creek Mountain,40.476212,-75.62576419999999
17,"P.O. Box 77, Big Bear Lake, California",Bear Mountain,34.2438963,-116.9114215
18,"P.O. Box 5038, Bear Valley, California",Bear Valley,38.4646337,-120.0399088
19,"PO Box 7, Vail, Colorado",Beaver Creek,39.6433243,-106.3780801
20,"P.O. Box 3455, Logan, Utah",Beaver Mountain,41.7369803,-111.8338359
21,"PO Box 1118, Banner  Elk, North Carolina",Ski Beech Mountain,36.1631817,-81.8715019
22,"P.O. Box 313, Highmount, New York",Belleayre,42.1470192,-74.4943239
23,"P.O. Box 727, Charlemont, Masshusetts",Berkshire East,42.627862,-72.86981829999999
24,"HC1 BOX 1A 353, Lkawaxen, Pennsylvania",Big Bear,41.482034,-74.9860016
25,"P.O.Box 1539, Blakeslee, Pennsylvania",Big Boulder,41.092586,-75.5926886
26,"N11375 Powderhorn Road, Bessemer, Michigan",Big Powderhorn Mountain,46.5097428,-90.0941598
27,"P.O. Box 160001, Big Sky, Montana",Big Sky,45.26178059999999,-111.3080244
28,"P.O. Box 430, Greenville, Maine",Big Squaw,45.45948629999999,-69.59058150000001
29,"600 River Road, Otsego, Michigan",Bittersweet,42.4671003,-85.7584363
30,"PO Box 158, Blandford, Masshusetts",Blandford,42.1806463,-72.9273224
31,"P.O. Box B, Jackson, Masshusetts",Black Mountain,42.4072107,-71.3824374
32,"Box 1090, Lakeside, Montana",Blacktail Mountain,48.019969,-114.2279084
33,"4001 Washington St, Canton, Masshusetts",Blue Hills,42.2154164,-71.1192746
34,"PO Box 247, Claysburg, Pennsylvania",Blue Knob,40.2967427,-78.449737
35,"PO Box 216, Palmerton, Pennsylvania",Blue Mountain,40.8014826,-75.6101867
36,"PO Box 88, Dayton, Washington",Bluewood,46.3237525,-117.9724367
37,"2600 Bogus Basin Rd., Boise, Idaho",Bogus Basin,43.6433908,-116.2058992
38,"4302 Bolton cess Rd, Bolton, Vermont",Bolton Valley,44.5588028,-72.57784149999999
39,"P.O. Box 39, Truckee, CA 96160",Boreal,39.33,-120.18
40,"P.O. Box 175, Peninsula, Ohio",Boston Mills and Brandywine,41.2411668,-81.55261759999999
41,"Dan Fox Dr., Pittsfield, Masshusetts",Bousquet,42.412768,-73.271148
42,"P.O. Box 19, Boyne Falls, Michigan",Boyne Mountain,45.168065,-84.9161574
43,"P.O. Box 99, Bradford, Masshusetts",Bradford,42.768643,-71.0780044
44,"4015 Fish Farm Road, Sodus, New York",Brantling Ski,43.1501003,-77.0657555
45,"P.O. Box 1058, Breckenridge, Colorado",Breckenridge,39.4816537,-106.0383518
46,"Route 302, Bretton Woods, New Hampshire",Bretton Woods,44.2520034,-71.4447546
47,"P.O. Box 190008, Brian Head, Utah",Brian Head,37.6927551,-112.8507766
48,"15795 Bridger Canyon Rd., Bozeman, Montana",Bridger Bowl,45.81630639999999,-110.8834751
49,"12601 Big Cottonwood Canyon Rd, Brighton, Utah",Brighton,40.6223574,-111.593248
50,"5662 Route 64, Canandaigua, New York",Bristol Mountain,42.7445757,-77.40349270000002
51,"PO Box 1130, Manchester Center, Vermont",Bromley Mountain,43.16368749999999,-73.0723268
52,"517 Court St., Neilsville, Wisconsin",Bruce Mound,44.5604982,-90.593704
53,"P.O. Box 1062, McCall, Idaho",Brundage Mountain,44.906183,-116.1171311
54,"P.O. Box 3, Basye, Virginia",Bryce,38.81435,-78.7646228
55,"15400 Buck Hill Road, Burnsville, Minnesota",Buck Hill,44.72447289999999,-93.2836482
56,"621 Lake Julia Drive NW, Bedji, Minnesota",Buena Vista,47.6617279,-94.8910064
57,"P.O. Box 608, Orchard Park, New York",Buffalo Ski Club,42.76755929999999,-78.7439189
58,"P.O. Box 247, East Burke, Vermont",Burke Mountain,44.589071,-71.94045539999999
59,"Caberfae Road, Cadill, Michigan",Caberfae Peaks Ski Golf,44.2462603,-85.719843
60,"PO Box 1207, Camden, Maine",Camden,44.2097928,-69.0647838
61,"PO Box 168, Tannersville, Pennsylvania",Camelback Mountain,41.0398099,-75.3057288
62,"200 Campgaw Rd., Mahwah, New Jersey",Campgaw Mountain,41.0529017,-74.20119059999999
63,"HC 70 Box 330, Davis, West Virginia",Canaan Valley,39.1287189,-79.4647739
64,"Franconia Notch State Park, Franconia, New Hampshire",Cannon Mountain,44.1430035,-71.6896299
65,"P.O. Box 19, Cannonsburg, Michigan",Cannonsburg,43.0539179,-85.4697477
66,"W10441 Cascade Mtn. Rd., Portage, Wisconsin",Cascade Mountain,43.5037775,-89.51731989999999
67,"1080 Ski Lodge Road, Maggie Valley, North Carolina",Cataloochee,35.5634279,-83.0902177
