,ski_resort,address,city,state,zipcode,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,Url,beginner_runs,intermediate_runs,advanced_runs,expert_runs,epic,mountain_collective,ikon,indy,dec_mean_2_guests,dec_min_2_guests,dec_max_2_guests,jan_mean_2_guests,jan_min_2_guests,jan_max_2_guests,feb_mean_2_guests,feb_min_2_guests,feb_max_2_guests,mar_mean_2_guests,mar_min_2_guests,mar_max_2_guests,apr_mean_2_guests,apr_min_2_guests,apr_max_2_guests,may_mean_2_guests,may_min_2_guests,may_max_2_guests,dec_mean_4_guests,dec_min_4_guests,dec_max_4_guests,jan_mean_4_guests,jan_min_4_guests,jan_max_4_guests,feb_mean_4_guests,feb_min_4_guests,feb_max_4_guests,mar_mean_4_guests,mar_min_4_guests,mar_max_4_guests,apr_mean_4_guests,apr_min_4_guests,apr_max_4_guests,may_mean_4_guests,may_min_4_guests,may_max_4_guests,full_address,latitude,longitude,total_lifts
0,49 Degrees North,P.O. Box 166,Chewelah,Washington,99109,5774,1851,3932,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2325,2.0,101,301,December 02 2023,April 28 2024,11.0,61.0,58.0,49.0,31.0,6.0,25,419,589,489,5,44,49,44,5,59,https://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,0,0,0,0,0,0,0,1,142.25,68.0,435.0,140.8,73.0,409.0,138.4,76.0,389.0,138.16666666666666,77.0,393.0,146.34285714285716,76.0,435.0,121.64285714285714,55.0,233.0,206.54285714285717,79.0,435.0,183.4857142857143,75.0,409.0,178.45714285714286,79.0,389.0,180.0,75.0,394.0,216.14285714285717,79.0,435.0,165.625,79.0,375.0,"P.O. Box 166, Chewelah, Washington",48.276286999999996,-117.7155208,7.0
1,Afton Alps,6600 Peller Avenue South,Hastings,Minnesota,55033,1530,350,1180,0.0,0.0,0.0,1.0,2.0,14.0,4.0,250,0.5,135,60,November 18 2023,March 24 2024,2.0,12.0,11.0,13.0,6.0,0.5,439,859,50,55,50,55,60,55,29,55,https://www.onthesnow.com/Minnesota/afton-alps/ski-resort.html,34,37,29,0,1,0,0,0,188.03225806451616,65.0,814.0,187.15625,61.0,842.0,181.26666666666668,51.0,700.0,171.56666666666666,59.0,400.0,165.77419354838707,72.0,355.0,147.03846153846158,43.0,349.0,258.87878787878793,107.0,819.0,269.22580645161287,103.0,843.0,270.59375,107.0,700.0,262.96875,107.0,725.0,262.09375,103.0,749.0,194.75,80.0,388.0,"6600 Peller Avenue South, Hastings, Minnesota",44.854416,-92.7908387,21.0
2,Alpental,POB 1068,Snoquale Pass,Washington,98068,5420,2280,3140,0.0,1.0,0.0,0.0,0.0,3.0,1.0,825,1.2,120,428,December 15 2023,April 21 2024,8.0,79.0,78.0,98.0,51.0,21.0,289,399,490,258,33,46,49,39,29,55,https://www.onthesnow.com/washington/alpental/ski-resort.html,14,45,41,0,0,0,1,0,269.19444444444446,99.0,613.0,264.85714285714283,99.0,833.0,270.85714285714283,99.0,644.0,256.5151515151515,99.0,644.0,245.12121212121207,89.0,613.0,178.14285714285714,65.0,466.0,321.34285714285716,134.0,800.0,358.1714285714286,136.0,974.0,362.9714285714286,140.0,993.0,376.09090909090907,132.0,1200.0,347.6875,90.0,1200.0,245.875,78.0,580.0,"POB 1068, Snoquale Pass, Washington",47.392334600000005,-121.4000942,5.0
3,Alpine Valley Ohio,10620 Mayfield,Chesterland,Ohio,44026,1500,230,1260,0.0,0.0,0.0,1.0,2.0,0.0,2.0,72,0.2,105,120,December 16 2023,March 10 2024,0.0,3.0,17.0,14.0,4.0,0.0,244,305,95,10,38,43,10,10,38,43,https://www.onthesnow.com/ohio/alpine-valley/ski-resort.html,25,50,25,0,1,0,0,0,177.5142857142857,64.0,447.0,158.67647058823533,64.0,296.0,161.5,65.0,362.0,164.34285714285716,65.0,415.0,170.31428571428572,65.0,298.0,145.92857142857142,64.0,399.0,213.7142857142857,95.0,447.0,209.05714285714282,94.0,579.0,198.02857142857144,98.0,519.0,205.9142857142857,98.0,519.0,220.74285714285716,94.0,719.0,167.125,70.0,339.0,"10620 Mayfield, Chesterland, Ohio",41.5268143,-81.25982040000001,5.0
4,Alpine Valley Wisconsin,P.O. Box 615,East Troy,Wisconsin,53120,1040,388,820,0.0,3.0,0.0,0.0,4.0,0.0,6.0,90,0.2,100,80,November 25 2023,March 19 2024,0.0,4.0,5.0,6.0,3.0,0.0,508,652,652,598,28,56,56,51,32,65,https://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html,33,38,29,0,0,0,0,0,162.25,80.0,355.0,157.0,81.0,343.0,160.17647058823533,81.0,425.0,161.88571428571427,65.0,425.0,167.85294117647058,65.0,400.0,128.32,50.0,325.0,220.96774193548384,92.0,378.0,228.2352941176471,100.0,399.0,228.77142857142857,92.0,750.0,235.14705882352942,65.0,502.0,239.40625,65.0,750.0,227.9473684,90.0,406.0,"P.O. Box 615, East Troy, Wisconsin",42.7852922,-88.40509600000001,13.0
5,Alta,P.O. Box 8007,Alta,Utah,84092,11068,2538,8530,0.0,3.0,0.0,0.0,1.0,2.0,0.0,140,1.3,156,547,November 18 2023,April 21 2024,16.0,88.0,84.0,74.0,74.0,40.0,409,599,1349,1049,80,159,49,125,29,55,https://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,0,0,0,0,0,1,1,0,277.45454545454544,60.0,1500.0,282.6,60.0,1500.0,331.42424242424244,60.0,1500.0,309.5757575757576,60.0,1500.0,303.6875,60.0,1500.0,249.16666666666663,70.0,1500.0,352.2058823529412,90.0,1500.0,428.29411764705884,99.0,1500.0,429.6129032258065,70.0,1500.0,457.8387096774193,110.0,1500.0,424.03333333333336,106.0,1500.0,438.41666669999995,106.0,1500.0,"P.O. Box 8007, Alta, Utah",40.5888394,-111.63797930000001,6.0
6,Alyeska,P.O. Box 249,Girdwood,Alaska,99587,3939,2500,250,1.0,2.0,0.0,2.0,0.0,0.0,2.0,113,1.0,150,669,December 07 2023,April 28 2024,15.0,81.0,114.0,83.0,84.0,33.0,899,1499,299,33,52,65,52,43,68,85,https://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,0,0,0,0,0,0,1,0,203.58823529411762,102.0,387.0,247.55882352941174,96.0,619.0,273.77142857142854,102.0,699.0,290.5588235294117,75.0,769.0,227.74285714285716,65.0,769.0,167.57142857142858,66.0,409.0,333.29411764705884,166.0,679.0,368.28571428571433,140.0,802.0,400.68571428571437,142.0,900.0,397.31428571428563,169.0,900.0,354.9714285714286,139.0,900.0,317.6666667,82.0,499.0,"P.O. Box 249, Girdwood, Alaska",60.954324699999994,-149.1598983,7.0
7,Andes Tower Hills,4505 Andes Road Southwest,Kensington,Minnesota,56343,1620,290,1330,0.0,0.0,0.0,1.0,2.0,0.0,3.0,35,0.2,100,55,October 18 2023,March 20 2024,0.5,5.0,8.0,5.0,4.0,0.0,10,299,299,359,5,35,45,35,5,35,https://www.onthesnow.com/Minnesota/andes-tower-hills-ski-area/ski-resort.html,25,6,31,38,0,0,0,0,217.14705882352942,110.0,488.0,227.34285714285718,110.0,608.0,219.52941176470588,110.0,478.0,255.20588235294116,110.0,691.0,249.20588235294116,70.0,690.0,205.0,90.0,440.0,251.05714285714282,129.0,488.0,262.1764705882353,127.0,510.0,254.7878787878788,129.0,478.0,276.52941176470586,129.0,608.0,293.2121212121212,124.0,692.0,228.70833330000002,104.0,450.0,"4505 Andes Road Southwest, Kensington, Minnesota",45.8510284,-95.6302515,6.0
8,Angel Fire,P.O. Box 130,Angel Fire,New Mexico,87710,10677,2077,8600,0.0,2.0,0.0,0.0,0.0,3.0,2.0,230,3.0,101,210,December 15 2023,March 17 2024,8.0,30.0,28.0,34.0,23.0,0.0,550,550,850,550,67,77,89,39,70,80,https://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,22,56,22,0,0,0,0,0,130.93548387096774,60.0,295.0,187.51515151515147,84.0,373.0,150.78787878787878,84.0,322.0,181.71875,84.0,320.0,142.9375,64.0,295.0,95.04166666666669,69.0,125.0,163.02941176470586,60.0,329.0,210.93939393939397,99.0,382.0,188.25,97.0,391.0,199.4838709677419,97.0,325.0,207.66666666666663,64.0,326.0,140.0,75.0,325.0,"P.O. Box 130, Angel Fire, New Mexico",36.3930879,-105.2850091,7.0
9,Anthony Lakes Mountain,47500 Anthony Lake Highway,North Powder,Oregon,97867,8000,900,7100,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1100,1.5,75,300,December 03 2023,April 07 2024,5.0,28.0,37.0,33.0,25.0,4.0,240,395,475,10,21,29,40,39,21,29,https://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,20,38,0,0,0,0,0,0,166.10714285714286,83.0,417.0,164.48,80.0,443.0,175.125,82.0,443.0,164.83333333333334,82.0,312.0,154.11538461538458,82.0,246.0,144.5185185185185,69.0,357.0,212.89655172413796,118.0,417.0,212.3076923076923,118.0,443.0,218.52,127.0,443.0,209.91304347826087,118.0,342.0,183.65384615384616,118.0,305.0,186.04166669999998,99.0,387.0,"47500 Anthony Lake Highway, North Powder, Oregon",44.9993396,-118.054245,3.0
