,user_name,ski_resort,rating
0,anon_1,Winter Park,4
1,anon_1,Arapahoe Basin,5
2,anon_1,Steamboat,5
3,anon_1,Copper Mountain,5
4,anon_2,Solitude Mountain,5
5,anon_2,Killington,5
6,anon_2,Sugarbush,4
7,anon_2,Stratton Mountain,3
8,anon_3,Deer Valley,3
9,anon_3,Telluride,4
10,anon_3,Taos Ski Valley,4
11,anon_3,Steamboat,5
12,anon_4,Mammoth Mountain,5
13,anon_4,Jackson Hole,4
14,anon_4,Jackson Hole,5
15,anon_4,Palisades Tahoe,5
16,anon_5,Aspen Snowmass,4
17,anon_5,Copper Mountain,2
18,anon_5,Taos Ski Valley,5
19,anon_5,Aspen Snowmass,4
20,anon_5,Aspen Snowmass,5
21,anon_6,Powder Mountain,3
22,anon_6,Alta,5
23,anon_6,Solitude Mountain,5
24,anon_6,Brighton,5
25,anon_7,Mt. Baker,5
26,anon_7,Stevens Pass,2
27,anon_7,Crystal Mountain Washington,2
28,anon_8,Mammoth Mountain,5
29,anon_8,Bear Valley,1
30,anon_8,Mt. Rose Ski Tahoe,4
31,anon_8,Dodge Ridge,4
32,anon_8,Palisades Tahoe,4
33,anon_9,Beaver Mountain,5
34,anon_9,Nordic Mountain,4
35,anon_9,Park City Mountain,3
36,Stephanie Ciaccia,Hunter Mountain,1
37,Stephanie Ciaccia,Vail,4
38,Stephanie Ciaccia,Snowbird,5
39,Stephanie Ciaccia,Breckenridge,4
40,Stephanie Ciaccia,Park City Mountain,4
41,Joseph Lew,Snow Ridge,3
42,Joseph Lew,Gore Mountain,4
43,Joseph Lew,Roundtop Mountain,3
44,Joseph Lew,Woods Valley,3
45,Joseph Lew,McCauley Mountain,5
46,Alexandria K.,Stevens Pass,5
47,Alexandria K.,Vail,3
48,Alexandria K.,Snowbird,4
49,Alexandria K.,Park City Mountain,2
50,Deanna U.,Telluride,5
51,Deanna U.,Breckenridge,3
52,Deanna U.,Crested Butte Mountain,3
53,Deanna U.,Alta,5
54,Deanna U.,Vail,4
55,Raghava K.,Breckenridge,4
56,Raghava K.,Crested Butte Mountain,5
57,Raghava K.,Vail,5
58,Raghava K.,Beaver Creek,3
59,Raghava K.,Telluride,5
60,ericadyer,Palisades Tahoe,5
61,ericadyer,Sun Valley,5
62,FroDog,Donner Ski Ranch,3
63,FroDog,Boreal,4
64,FroDog,Diamond Peak,4
65,jackson321,Mt. Baker,5
66,jackson321,Alpental,5
67,jackson321,Stevens Pass,3
68,jackson321,Summit at Snoqualmie,5
69,SammyG,Mt. Rose Ski Tahoe,5
70,SammyG,Mountain High,5
71,SammyG,Snowshoe Mountain,5
72,SammyG,Alyeska,4
73,ericadyer,Steamboat,4
74,Jill Adler,Alta,5
75,Jill Adler,Snowbird,5
76,Jill Adler,Snowbasin,4
77,Jill Adler,Brighton,3
78,Jill Adler,Solitude Mountain,4
79,Jill Adler,Deer Valley,4
80,Jill Adler,Park City Mountain,4
81,Jill Adler,Jackson Hole,5
82,Jill Adler,Sundance,3
83,Jill Adler,Brian Head,3
84,Twenz,Bretton Woods,4
85,Twenz,Loon Mountain,4
86,ericadyer,Sierra at Tahoe,3
87,ericadyer,Heavenly Mountain,5
88,Twenz,Gunstock,4
89,Twenz,Montage Mountain,4
90,Twenz,Attitash,4
91,anhillx,Palisades Tahoe,5
92,anhillx,Alpental,5
93,anhillx,Heavenly Mountain,3
94,anhillx,Crystal Mountain Washington,5
95,anhillx,Stevens Pass,4
96,emj35,Vail,5
97,emj35,Killington,5
98,emj35,Loon Mountain,3
99,emj35,Waterville Valley,3
100,Benji Zimmerman,Kirkwood,5
101,Benji Zimmerman,Brighton,5
102,Benji Zimmerman,Heavenly Mountain,4
103,Benji Zimmerman,Park City Mountain,4
104,Benji Zimmerman,Copper Mountain,5
105,Benji Zimmerman,Breckenridge,4
106,Benji Zimmerman,Arapahoe Basin,4
107,Benji Zimmerman,Vail,4
108,Benji Zimmerman,Keystone,4
109,Benji Zimmerman,Boyne Mountain,3
110,Benji Zimmerman,Crystal Mountain Michigan,4
111,Benji Zimmerman,Schuss Mountain,5
112,Benji Zimmerman,Cannonsburg,2
113,Benji Zimmerman,Boyne Highlands,4
114,emj35,Aspen Snowmass,5
115,emj35,Sunday River,5
116,Roger Leo,Mt. Sunapee,4
117,FroDog,Palisades Tahoe,5
118,FroDog,Sugar Bowl,4
119,FroDog,Kirkwood,4
120,FroDog,Sierra at Tahoe,4
121,FroDog,Mt. Rose Ski Tahoe,3
122,FroDog,Soda Springs,4
123,FroDog,Northstar California,4
124,FroDog,Tahoe Donner,3
125,FroDog,Heavenly Mountain,5
126,Roger Leo,Cannon Mountain,5
127,Roger Leo,Wachusett Mountain,5
128,Roger Leo,Stratton Mountain,5
129,Roger Leo,Bretton Woods,5
130,Roger Leo,Sugarbush,5
131,Roger Leo,Okemo Mountain,5
132,filterban,Lutsen Mountains,5
133,filterban,Hyland Ski,1
134,filterban,Afton Alps,3
135,filterban,Spirit Mountain,4
136,Benji Zimmerman,Brighton,5
137,JP,Mt. Hood Skibowl,3
138,gkphi5,Vail,4
139,RippinSkiers,Copper Mountain,5
140,RippinSkiers,Breckenridge,3
141,RippinSkiers,Arapahoe Basin,5
142,RippinSkiers,Vail,5
143,RippinSkiers,Loveland,5
144,RippinSkiers,Beaver Creek,5
145,RippinSkiers,Keystone,3
146,filterban,Wild Mountain Ski,3
147,gkphi5,Winter Park,5
148,Jay C,Killington,5
149,Mark Rosasco,Arapahoe Basin,4
150,Dan Gibson,Taos Ski Valley,5
151,stevenstclair,Hidden Valley,4
152,stevenstclair,Paoli Peaks,4
153,stevenstclair,Sugar Mountain,2
154,Dan Gibson,Monarch Mountain,4
155,anhillx,Crystal Mountain Washington,4
156,anhillx,Alpental,4
157,jwtime,Ski Snowstar,4
158,Roger Leo,Okemo Mountain,5
159,Roger Leo,Bromley Mountain,4
160,Cherokee,Snowshoe Mountain,2
161,Cherokee,Paoli Peaks,2
162,Cherokee,Canaan Valley,4
163,treesker,Silver Mountain,1
164,hranee,Sunrise Park,2
165,Cherokee,Canaan Valley,4
166,anhillx,Alpental,4
167,anhillx,Crystal Mountain Washington,2
168,Mark Rosasco,Beaver Creek,5
169,anhillx,Alpental,3
170,gwiffie,Tahoe Donner,3
171,anhillx,Alpental,3
172,anhillx,Crystal Mountain Washington,2
173,stevenam,Smugglers' Notch,4
174,Gunny J,Big Bear,4
175,Cherokee,Wisp,4
176,Dan Gibson,Ski Santa Fe,4
177,jim8588,Boyne Highlands,2
178,RippinSkiers,Vail,5
179,Bmorabito,Mammoth Mountain,4
180,Bmorabito,Kirkwood,5
181,Bmorabito,Mountain High,1
182,Richard 1,Alta,5
183,Richard 1,Snowbird,5
184,Richard 1,Brighton,4
185,Richard 1,Solitude Mountain,3
186,airgarden94,Cascade Mountain,5
187,Jay C,Attitash,4
188,hranee,Breckenridge,4
189,hranee,Vail,5
190,joey58242,Devils Head,5
191,Mike134,Big Powderhorn Mountain,5
192,tom travis,Jay Peak,4
193,tom travis,Stowe Mountain,5
194,tom travis,Killington,4
195,tom travis,Pico Mountain,4
196,tom travis,Sugarbush,5
197,tom travis,Elk Mountain Ski,5
198,anhillx,Alpental,4
199,anhillx,Crystal Mountain Washington,4
200,anhillx,Stevens Pass,2
201,jwtime,Ski Snowstar,5
202,bobbert,Snowbird,5
203,bobbert,Park City Mountain,2
204,bobbert,Winter Park,5
205,Jay C,Smugglers' Notch,3
206,Dan Gibson,Pajarito Mountain,3
207,noonito,Breckenridge,5
208,tsfoust,Palisades Tahoe,3
209,tsfoust,Kirkwood,3
210,tsfoust,Sierra at Tahoe,3
211,tsfoust,Northstar California,4
212,stevenam,Winter Park,3
213,anhillx,Telluride,5
214,airgarden94,Devils Head,4
215,Art Zinn,Belleayre,4
216,Mike134,Big Powderhorn Mountain,5
217,Dan Gibson,Angel Fire,4
