,review_date,state,ski_resort,rating,review,user_name
0,2023-05-04,Colorado,Winter Park,4,Very family friendly,anon_1
1,2023-05-04,Colorado,Arapahoe Basin,5,"Challenging terrain, no frills",anon_1
2,2023-05-04,Colorado,Steamboat,5,Great public transport to and from lodging,anon_1
3,2023-05-04,Colorado,Copper Mountain,5,Extremely diverse terrain and fantastic terrain parks,anon_1
4,2023-05-04,Utah,Solitude Mountain,5,"y had so much terrain, especially for the start of May. Not crowded, amazing tree skiing, challenging terrain. ",anon_2
5,2023-05-04,Vermont,Killington,5," Beast of the East. After this winter, my go to mountain. Has the most terrain, is easy to access from where I'm located. Great snow, challening terrain, large amount of lift systems. ",anon_2
6,2023-05-04,Vermont,Sugarbush,4,"Was there for not the best conditions.  moguls here were endless, which I personally enjoyed. A pretty overall challenging mountain. Some of the lift lines got clogged up (especially on the weekend).",anon_2
7,2023-05-04,Vermont,Stratton Mountain,3,"A good mountain.  terrain was nothing expert-level, in comparison to other East Coast mountains.  gondola was pretty slow, and the organization of lifts was not my favorite. It was a nice early season mountain, but being in Southern VT, it's snowpack did not last as long as competitors. ",anon_2
8,2023-05-04,Utah,Deer Valley,3,"Good service, weird mtn layout,  good groomers",anon_3
9,2023-05-04,Colorado,Telluride,4,"Great steeps, slow to open terrain after a storm, great views",anon_3
10,2023-05-04,New Mexico,Taos Ski Valley,4,"Great steeps, slow to open terrain after a storm, not too crowded",anon_3
11,2023-05-04,Colorado,Steamboat,5,Awesome pow and trees ,anon_3
12,2023-05-04,California,Mammoth Mountain,5,I was there for opening day and also about 3 weeks ago. Had a great time in the park this most recent time. Snow was firm but in a good way ,anon_4
13,2023-05-04,Wyoming,Jackson Hole,4,It's been a while since I've been there but I had an amazing ski experience the only downside was that it was in the negatives and super windy,anon_4
14,2023-05-04,Wyoming,Jackson Hole,5,Had an absolutely amazing time since I hadn’t CaT skied before. It was still really cold but the cabin was heated so we barely felt the cold,anon_4
15,2023-05-04,California,Palisades Tahoe,5,I'm a ski instructor there because it's my favorite resort and I've been skiing there for 20 years,anon_4
16,2023-05-04,Colorado,Aspen Snowmass,4,Hey baby,anon_5
