Name,address,city,state,country,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,terrainNote,ticketpriceNote
49 Degrees North,P.O. Box 166,99109 Chewelah,Washington,United States,5774,1851,3932,0,1,0,1,0,4,1,2325,2,101,301,December 02 2023,April 28 2024,11,61,58,49,31,6,0,25,419,589,489,5,44,49,44,5,59,72,https://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,0,Check terrain information.,0
Afton Alps,6600 Peller Avenue South,55033 Hastings,Minnesota,United States,1530,350,1180,0,0,0,1,2,14,4,250,0.5,135,60,November 18 2023,March 24 2024,2,12,11,13,6,0.5,0,439,859,50,55,50,55,60,55,0,0,0,https://www.onthesnow.com/Minnesota/afton-alps/ski-resort.html,0,0,0
Alpental,POB 1068,98068 Snoquale Pass,Washington,United States,5420,2280,3140,0,1,0,0,0,3,1,825,1.2,120,428,December 15 2023,April 21 2024,8,79,78,98,51,21,0,289,399,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/washington/alpental/ski-resort.html,0,Check terrain information.,0
Alpine Valley Ohio,10620 Mayfield,44026 Chesterland,Ohio,United States,1500,230,1260,0,0,0,1,2,0,2,72,0.2,105,120,December 16 2023,March 10 2024,0,3,17,14,4,0,0,244,305,95,10,38,43,10,10,38,43,10,https://www.onthesnow.com/ohio/alpine-valley/ski-resort.html,0,0,0
Alpine Valley Wisconsin,P.O. Box 615,53120 East Troy,Wisconsin,United States,1040,388,820,0,3,0,0,4,0,6,90,0.2,100,80,November 25 2023,March 19 2024,0,4,5,6,3,0,0,508,652,652,598,28,56,56,51,32.5,65,65,https://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html,0,0,0
Alta,P.O. Box 8007,84092 Alta,Utah,United States,11068,2538,8530,0,3,0,0,1,2,0,140,1.3,156,547,November 18 2023,April 21 2024,16,88,84,74,74,40,0,409,599,1349,1049,80,159,0,125,0,0,0,https://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,Check gondola information.,0,0
Alyeska,P.O. Box 249,99587 Girdwood,Alaska,United States,3939,2500,250,1,2,0,2,0,0,2,113,1,150,669,December 07 2023,April 28 2024,15,81,114,83,84,33,0,899,1499,299,33,52,65,52,43,68,85,68,https://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,0,0,0
Andes Tower Hills,4505 Andes Road Southwest,56343 Kensington,Minnesota,United States,1620,290,1330,0,0,0,1,2,0,3,35,0.2,100,55,October 18 2023,March 20 2024,0.5,5,8,5,4,0,0,10,299,299,359,5,35,45,35,5,35,45,https://www.onthesnow.com/Minnesota/andes-tower-hills-ski-area/ski-resort.html,0,0,0
Angel Fire,P.O. Box 130,87710 Angel Fire,New Mexico,United States,10677,2077,8600,0,2,0,0,0,3,2,230,3,101,210,December 15 2023,March 17 2024,8,30,28,34,23,0,0,550,550,850,550,67,77,89,39,70,80,92,https://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,0,0,0
Anthony Lakes,47500 Anthony Lake Highway,97867 North Powder,Oregon,United States,8000,900,7100,0,0,0,0,1,0,2,1100,1.5,75,300,December 03 2023,April 07 2024,5,28,37,33,25,4,0,240,395,475,10,21,29,40,0,21,29,40,https://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,0,Check terrain information.,0
