,count,mean,std,min,25%,50%,75%,max,ski_resort
0,35.0,290.48571428571427,128.86321325767273,146.0,199.5,256.0,320.0,805.0,Magic Mountain
1,35.0,216.14285714285714,90.8337663495448,79.0,139.0,204.0,283.0,435.0,49 Degrees North
2,32.0,262.09375,138.83811863275832,103.0,190.25,215.0,264.5,749.0,Afton Alps
3,32.0,347.6875,230.768203419963,90.0,202.25,284.5,385.25,1200.0,Alpental
4,35.0,220.74285714285713,121.96873824568203,94.0,158.5,191.0,222.5,719.0,Alpine Valley Ohio
5,32.0,239.40625,132.3284914033889,65.0,150.5,204.0,283.0,750.0,Alpine Valley Wisconsin
6,30.0,424.03333333333336,292.08566095125815,106.0,255.25,324.0,589.5,1500.0,Alta
7,35.0,354.9714285714286,178.1105878733913,139.0,234.0,333.0,399.5,900.0,Alyeska
8,33.0,293.2121212121212,133.99551241920324,124.0,190.0,259.0,367.0,692.0,Andes Tower Hills
9,33.0,207.66666666666666,69.65928988057995,64.0,169.0,217.0,257.0,326.0,Angel Fire
10,26.0,183.65384615384616,47.100694099082915,118.0,153.5,167.0,203.25,305.0,Anthony Lakes
11,35.0,279.57142857142856,124.40760467447453,141.0,179.5,256.0,347.5,642.0,Appalachian Ski Mountain
12,33.0,184.36363636363637,76.6280864720217,85.0,121.0,155.0,275.0,329.0,Apple Mountain
13,35.0,220.8,72.66069412404644,119.0,162.0,210.0,269.5,397.0,Arapahoe Basin
14,33.0,227.6060606060606,111.96286755938868,99.0,170.0,202.0,256.0,750.0,Arizona Snowbowl
15,33.0,841.5757575757576,455.92529749284523,272.0,495.0,800.0,950.0,1950.0,Aspen Snowmass
16,35.0,209.05714285714285,60.88317784526211,107.0,163.5,210.0,245.0,399.0,Attitash
17,35.0,241.77142857142857,104.50136101401507,94.0,160.5,245.0,284.0,530.0,Bear Creek Mountain
18,30.0,206.5,77.22593364658148,46.0,165.5,191.5,264.5,415.0,Bear Mountain
19,34.0,272.0882352941176,105.94606050337777,141.0,192.0,253.5,323.0,640.0,Bear Valley
20,35.0,565.7428571428571,374.2653464853939,185.0,326.0,418.0,655.0,1815.0,Beaver Creek
21,35.0,163.0857142857143,64.75627220521551,89.0,121.0,137.0,188.0,404.0,Beaver Mountain
22,35.0,217.45714285714286,75.93082876080388,87.0,159.5,206.0,249.0,354.0,Ski Beech Mountain
23,33.0,353.3030303030303,145.0927472447548,186.0,265.0,310.0,367.0,748.0,Belleayre
24,35.0,280.22857142857146,114.22374475364664,107.0,206.0,250.0,350.0,500.0,Berkshire East
25,31.0,293.741935483871,128.2640421791276,105.0,221.0,244.0,365.0,662.0,Big Bear
26,30.0,217.06666666666666,108.81301054730457,103.0,162.0,193.0,244.0,639.0,Big Boulder
