,count,mean,std,min,25%,50%,75%,max,ski_resort
0,36.0,255.27777777777777,125.80997260292685,111.0,172.5,217.5,287.25,635.0,Magic Mountain
1,36.0,142.25,81.22011538318043,68.0,97.75,114.5,159.25,435.0,49 Degrees North
2,31.0,188.03225806451613,135.93343563940104,65.0,112.5,160.0,209.0,814.0,Afton Alps
3,36.0,269.19444444444446,117.59150101563935,99.0,178.25,252.5,312.0,613.0,Alpental
4,35.0,177.5142857142857,81.64462859338182,64.0,133.0,150.0,210.0,447.0,Alpine Valley Ohio
5,32.0,162.25,72.60853944268538,80.0,105.0,146.5,201.75,355.0,Alpine Valley Wisconsin
6,33.0,277.45454545454544,264.12888554987353,60.0,122.0,214.0,300.0,1500.0,Alta
7,34.0,203.58823529411765,74.37012989792251,102.0,145.0,179.0,269.0,387.0,Alyeska
8,34.0,217.14705882352942,99.68226259438451,110.0,150.5,195.0,246.5,488.0,Andes Tower Hills
9,31.0,130.93548387096774,54.964191666860685,60.0,95.0,100.0,161.5,295.0,Angel Fire
10,28.0,166.10714285714286,68.86774188991441,83.0,125.5,154.0,181.5,417.0,Anthony Lakes
11,36.0,222.94444444444446,88.18776865122814,111.0,165.0,195.5,253.75,533.0,Appalachian Ski Mountain
12,33.0,145.72727272727272,57.32542669230248,79.0,100.0,125.0,185.0,279.0,Apple Mountain
13,36.0,141.86111111111111,40.01582028418102,98.0,108.75,130.5,163.0,268.0,Arapahoe Basin
14,35.0,144.22857142857143,58.466222382362496,62.0,105.0,137.0,178.0,289.0,Arizona Snowbowl
15,35.0,316.8285714285714,128.69537349751104,170.0,233.0,280.0,413.0,800.0,Aspen Snowmass
16,34.0,164.94117647058823,57.78221451039662,76.0,120.0,149.0,207.5,300.0,Attitash
17,33.0,186.12121212121212,105.98666118189047,77.0,111.0,149.0,245.0,534.0,Bear Creek Mountain
18,29.0,207.24137931034483,75.70320580700746,90.0,162.0,202.0,259.0,390.0,Bear Mountain
19,34.0,235.47058823529412,80.60650221690241,117.0,161.75,212.0,319.0,355.0,Bear Valley
20,36.0,268.9166666666667,88.3888729260808,139.0,200.0,265.0,349.0,458.0,Beaver Creek
21,34.0,93.1470588235294,26.235682794495833,39.0,79.25,94.5,103.0,173.0,Beaver Mountain
22,34.0,169.05882352941177,78.55626864883871,85.0,128.25,153.0,187.25,533.0,Ski Beech Mountain
23,33.0,245.36363636363637,82.36686916693894,108.0,195.0,237.0,269.0,575.0,Belleayre
24,34.0,214.8235294117647,100.76659817805648,73.0,129.5,215.0,251.5,500.0,Berkshire East
25,32.0,281.5625,134.74777812519739,83.0,194.75,231.0,317.25,688.0,Big Bear
