,count,mean,std,min,25%,50%,75%,max,ski_resort
0,35.0,336.0571428571429,165.12543233360918,155.0,223.5,265.0,387.5,850.0,Magic Mountain
1,35.0,178.45714285714286,71.87216709798965,79.0,126.0,172.0,216.5,389.0,49 Degrees North
2,32.0,270.59375,146.03111894939687,107.0,177.0,217.5,340.0,700.0,Afton Alps
3,35.0,362.9714285714286,191.8932739087761,140.0,243.5,303.0,417.0,993.0,Alpental
4,35.0,198.02857142857144,78.12865924203476,98.0,154.5,178.0,211.0,519.0,Alpine Valley Ohio
5,35.0,228.77142857142857,120.06936370631908,92.0,161.5,199.0,247.5,750.0,Alpine Valley Wisconsin
6,31.0,429.61290322580646,384.7713327349423,70.0,186.5,259.0,512.5,1500.0,Alta
7,35.0,400.6857142857143,170.65630603618482,142.0,269.5,372.0,497.5,900.0,Alyeska
8,33.0,254.78787878787878,92.57218722966876,129.0,182.0,242.0,300.0,478.0,Andes Tower Hills
9,32.0,188.25,80.25523799607383,97.0,136.75,160.0,248.25,391.0,Angel Fire
10,25.0,218.52,76.12386835502603,127.0,174.0,188.0,251.0,443.0,Anthony Lakes
11,35.0,277.8285714285714,119.17226427079655,152.0,187.0,256.0,337.5,675.0,Appalachian Ski Mountain
12,33.0,175.33333333333334,68.48981067769618,92.0,120.0,160.0,228.0,332.0,Apple Mountain
13,35.0,256.6,66.79653037836798,126.0,211.0,259.0,282.0,477.0,Arapahoe Basin
14,33.0,220.03030303030303,119.67337967580887,99.0,156.0,195.0,226.0,783.0,Arizona Snowbowl
15,34.0,837.2941176470588,303.43952813876547,299.0,647.0,753.0,1050.0,1402.0,Aspen Snowmass
16,35.0,225.71428571428572,79.31047383860596,110.0,157.0,228.0,256.5,394.0,Attitash
17,35.0,232.77142857142857,103.79563793234044,105.0,149.0,202.0,285.0,541.0,Bear Creek Mountain
18,30.0,200.6,75.59903301698672,90.0,132.5,196.0,252.25,390.0,Bear Mountain
19,35.0,279.6,113.496618244515,127.0,191.5,275.0,341.5,569.0,Bear Valley
20,35.0,546.4857142857143,298.06418292518333,161.0,327.0,421.0,684.5,1400.0,Beaver Creek
21,35.0,154.31428571428572,54.73453121716697,79.0,123.0,139.0,172.0,370.0,Beaver Mountain
22,34.0,214.14705882352942,101.42653180861362,88.0,155.5,192.5,239.5,641.0,Ski Beech Mountain
23,30.0,317.6333333333333,128.02491226679103,179.0,240.5,276.5,345.25,753.0,Belleayre
24,35.0,283.2857142857143,96.2782644301437,149.0,219.5,258.0,350.0,500.0,Berkshire East
25,32.0,310.84375,125.3990043112706,105.0,231.25,281.0,375.0,693.0,Big Bear
26,28.0,204.5,63.84094819680129,103.0,147.75,202.0,256.25,335.0,Big Boulder
27,33.0,208.96969696969697,77.98817412294189,98.0,137.0,202.0,260.0,407.0,Big Powderhorn Mountain
28,35.0,431.3142857142857,120.37216099604237,194.0,358.0,435.0,500.0,675.0,Big Sky
29,35.0,250.4,120.87504486281789,92.0,175.0,218.0,291.5,694.0,Big Squaw
30,31.0,233.48387096774192,105.31345940183903,124.0,150.0,200.0,297.0,560.0,Bittersweet
31,35.0,270.25714285714287,111.05015900540644,131.0,200.0,230.0,332.5,549.0,Blandford
32,35.0,179.54285714285714,86.05686999856304,99.0,126.0,153.0,208.0,552.0,Black Mountain
33,35.0,265.2857142857143,104.71883122650567,96.0,190.0,269.0,312.0,641.0,Blacktail Mountain
34,34.0,259.97058823529414,126.57767654544578,115.0,177.0,218.5,317.5,650.0,Blue Hills
35,34.0,152.88235294117646,86.95061806666291,67.0,97.0,131.0,160.0,455.0,Blue Knob
36,28.0,226.10714285714286,91.22919419251643,113.0,143.5,207.5,295.25,407.0,Blue Mountain
