,count,mean,std,min,25%,50%,75%,max,ski_resort
0,35.0,339.8857142857143,166.03946579557726,167.0,221.0,304.0,417.5,918.0,Magic Mountain
1,35.0,183.4857142857143,80.21052132415322,75.0,125.5,166.0,226.0,409.0,49 Degrees North
2,31.0,269.2258064516129,161.88858507780785,103.0,175.5,220.0,297.5,843.0,Afton Alps
3,35.0,358.1714285714286,187.70165402672868,136.0,249.5,314.0,398.0,974.0,Alpental
4,35.0,209.05714285714285,94.32638669476721,94.0,158.0,183.0,225.0,579.0,Alpine Valley Ohio
5,34.0,228.23529411764707,81.789107529774,100.0,168.75,199.5,279.75,399.0,Alpine Valley Wisconsin
6,34.0,428.29411764705884,346.258839021783,99.0,189.5,300.0,593.0,1500.0,Alta
7,35.0,368.2857142857143,146.21108259044152,140.0,264.5,347.0,444.5,802.0,Alyeska
8,34.0,262.1764705882353,101.04498565767484,127.0,181.0,254.5,300.0,510.0,Andes Tower Hills
9,33.0,210.93939393939394,72.1733760615451,99.0,150.0,193.0,269.0,382.0,Angel Fire
10,26.0,212.30769230769232,83.81874216702097,118.0,151.25,185.5,247.25,443.0,Anthony Lakes
11,35.0,247.37142857142857,72.55508483996455,141.0,181.0,231.0,310.0,390.0,Appalachian Ski Mountain
12,34.0,180.0,69.12527056224106,92.0,125.0,155.0,233.75,300.0,Apple Mountain
13,35.0,251.74285714285713,65.12266383170927,126.0,205.5,238.0,291.5,430.0,Arapahoe Basin
14,33.0,204.3030303030303,67.52614532927451,99.0,163.0,188.0,247.0,391.0,Arizona Snowbowl
15,32.0,835.90625,394.9103907646277,191.0,561.5,779.0,1050.0,1660.0,Aspen Snowmass
16,35.0,229.45714285714286,77.12912887494842,106.0,165.5,225.0,269.5,431.0,Attitash
17,35.0,230.42857142857142,107.51560371414378,105.0,155.5,200.0,283.5,530.0,Bear Creek Mountain
18,31.0,244.03225806451613,185.8202507570094,84.0,125.0,186.0,270.0,869.0,Bear Mountain
19,35.0,306.2857142857143,149.67289263562714,126.0,203.0,281.0,359.5,800.0,Bear Valley
20,35.0,598.2,342.50236581407034,160.0,366.5,540.0,750.0,1400.0,Beaver Creek
21,35.0,153.77142857142857,56.3471830885698,89.0,120.0,135.0,171.5,365.0,Beaver Mountain
22,35.0,202.0857142857143,70.01570052015285,87.0,152.5,185.0,252.5,340.0,Ski Beech Mountain
23,30.0,311.6666666666667,152.78705788603716,160.0,238.0,258.0,297.25,822.0,Belleayre
24,34.0,292.5,103.50530655405299,106.0,228.25,269.0,358.25,500.0,Berkshire East
25,32.0,284.9375,103.65542716445272,142.0,211.0,265.5,346.25,550.0,Big Bear
26,30.0,201.73333333333332,74.66196619030534,103.0,153.25,193.0,244.75,495.0,Big Boulder
27,33.0,204.33333333333334,85.79396346286065,98.0,131.0,182.0,277.0,417.0,Big Powderhorn Mountain
28,35.0,451.8285714285714,150.5510438579643,193.0,384.0,418.0,512.5,1059.0,Big Sky
29,35.0,239.2,111.79440162769386,92.0,173.5,217.0,292.0,694.0,Big Squaw
30,33.0,234.06060606060606,100.19229617151815,122.0,162.0,195.0,315.0,530.0,Bittersweet
31,35.0,265.7142857142857,111.40085843701655,10.0,196.5,227.0,327.0,575.0,Blandford
32,35.0,192.88571428571427,103.38641719541403,79.0,139.0,164.0,206.5,556.0,Black Mountain
33,35.0,280.6857142857143,109.24844094420523,96.0,214.0,275.0,348.5,625.0,Blacktail Mountain
34,32.0,268.25,136.81869330873496,119.0,178.75,213.0,298.75,660.0,Blue Hills
35,34.0,166.2058823529412,110.92224396744604,66.0,93.25,127.5,175.0,550.0,Blue Knob
36,31.0,215.4516129032258,79.50800324901363,113.0,144.5,199.0,273.5,404.0,Blue Mountain
37,33.0,240.54545454545453,138.11772399593826,105.0,150.0,200.0,285.0,800.0,Bluewood
38,35.0,162.54285714285714,57.98901663608522,71.0,112.5,159.0,204.0,266.0,Bogus Basin
39,33.0,300.42424242424244,117.49043320176922,141.0,229.0,293.0,370.0,634.0,Bolton Valley
40,35.0,311.34285714285716,104.78912798824989,165.0,236.5,285.0,347.5,625.0,Boreal
41,31.0,232.09677419354838,134.87978717823998,88.0,141.5,178.0,297.5,552.0,Boston Mills and Brandywine
42,33.0,298.3939393939394,141.74072707631078,10.0,209.0,279.0,385.0,737.0,Bousquet
43,35.0,252.22857142857143,93.31763773588058,115.0,190.0,240.0,311.5,514.0,Boyne Mountain
44,34.0,272.02941176470586,122.8570209372785,116.0,181.5,258.0,304.0,750.0,Bradford
45,35.0,232.22857142857143,102.07295133853034,98.0,145.5,249.0,269.0,575.0,Brantling Ski
46,32.0,411.09375,189.8592618612959,151.0,323.0,369.0,483.0,1125.0,Breckenridge
47,34.0,332.97058823529414,138.79426354710372,89.0,220.0,312.5,432.5,650.0,Bretton Woods
48,33.0,184.21212121212122,84.4732789021762,67.0,120.0,175.0,213.0,415.0,Brian Head
49,34.0,275.70588235294116,91.28992423799944,147.0,206.5,262.0,311.5,540.0,Bridger Bowl
50,35.0,524.2857142857143,213.4869566794864,205.0,350.0,485.0,654.0,1100.0,Brighton
51,34.0,230.76470588235293,105.87186618696617,78.0,158.25,195.0,287.0,536.0,Bristol Mountain
52,34.0,401.20588235294116,199.90661144064921,163.0,250.0,332.0,487.5,1005.0,Bromley Mountain
53,34.0,254.23529411764707,144.64147081737624,92.0,170.75,221.0,294.0,740.0,Bruce Mound
54,35.0,231.88571428571427,80.57322991013368,108.0,172.0,219.0,282.5,422.0,Brundage Mountain
55,33.0,261.0,116.92572428683091,102.0,176.0,224.0,345.0,660.0,Bryce
56,32.0,233.125,101.19057395856848,84.0,159.25,213.5,299.25,460.0,Buck Hill
57,33.0,207.57575757575756,74.9554160414002,92.0,159.0,191.0,240.0,418.0,Buena Vista
58,35.0,255.22857142857143,124.05432531859623,79.0,172.5,225.0,294.0,699.0,Buffalo Ski Club
59,35.0,238.4,82.89866244574829,120.0,177.0,213.0,310.5,455.0,Burke Mountain
60,34.0,212.88235294117646,96.19574888417269,90.0,136.25,187.5,254.5,543.0,Caberfae Peaks Ski Golf
