,full_address,ski_resort
0,"PO Box 2007, Olympic Valley, California",Palisades Tahoe
1,"P.O. Box 24, Mammoth Mountain Lakes, California",Mammoth Mountain
2,"P.O. Box 66, Norden, California",Donner Ski Ranch
3,"P.O. Box 5, Norden, California",Sugar Bowl
4,"PO Box 1, Kirkwood, California",Kirkwood
5,"P.O. Box 39, Truckee, California",Boreal
6,"1111 Sierra at Tahoe-at-Tahoe Road, Twin Bridges, California",Sierra at Tahoe
7,"22222 Mt. Rose Ski Tahoe Hwy., Reno, Nevada",Mt. Rose Ski Tahoe
8,"P.O. Box 39, Truckee, California",Soda Springs
9,"P.O. Box 2800, Pagosa Springs, Colorado",Wolf Creek
10,"P.O. Box 166, Chewelah, Washington",49 Degrees North
11,"P.O. Box 5038, Bear Valley, California",Bear Valley
12,"P.O. Box 8007, Alta, Utah",Alta
13,"P.O. Box 470, Mt. Hood, Oregon",Mt. Hood Meadows
14,"P.O. Box 929000, Snowbird, Utah",Snowbird
15,"PO Box 129, Truckee, California",Northstar California
16,"1420 Iowa St., Bellingham, Washington",Mt. Baker
17,"POB 1068, Snoqualmie Pass, Washington",Alpental
18,"11509 Northwoods Blvd., Truckee, California",Tahoe Donner
19,"29500 North Mt. Spokane Park Dr., Mead, Washington",Mt. Spokane
20,"P.O. Box 460, Huntsville, Utah",Snowbasin
21,"12601 Big Cottonwood Canyon Rd, Brighton, Utah",Brighton
22,"P.O. Box 249, Girdwood, Alaska",Alyeska
23,"P.O. Box 1062, McCall, Idaho",Brundage Mountain
24,"P.O. Box 1188, Pinecrest, California",Dodge Ridge
25,"P.O. Box 1000, Bend, Oregon",Mt. Bachelor
26,"12000 Big Cottonwood Canyon, Brighton, Utah",Solitude Mountain
27,"P.O. Box 220, Ashland, Oregon",Mt. Ashland
28,"PO Box 2180, Stateline, California",Heavenly Mountain
29,"Mountain Services Office, Timberline Lodge, Oregon",Timberline Lodge
30,"P.O. Box 146, June Lake, California",June Mountain
31,"PO Box 1180, Mt. Shasta Board Ski Park, California",Mt. Shasta Board Ski Park
32,"PO Box 5550, Eugene, Oregon",Willamette Pass
33,"P.O. Box 1525, Park City Mountain, Utah",Deer Valley
34,"P.O. Box 856, Silverton Mountain, Colorado",Silverton Mountain
35,"P.O. Box 39, Park City Mountain, Utah",Park City Mountain
36,"1210 Ski Way, Incline Village, Nevada",Diamond Peak
37,"PO Box 106, Blowing Rock, North Carolina",Appalachian Ski Mountain
38,"3300 E. Ski Hill Road, Alta, Wyoming",Grand Targhee
39,"P.O. Box 290, Teton Village, Wyoming",Jackson Hole
40,"P.O. Box 108, Wallace, Idaho",Lookout Pass
41,"P.O. Box 450, Eden, Utah",Powder Mountain
42,"P.O. Box 1248, Aspen, Colorado",Aspen Snowmass
43,"P.O. Box 3001, Copper Mountain, Colorado",Copper Mountain
44,"2305 Mt. Werner Circle, Steamboat Springs, Colorado",Steamboat
45,"P.O. Box 370, Inkom, Idaho",Pebble Creek
46,"P.O. Box 40, Flagstaff, Arizona",Arizona Snowbowl
47,"565 Mountain Village Blvd., Telluride, Colorado",Telluride
48,"Box 146, Welch, Minnesota",Welch Village
49,"P.O. Box 90, Taos Ski Valley Ski Valley, New Mexico",Taos Ski Valley
50,"#1 Powder Place, Monarch Mountain, Colorado",Monarch Mountain
51,"RR #3, Box A-1, Sundance, Utah",Sundance
52,"#1 Skier Place, Durango, Colorado",Purgatory Mountain
53,"P.O. Box 1058, Breckenridge, Colorado",Breckenridge
54,"P.O. Box 36, Winter Park, Colorado",Winter Park
55,"33914 Crystal Mountain Blvd., Crystal Mountain, Washington",Crystal Mountain Washington
56,"P.O. Box 3030, White Pass, Washington",White Pass
57,"P.O. Box 160001, Big Sky, Montana",Big Sky
58,"P.O. Box 896, Leadville, Colorado",Ski Cooper
59,"P.O. Box 370, Mesa, Colorado",Powderhorn
60,"10,000 Schweitzer Mountain Road, Sandpoint, Idaho",Schweitzer
61,"P.O. Box 5700, Mt. Crested Butte Mountain, Colorado",Crested Butte Mountain
62,"P.O. Box 98, Skykomish, Washington",Stevens Pass
63,"P.O. Box 1068, Snoqualmie Pass, Washington",Summit at Snoqualmie
64,"North 11251 Blackjack Road, Bessemer, Michigan",Black River
65,"P.O. Box 190008, Brian Head, Utah",Brian Head
66,"500 Indianhead Road, Wakefield, Michigan",Jackson Creek
67,"Highway 20, PO Box 20, Sisters, Oregon",Hoodoo
68,"PO Box 88, Dayton, Washington",Bluewood
69,"P.O. Box 3455, Logan, Utah",Beaver Mountain
70,"2600 Bogus Basin Rd., Boise, Idaho",Bogus Basin
