,count,mean,std,min,25%,50%,75%,max,ski_resort
0,35.0,240.74285714285713,108.57319105159455,100.0,168.5,215.0,297.0,585.0,Magic Mountain
1,35.0,140.8,66.82540904564407,73.0,100.0,120.0,168.0,409.0,49 Degrees North
2,32.0,187.15625,138.08204886132714,61.0,121.0,157.5,205.5,842.0,Afton Alps
3,35.0,264.85714285714283,143.5878789856464,99.0,173.5,228.0,338.0,833.0,Alpental
4,34.0,158.6764705882353,61.121201295228445,64.0,108.75,144.0,193.75,296.0,Alpine Valley Ohio
5,33.0,157.0,64.45589577377697,81.0,110.0,142.0,192.0,343.0,Alpine Valley Wisconsin
6,35.0,282.6,330.9945974323626,60.0,107.0,156.0,290.0,1500.0,Alta
7,34.0,247.55882352941177,104.33517991679962,96.0,166.25,233.5,294.25,619.0,Alyeska
8,35.0,227.34285714285716,112.2198322771092,110.0,148.5,200.0,268.0,608.0,Andes Tower Hills
9,33.0,187.5151515151515,66.67089001773995,84.0,147.0,165.0,217.0,373.0,Angel Fire
10,25.0,164.48,73.65862701227422,80.0,131.0,149.0,172.0,443.0,Anthony Lakes
11,35.0,217.4857142857143,93.52394202070633,101.0,156.5,190.0,230.0,533.0,Appalachian Ski Mountain
12,34.0,154.05882352941177,70.48530522824903,79.0,108.5,126.5,194.5,395.0,Apple Mountain
13,35.0,165.17142857142858,33.82436096895229,104.0,141.5,167.0,190.0,226.0,Arapahoe Basin
14,35.0,150.85714285714286,52.345089582131244,72.0,104.0,152.0,182.0,300.0,Arizona Snowbowl
15,35.0,473.57142857142856,263.0770727723862,141.0,298.5,429.0,568.5,1450.0,Aspen Snowmass
16,35.0,161.6,45.7372290114635,106.0,125.5,152.0,186.5,300.0,Attitash
17,33.0,155.4848484848485,86.17102225085632,85.0,96.0,130.0,172.0,530.0,Bear Creek Mountain
18,26.0,175.65384615384616,78.25033792013542,84.0,123.25,152.5,233.75,364.0,Bear Mountain
19,33.0,291.54545454545456,142.75833839681022,126.0,198.0,281.0,331.0,800.0,Bear Valley
20,35.0,338.1142857142857,136.47856358904033,160.0,234.5,301.0,399.0,717.0,Beaver Creek
21,35.0,101.68571428571428,35.702011336133125,39.0,79.5,95.0,120.5,198.0,Beaver Mountain
22,33.0,161.54545454545453,84.39790093253612,85.0,114.0,140.0,185.0,533.0,Ski Beech Mountain
23,31.0,226.41935483870967,88.40202644492881,107.0,182.5,215.0,246.5,575.0,Belleayre
