,Cannonsburg,49 Degrees North,Afton Alps,Alpental,Alpine Valley Ohio,Alpine Valley Wisconsin,Alta,Alyeska,Andes Tower Hills,Angel Fire,Anthony Lakes,Appalachian Ski Mountain,Apple Mountain,Arapahoe Basin,Arizona Snowbowl,Aspen Snowmass,Attitash,Bear Creek Mountain,Bear Mountain,Bear Valley,Beaver Creek,Beaver Mountain,Ski Beech Mountain,Belleayre,Berkshire East,Big Bear,Big Boulder,Big Powderhorn Mountain,Big Sky,Big Squaw,Bittersweet,Blandford,Black Mountain,Blacktail Mountain,Blue Hills,Blue Knob,Blue Mountain,Bluewood,Bogus Basin,Bolton Valley,Boreal,Boston Mills and Brandywine,Bousquet,Boyne Mountain,Bradford,Brantling Ski,Breckenridge,Bretton Woods,Brian Head,Bridger Bowl,Brighton,Bristol Mountain,Bromley Mountain,Bruce Mound,Brundage Mountain,Bryce,Buck Hill,Buena Vista,Buffalo Ski Club,Burke Mountain,Caberfae Peaks Ski Golf,Camden,Camelback Mountain,Campgaw Mountain,Canaan Valley,Cannon Mountain
0,$170,$204,$241,$280,$211,$221,$366,$333,$199,$99,$165,$285,$110,$170,$219,$500,$248,$100,$149,$270,$185,$114,$202,$202,$500,$229,$245,$239,$222,$288,$154,$229,$298,$259,$215,$299,$281,$560,$95,$156,$238,$375,$174,$160,$183,$250,$194,$223,$300,$200,$309,$175,$322,$250,$171,$226,$200,$139,$238,$302,$161,$165,$332,$275,$294,$295
1,$219,$114,$209,$134,$202,$265,$559,$387,$129,$89,$301,$152,$216,$173,$188,$800,$217,$121,$234,$340,$650,$200,$172,$226,$239,$197,$289,$407,$179,$175,$174,$231,$200,$98,$119,$221,$142,$107,$171,$256,$320,$425,$520,$91,$279,$239,$297,$399,$199,$305,$449,$192,$385,$229,$255,$236,$310,$255,$282,$326,$171,$539,$175,$353,$152,$503
2,$280,$166,$819,$233,$250,$207,$577,$198,$295,$60,$121,$168,$135,$199,$159,"$1,100",$121,$208,$286,$355,$369,$69,$185,$323,$269,$241,$149,$250,$163,$415,$315,$309,$151,$221,$279,$289,$179,$144,$92,$315,$306,$235,$220,$202,$309,$313,$345,$299,$105,$500,$187,$146,$241,$156,$215,$240,$305,$299,$157,$330,$167,$238,$195,$503,$168,$159
3,$299,$208,$389,$411,$209,$186,$530,$285,$275,$101,$165,$362,$279,$141,$307,$274,$157,$267,$90,$362,$560,$110,$199,$245,$197,$227,$265,$210,$513,$255,$340,$199,$149,$372,$183,$94,$379,$145,$180,$300,$413,$407,$380,$313,$178,$252,$228,$446,$237,$348,$400,$260,$496,$290,$253,$334,$381,$191,$225,$252,$175,$475,$125,$293,$341,$306
4,$143,$172,$210,$613,$447,$355,"$1,500",$187,$208,$247,$245,$323,$120,$201,$261,$458,$294,$178,$214,$345,$259,$114,$264,$238,$407,$225,$190,$135,$185,$400,$239,$205,$219,$176,$116,$119,$149,$325,$136,$294,$148,$295,$220,$377,$161,$101,$250,$467,$129,$283,$254,$308,$269,$172,$321,$201,$253,$150,$235,$290,$228,$300,$201,$425,$272,$304
5,$227,$409,$177,$180,$200,$229,$300,$251,$230,$196,$178,$293,$95,$179,$255,$298,$246,$182,$390,$284,$365,$133,$247,$350,$234,$229,$280,$122,$253,$300,$279,$234,$160,$313,$417,$109,$144,$273,$165,$460,$175,$88,$148,$240,$434,$132,$259,$295,$220,$227,$270,$320,$225,$208,$199,$140,$199,$147,$225,$345,$259,$454,$142,$195,$301,$341
6,$189,$119,$400,$305,$260,$122,$254,$299,$236,$134,$300,$167,$125,$99,$210,$695,$195,$245,$325,$180,$561,$132,$135,$249,$235,$286,$335,$283,$363,$271,$200,$400,$144,$275,$516,$153,$285,$254,$216,$150,$315,$345,$231,$329,$350,$154,$219,$418,$89,$260,$302,$180,"$1,200",$104,$208,$301,$158,$400,$262,$149,$175,$399,$185,$315,$173,$280
7,$399,$435,$355,$268,$384,$218,$995,$332,$171,$189,$198,$359,$125,$193,$226,$300,$446,$442,$254,$333,$900,$195,$151,$278,$350,$229,$338,$159,$325,$213,$120,$179,$624,$306,$560,$196,$217,$350,$258,$430,$228,$139,$440,$174,$187,$296,$346,$306,$132,$198,$414,$196,$159,$175,$192,$375,$218,$281,$259,$330,$238,$255,$369,$188,$188,$234
8,$127,$248,$209,$368,$260,$195,$173,$399,$195,$85,$417,$248,$228,$209,$265,$403,$213,$396,$104,$218,$429,$117,$429,$269,$253,$324,$441,$128,$204,$266,$315,$237,$233,$255,$207,$215,$415,$464,$125,$147,$251,$153,$381,$300,$480,$180,$216,$511,$179,$214,$317,$295,$208,$190,$209,$243,$106,$217,$139,$231,$229,$180,$178,$368,$240,$222
9,$225,$178,$247,$172,$191,$185,$317,$297,$350,$95,$150,$319,$235,$187,$353,$618,$136,$105,$470,$354,$429,$97,$223,$241,$351,$169,$119,$180,$268,$249,$300,$549,$239,$292,$295,$138,$119,$250,$240,$250,$319,$131,$148,$405,$329,$259,$254,$194,$149,$245,$700,$143,$301,$319,$178,$163,$103,$347,$264,$200,$220,$194,$135,$400,$205,$310
10,$589,$89,$151,$219,$145,$215,$285,$238,$195,$211,$341,$287,$275,$130,$193,$647,$219,$149,$348,$309,$219,$98,$260,$456,$225,$232,$204,$165,$485,$273,$560,$149,$106,$371,$260,$550,$138,$200,$95,$225,$475,$325,$306,$261,$750,$143,$519,$546,$125,$220,$223,$175,$450,$285,$207,$178,$453,$147,$125,$335,$161,$156,$289,$350,$296,$248
