,airport,ski_resort,distance,latitude,longitude
0,Colville Municipal,49 Degrees North,32.024440803607554,48.54156944,-117.8844247
1,Lake Elmo,Afton Alps,16.70792861898898,44.99748861,-92.85568111
2,Cle Elum Municipal,Alpental,45.31106002145224,47.18317583,-120.884525
3,Geauga County,Alpine Valley Ohio,18.511067513998302,41.44960972,-81.06292972
4,East Troy Municipal,Alpine Valley Wisconsin,2.9667503598466527,42.79711111,-88.3725
5,Heber City Municipal/Russ McDonald ,Alta,21.310202361310484,40.48180556,-111.42880559999999
6,Girdwood,Alyeska,2.2589219919772177,60.96609583,-149.12578919999999
7,Chandler ,Andes Tower Hills,18.322315713195042,45.86629833,-95.39466806
8,Angel Fire,Angel Fire,3.2829378630916737,36.42240972,-105.2892967
9,Baker City Municipal,Anthony Lakes,26.403521461229168,44.83733333,-117.80908329999998
10,Johnson County,Appalachian Ski Mountain,34.10982114551501,36.41789833,-81.82511528
11,Johnson County,Appalachian Ski Mountain,34.10982114551501,44.38108528,-106.72178970000002
12,Mbs International,Apple Mountain,7.232834007948978,43.53291472,-84.07964722
13,Lake County,Arapahoe Basin,51.27973380651036,42.16111111,-120.39907029999999
14,Lake County,Arapahoe Basin,51.27973380651036,39.2202675,-106.3166906
15,Flagstaff Pulliam,Arizona Snowbowl,6.89458806968982,35.13845472,-111.67121829999999
16,Aspen-Pitkin Co/Sardy ,Aspen Snowmass,5.679059399701363,39.22316,-106.868845
17,Eastern Slopes Regional,Attitash,24.676147234018273,43.99114472,-70.94787444
18,Lee Vining,Badger Pass,48.031549459545204,37.95825861,-119.1065375
19,Allentown Queen City Muni,Bear Creek Mountain,15.633126066007542,40.57027778,-75.48830556
20,Big Bear City,Bear Mountain,5.674777599160252,34.26361944,-116.854475
21,Lake Tahoe,Bear Valley,47.88676864556695,38.89388167,-119.9953347
22,McElroy Airfield,Beaver Creek,45.63610202132807,40.05367972,-106.3689467
23,Logan-Cache,Beaver Mountain,5.855693748447605,41.78773083,-111.85268219999999
24,Maben,Belleayre,16.195959017798707,42.27230778,-74.39403667
25,Harriman And West,Berkshire East,25.715389047199924,42.69591417,-73.17038306
26,Cherry Ridge,Big Bear,22.417617536164876,41.51533861,-75.25148139
27,Pocono Mountains Muni,Big Boulder,18.594129051680607,41.1374775,-75.37887833
28,Gogebic County,Big Powderhorn Mountain,3.4648941637586566,46.52747472,-90.13139667
29,Ennis - Big Sky,Big Sky,26.679464336937567,45.27175833,-111.6486389
30,Greenville Municipal,Big Squaw,3.064751024994989,45.46302778,-69.55161111
31,Greenville Municipal,Big Squaw,3.064751024994989,43.14228139,-85.25380722
32,Greenville Municipal,Big Squaw,3.064751024994989,31.84540222,-86.61044583
33,Padgham ,Bittersweet,8.964344978368866,42.53098278,-85.82513556
34,Laurence G Hanscom ,Black Mountain,10.364776937036371,42.46995306,-71.28903000000001
35,Kalispell City,Blacktail Mountain,18.51284095894385,48.17856944,-114.3037408
36,Barnes Municipal,Blandford,17.632267442699334,42.15773111,-72.71562028
37,Norwood Memorial,Blue Hills,5.210921332962469,42.19079694,-71.17310389
38,Altoona-Blair Cty,Blue Knob,11.001007741735565,40.29637222,-78.32002306
39,Carbon Cty-Jake Arner Memorial,Blue Mountain,12.766521210028312,40.80950889,-75.76149639
40,Walla Walla Regional,Bluewood,35.20305638385355,46.09456167,-118.2880367
41,Boise Air Terminal,Bogus Basin,8.883013340426134,43.56444444,-116.22277779999999
42,Morrisville-Stowe State,Bolton Valley,3.9307216007300916,44.53460806,-72.61400444
43,Truckee-Tahoe,Boreal,3.650247248672019,39.32004222,-120.13956280000001
44,Kent State University,Boston Mills and Brandywine,15.104896433990424,41.15186167,-81.41658306
45,Pittsfield Municipal,Bousquet,2.376368164900054,44.76852778,-69.37441667
46,Pittsfield Municipal,Bousquet,2.376368164900054,42.42684667,-73.29292806
47,Harbor Springs,Boyne Highlands,5.312451499370676,45.42556528,-84.91338389
48,Otsego County,Boyne Mountain,23.973071820783098,45.01354806,-84.70318944
49,Lawrence Municipal,Bradford,6.816853863634484,39.01115222,-95.21657694
50,Lawrence Municipal,Bradford,6.816853863634484,42.71720944,-71.12343
51,Williamson/Sodus,Brantling Ski,10.419999916046107,43.23472222,-77.12097222
52,Lake County,Breckenridge,37.650223555657234,42.16111111,-120.39907029999999
53,Lake County,Breckenridge,37.650223555657234,39.2202675,-106.3166906
54,Mt Washington Regional,Bretton Woods,15.106891595405589,44.36761639,-71.54447111
55,Parowan,Brian Head,18.81225089880275,37.85969694,-112.816055
56,Gallatin ,Bridger Bowl,21.35017213159304,45.77690139,-111.15300719999999
57,Heber City Municipal/Russ McDonald ,Brighton,20.911227052662042,40.48180556,-111.42880559999999
58,Canandaiga,Bristol Mountain,19.27468822126643,42.90718611,-77.32162639
59,Granville,Bromley Mountain,32.871261291960906,43.42507111,-73.26205306
60,Neillsville Municipal,Bruce Mound,6.459146244731966,44.55812861,-90.51224694
61,McCall,Brundage Mountain,2.281637765096324,44.88879556,-116.1017497
62,Luray Caverns,Bryce,28.154450554424628,38.66705556,-78.50058333
63,Airlake ,Buck Hill,11.606467484089341,44.62785361,-93.22810806
64,Bemidji-Beltrami County,Buena Vista,17.235772887519204,47.50942417,-94.93372333
65,Buffalo Airfield,Buffalo Ski Club,10.735727130784854,42.86200306,-78.71658528
66,Caledonia County State,Burke Mountain,6.528732128691559,44.56911417,-72.01797889
67,Wexford County,Caberfae Peaks Ski Golf,24.18007406232087,44.27531333,-85.41892694
68,Islesboro,Camden,16.058923501096757,44.30285556,-68.91058722
69,Stroudsburg-Pocono,Camelback Mountain,12.173456933083049,41.03587167,-75.16067889
70,Greenwood Lake,Campgaw Mountain,14.755137957517652,41.12854806,-74.34584611
71,Grant County,Canaan Valley,31.447322828954857,47.20770806,-119.32018970000001
72,Grant County,Canaan Valley,31.447322828954857,32.63654694,-108.15638529999998
73,Grant County,Canaan Valley,31.447322828954857,38.99419444,-79.14438889
74,Mt Washington Regional,Cannon Mountain,27.521646809923986,44.36761639,-71.54447111
75,Sparta,Cannonsburg,18.759572316377664,43.12860833,-85.67689778
76,Portage Municipal,Cascade Mountain,6.84289865192589,43.560092499999996,-89.48309278
77,Jackson County,Cataloochee,29.465164881010654,34.17402472,-83.56066528
78,Jackson County,Cataloochee,29.465164881010654,36.39728139,-85.64164278
79,Jackson County,Cataloochee,29.465164881010654,35.3168625,-83.20936806
80,Jackson County,Cataloochee,29.465164881010654,29.001009999999997,-96.58194667
81,Jackson County,Cataloochee,29.465164881010654,38.92977778,-81.81947222
82,Great Barrington,Catamount Ski Ride Area,10.050023360948623,42.18421417,-73.40324056
83,Dubuque Municipal,Chestnut Mountain,23.050741222959143,42.40295944,-90.70916722
84,Rusk County,Christie Mountain,21.6503491962458,32.14172222,-94.85172222
