,airport_2,ski_resort,distance_2
868512,Ione Municipal,49 Degrees North,52.86744192379562
898725,South St.Paul Municipal,Afton Alps,19.07907653026623
852578,Renton Municipal,Alpental,62.3560568304202
336319,Cuyahoga County,Alpine Valley Ohio,19.327602708404115
204516,Palmyra Municipal,Alpine Valley Wisconsin,19.11414907897272
971769,Salt Lake City Municipal 2,Alta,30.15568181369681
157042,Hope,Alyeska,25.679319942235786
1023231,Elbow Lake Municipal,Andes Tower Hills,31.757633320110003
835320,Springer Municipal,Angel Fire,60.026491427430784
633797,La Grande/Union County,Anthony Lakes,32.55381402966117
711486,Morganton-Lenoir,Appalachian Ski Mountain,35.39009364444582
98947,James Clements Municipal,Apple Mountain,19.033867404545315
418332,Eagle County Regional,Arapahoe Basin,74.88406972554733
894421,Sedona,Arizona Snowbowl,40.83664389029367
418334,Eagle County Regional,Aspen Snowmass,50.93305359186882
300807,Berlin Municipal,Attitash,55.9552295105784
750646,Mariposa-Yosemite,Badger Pass,48.14722893466472
980080,Quakertown,Bear Creek Mountain,21.128420059574307
881809,San Bernardino International,Bear Mountain,34.03437804930277
742702,Columbia,Bear Valley,58.32243298263474
418339,Eagle County Regional,Beaver Creek,46.20402576319075
299816,Brigham City,Beaver Mountain,27.95640154493344
50486,Freehold,Belleayre,42.73536530307899
12639,Turners Falls,Berkshire East,28.69132681028623
713824,Sullivan Cty Intl,Big Bear,29.13084471141035
1004989,Wilkes-Barre Wyoming Valley,Big Boulder,31.390901973056035
376514,Manitowish Waters,Big Powderhorn Mountain,46.084998822960905
71075,Gardiner,Big Sky,49.9286016591752
119216,Dover/Foxcroft,Big Squaw,41.532064596548665
280237,Kalamazoo County,Bittersweet,30.893579752349027
90003,Norfolk,Black Mountain,31.07664014482758
210520,Polson,Blacktail Mountain,36.2270797089824
191262,La Fleur,Blandford,30.735090392356035
303813,Gen Edw L Logan Intl,Blue Hills,19.034859843526718
531234,Bedford County,Blue Knob,24.09546657877557
234095,Lehigh Valley International,Blue Mountain,21.900628784021457
878176,Whitman County Memorial,Bluewood,73.19670227310009
874525,Nampa Muni,Bogus Basin,26.449511371918387
707198,Edward F Knapp State,Bolton Valley,39.52654112563252
852283,Reno/Tahoe International,Boreal,40.04580296080061
48512,Freedom ,Boston Mills and Brandywine,21.551613517773877
43533,Columbia Cty,Bousquet,38.53362650411842
806714,Pellston Regional  of Emmet County,Boyne Highlands,15.513131314678276
368230,Charlevoix Municipal,Boyne Mountain,31.931297371930167
313783,Beverly Municipal,Bradford,24.393316692092093
17972,Finger Lakes Regional,Brantling Ski,37.83544307662998
199577,Buena Vista Muni,Breckenridge,74.56056688826172
300838,Berlin Municipal,Bretton Woods,41.818706875794554
328063,Cedar City Muni,Brian Head,21.821358599741387
648444,Mission ,Bridger Bowl,36.177003157762336
971813,Salt Lake City Municipal 2,Brighton,33.73111758063354
794858,Penn Yan,Bristol Mountain,30.989962209073134
43875,Fair Haven,Bromley Mountain,52.81352039281915
684304,Marshfield Municipal,Bruce Mound,33.124094770198305
973145,Cascade,Brundage Mountain,46.544961915791184
472490,Front Royal-Warren County,Bryce,45.71395404046303
713191,Minneapolis-St Paul Intl,Buck Hill,18.135550368778986
473156,Fosston Municipal,Buena Vista,66.57591865729658
310809,Buffalo Niagara Intl,Buffalo Ski Club,19.25672118152051
300850,Berlin Municipal,Burke Mountain,60.5676122708845
674351,Manistee County Blacker,Caberfae Peaks Ski Golf,42.24636823383414
848320,Knox County Regional,Camden,16.872640721459184
56501,Blairstown,Camelback Mountain,26.96972519445318
725482,Lincoln Park,Campgaw Mountain,15.090353783648291
422035,Elkins-Randolph Co-Jennings Randolph,Canaan Valley,43.09531888490233
73104,Post Mills,Cannon Mountain,53.503759314328065
503377,Kent County International,Cannonsburg,19.725172785415058
212878,Sauk - Prairie,Cascade Mountain,30.011816026621563
42231,Macon County,Cataloochee,48.21577673004761
43560,Columbia Cty,Catamount Ski Ride Area,19.696729223547337
824757,Platteville Municipal,Chestnut Mountain,30.3469384665935
856299,Rice Lake Regional-Carl's ,Christie Mountain,39.28423261787354
319456,Reedsburg Municipal,Christmas Mountain,13.524273383633435
998397,Menomonie Municipal - Score ,Coffee ll,58.783719121321305
389843,Columbia Gorge Regional,Cooper Spur,39.35579090432427
418396,Eagle County Regional,Copper Mountain,67.51063516432302
200937,Oxford County Regional,Cranmore Mountain,52.94004566621632
506378,Gunnison County,Crested Butte Mountain,42.1317269734083
416075,Dillant-Hopkins,Crotched Mountain,34.3158973887642
674373,Manistee County Blacker,Crystal Mountain Michigan,34.203986918751234
59508,Pierce County ,Crystal Mountain Washington,64.05275527636881
73122,Post Mills,Dartmouth Skiway,20.188519758646105
