,city,state,ski_resort
0,Olympic Valley,California,Palisades Tahoe
1,Mammoth Mountain Lakes,California,Mammoth Mountain
2,Norden,California,Donner Ski Ranch
3,Norden,California,Sugar Bowl
4,Kirkwood,California,Kirkwood
5,Truckee,California,Boreal
6,Twin Bridges,California,Sierra at Tahoe
7,Reno,Nevada,Mt. Rose Ski Tahoe
8,Truckee,California,Soda Springs
9,Pagosa Springs,Colorado,Wolf Creek
10,Chewelah,Washington,49 Degrees North
11,Bear Valley,California,Bear Valley
12,Alta,Utah,Alta
13,Mt. Hood,Oregon,Mt. Hood Meadows
14,Snowbird,Utah,Snowbird
15,Truckee,California,Northstar California
16,Bellingham,Washington,Mt. Baker
17,Snoqualmie Pass,Washington,Alpental
18,Truckee,California,Tahoe Donner
19,Mead,Washington,Mt. Spokane
20,Huntsville,Utah,Snowbasin
21,Brighton,Utah,Brighton
22,Girdwood,Alaska,Alyeska
23,McCall,Idaho,Brundage Mountain
24,Pinecrest,California,Dodge Ridge
25,Bend,Oregon,Mt. Bachelor
26,Brighton,Utah,Solitude Mountain
27,Ashland,Oregon,Mt. Ashland
28,Stateline,California,Heavenly Mountain
29,Timberline Lodge,Oregon,Timberline Lodge
30,June Lake,California,June Mountain
31,Mt. Shasta Board Ski Park,California,Mt. Shasta Board Ski Park
32,Eugene,Oregon,Willamette Pass
33,Park City Mountain,Utah,Deer Valley
34,Silverton Mountain,Colorado,Silverton Mountain
35,Park City Mountain,Utah,Park City Mountain
36,Incline Village,Nevada,Diamond Peak
37,Blowing Rock,North Carolina,Appalachian Ski Mountain
38,Alta,Wyoming,Grand Targhee
39,Teton Village,Wyoming,Jackson Hole
40,Wallace,Idaho,Lookout Pass
41,Eden,Utah,Powder Mountain
42,Aspen,Colorado,Aspen Snowmass
43,Copper Mountain,Colorado,Copper Mountain
44,Steamboat Springs,Colorado,Steamboat
45,Inkom,Idaho,Pebble Creek
46,Flagstaff,Arizona,Arizona Snowbowl
47,Telluride,Colorado,Telluride
48,Welch,Minnesota,Welch Village
49,Taos Ski Valley Ski Valley,New Mexico,Taos Ski Valley
50,Monarch Mountain,Colorado,Monarch Mountain
51,Sundance,Utah,Sundance
52,Durango,Colorado,Purgatory Mountain
53,Breckenridge,Colorado,Breckenridge
54,Winter Park,Colorado,Winter Park
55,Crystal Mountain,Washington,Crystal Mountain Washington
56,White Pass,Washington,White Pass
57,Big Sky,Montana,Big Sky
58,Leadville,Colorado,Ski Cooper
59,Mesa,Colorado,Powderhorn
60,Sandpoint,Idaho,Schweitzer
61,Mt. Crested Butte Mountain,Colorado,Crested Butte Mountain
62,Skykomish,Washington,Stevens Pass
63,Snoqualmie Pass,Washington,Summit at Snoqualmie
64,Bessemer,Michigan,Black River
65,Brian Head,Utah,Brian Head
66,Wakefield,Michigan,Jackson Creek
67,Sisters,Oregon,Hoodoo
68,Dayton,Washington,Bluewood
69,Logan,Utah,Beaver Mountain
70,Boise,Idaho,Bogus Basin
71,Conner,Montana,Lost Trail Powder Mountain
72,Taylors Falls,Minnesota,Wild Mountain Ski
73,Whitefish Mountain,Montana,Whitefish Mountain
74,Lakeside,Montana,Blacktail Mountain
75,Dillon,Colorado,Arapahoe Basin
76,Santa Fe,New Mexico,Ski Santa Fe
77,Vail,Colorado,Vail
78,North Powder,Oregon,Anthony Lakes Mountain
79,Georgetown,Colorado,Loveland
80,Sun Valley,Idaho,Sun Valley
81,Vail,Colorado,Beaver Creek
82,Bolton,Vermont,Bolton Valley
83,Missoula,Montana,Montana Snowbowl
84,Dresser,Wisconsin,Trollhaugen
85,Bozeman,Montana,Bridger Bowl
86,Keystone,Colorado,Keystone
87,Wausau,Wisconsin,Granite Peak
88,Kellogg,Idaho,Silver Mountain
89,Anaconda,Montana,Discovery
90,Houghton,Michigan,Mont Ripley
91,Running Springs,California,Snow Valley
92,Glenwood Springs,Colorado,Sunlight Mountain
93,Las Vegas,Nevada,Lee Canyon
94,Government Camp,Oregon,Mt. Hood Skibowl
95,Lakeshore,California,Ski China Peak
96,Red Lodge,Montana,Red Lodge Mountain.
97,Franconia,New Hampshire,Cannon Mountain
98,Lutsen Mountains,Minnesota,Lutsen Mountains
99,Vernon,New Jersey,Mountain Creek
100,Centennial,Wyoming,Snowy Range
101,Princeton,Massachusetts,Wachusett Mountain
102,Boyne Falls,Michigan,Boyne Mountain
103,Iron River,Michigan,Ski Brule
104,Marysville,Montana,Great Divide
105,Biwabik,Minnesota,Giants Ridge
106,Jay,Vermont,Jay Peak
107,Wenatchee,Washington,Mission Ridge
108,Tannersville,Pennsylvania,Camelback Mountain
109,Jackson,New Hampshire,Black Mountain
110,Nederland,Colorado,Eldora Mountain
111,Polaris,Montana,Maverick Mountain
112,Neihart,Montana,Showdown
113,Tully,New York,Song Mountain
114,Stowe Mountain,Vermont,Stowe Mountain
115,Blakeslee,Pennsylvania,Big Boulder
116,Burnsville,Minnesota,Buck Hill
117,Thompsonville,Michigan,Crystal Mountain Michigan
118,Killington,Vermont,Killington
119,Bellaire,Michigan,Schuss Mountain
120,Smugglers Notch,Vermont,Smugglers' Notch
121,Jackson,New Hampshire,Wildcat Mountain
122,Vadito,New Mexico,Sipapu Ski and Summer
123,Bretton Woods,New Hampshire,Bretton Woods
124,Harbor Springs,Michigan,Nubs Nob
125,Gaylord,Michigan,Treetops
126,Big Bear Lake,California,Bear Mountain
127,Casper,Wyoming,Hogadon
128,Hancock,Massachusetts,Jiminy Peak
129,Lincoln,New Hampshire,Loon Mountain
130,Boone,Iowa,Seven Oaks
131,Big Bear Lake,California,Snow Summit
132,Carrabassett Valley,Maine,Sugarloaf
133,Ellicottville,New York,Holimont
134,East Burke,Vermont,Burke Mountain
135,Bridgton,Maine,Pleasant
136,Newry,Maine,Sunday River
137,Los Alamos,New Mexico,Pajarito Mountain
138,Hillsdale,New York,Catamount Ski Ride Area
139,Ellicotville,New York,Holiday Valley
140,Charlemont,Massachusetts,Berkshire East
141,Canandaigua,New York,Bristol Mountain
142,Monticello,New York,Holiday Mountain
143,Schenectady,New York,Maple Ski Ridge
144,Killington,Vermont,Pico Mountain
145,Warren,Vermont,Sugarbush
146,Ludlow,Vermont,Okemo Mountain
147,North Creek,New York,Gore Mountain
148,West Dover,Vermont,Mt. Snow
149,Malone,New York,Titus Mountain
150,Manchester Center,Vermont,Bromley Mountain
151,Wrightwood,California,Mountain High
152,La Crosse,Wisconsin,Mt. La Crosse
153,Danbury,New Hampshire,Ragged Mountain
154,Greenwich,New York,Willard Mountain
155,Red River,New Mexico,Enchanted Forest
156,Cannonsburg,Michigan,Cannonsburg
157,Waterville Valley,New Hampshire,Waterville Valley
158,Wilmington,New York,Whiteface Mountain
