review_date,state,ski_resort,rating,review,user_name
5/4/23,Colorado,Winter Park,4,Very family friendly,anon_1
5/4/23,Colorado,Arapahoe Basin,5,"Challenging terrain, no frills",anon_1
5/4/23,Colorado,Steamboat,5,Great public transport to and from lodging,anon_1
5/4/23,Colorado,Copper Mountain,5,Extremely diverse terrain and fantastic terrain parks,anon_1
5/4/23,Utah,Solitude,5,"They had so much terrain, especially for the start of May. Not crowded, amazing tree skiing, challenging terrain. ",anon_2
5/4/23,Vermont,Killington,5,"The Beast of the East. After this winter, my go to mountain. Has the most terrain, is easy to access from where I'm located. Great snow, challening terrain, large amount of lift systems. ",anon_2
5/4/23,Vermont,Sugarbush,4,"Was there for not the best conditions. The moguls here were endless, which I personally enjoyed. A pretty overall challenging mountain. Some of the lift lines got clogged up (especially on the weekend).",anon_2
5/4/23,Vermont,Stratton,3,"A good mountain. The terrain was nothing expert-level, in comparison to other East Coast mountains. The gondola was pretty slow, and the organization of lifts was not my favorite. It was a nice early season mountain, but being in Southern VT, it's snowpack did not last as long as competitors. ",anon_2
5/4/23,Utah,Deer Valley ,3,"Good service, weird mtn layout,  good groomers",anon_3
5/4/23,Colorado,Telluride ,4,"Great steeps, slow to open terrain after a storm, great views",anon_3
5/4/23,New Mexico,Taos,4,"Great steeps, slow to open terrain after a storm, not too crowded",anon_3
5/4/23,Colorado,Steamboat ,5,Awesome pow and trees ,anon_3
5/4/23,California,Mammoth Mountain,5,I was there for opening day and also about 3 weeks ago. Had a great time in the park this most recent time. Snow was firm but in a good way ,anon_4
5/4/23,Wyoming,Jackson Hole,4,It's been a while since I've been there but I had an amazing ski experience the only downside was that it was in the negatives and super windy,anon_4
5/4/23,Wyoming,Jackson Hole,5,Had an absolutely amazing time since I hadn’t CaT skied before. It was still really cold but the cabin was heated so we barely felt the cold,anon_4
5/4/23,California,Palisades Tahoe ,5,I'm a ski instructor there because it's my favorite resort and I've been skiing there for 20 years,anon_4
5/4/23,Colorado,Aspen mountain,4,Hey baby,anon_5
5/4/23,Colorado,Copper,2,So many gapers!,anon_5
5/4/23,New Mexico,Taos,5,Awesome,anon_5
5/4/23,Colorado,Aspen Highlands,4,Weeeeee!,anon_5
5/4/23,Colorado,Snowmass,5,Yeah!,anon_5
5/4/23,Colorado,Powder Mountain,3,"First time skiing, mountain wasn’t anything crazy",anon_6
5/4/23,Utah,Alta,5,"CRAZY mountain compared to everywhere else I've been, franks was a blast ",anon_6
5/4/23,Utah,Solitude,5,Awesome resort once I got better,anon_6
5/4/23,Utah,Brighton ,5,"Best ski resort to learn on, it will forever be home base ",anon_6
5/4/23,Washington,Mt Baker,5,Amazing ,anon_7
5/4/23,Washington,Stevens Pass,2,Icy,anon_7
5/4/23,Washington,Crystal Mountain - WA,2,Overcrowded,anon_7
5/5/23,California,Mammoth,5,"Mammoth fires on all cylinders, lots of great terrain, lots of great lifts, quality amenities.",anon_8
5/5/23,California,Bear Valley,1,"Slow lifts, dirty lodge, unorganized. Not impressed",anon_8
5/5/23,Nevada,Mt. Rose,4,"Great terrain, not too crowded, not enough express lifts.",anon_8
5/5/23,California,Dodge Ridge,4,"Super chill, relaxed environment. Slow lifts, but they're efficient. Clean lodge.",anon_8
5/5/23,California,Palisades,4,"Lots of great terrain and lifts, the overall feel is a little more industrial though.",anon_8
5/5/23,Utah,Beaver Mountain,5,"Laidback, hometown atmosphere with stellar powder for most of the season",anon_9
5/5/23,Utah,Nordic Valley,4,"Inexpensive, great for a student!",anon_9
5/5/23,Utah,Cherry Peak,4,"Small resort, great local feel",anon_9
5/5/23,Utah,Park City Mountain,3,"Well-run, very expensive, commercialized. Not my favorite, but would revisit",anon_9
5/5/23,New York,Hunter Mountain,1,Very crowded and snow quality is typically low. But this is due to the poor weather.,Stephanie Ciaccia
5/5/23,Colorado,Vail,4,Amazing back bowls and snow. Pricey resort though. Lift tickets are very expensive.,Stephanie Ciaccia
5/5/23,Utah,Snowbird,5,Amazing terrain and huge mountain yet still feels like a small resort. One of my favorites in the US.,Stephanie Ciaccia
5/5/23,Colorado,Breckenridge,4,Great bus route that makes the mountain easily accessible. Has long groomers and good snow quality.,Stephanie Ciaccia
